Hour,TaskCount,TotalGPU,TotalGPUHour,Count_RegionA_RealTimeInference,GPU_RegionA_RealTimeInference,GPUHour_RegionA_RealTimeInference,Count_RegionA_BatchInference,GPU_RegionA_BatchInference,GPUHour_RegionA_BatchInference,Count_RegionA_AITraining,GPU_RegionA_AITraining,GPUHour_RegionA_AITraining,Count_RegionB_RealTimeInference,GPU_RegionB_RealTimeInference,GPUHour_RegionB_RealTimeInference,Count_RegionB_BatchInference,GPU_RegionB_BatchInference,GPUHour_RegionB_BatchInference,Count_RegionB_AITraining,GPU_RegionB_AITraining,GPUHour_RegionB_AITraining,Count_RegionC_RealTimeInference,GPU_RegionC_RealTimeInference,GPUHour_RegionC_RealTimeInference,Count_RegionC_BatchInference,GPU_RegionC_BatchInference,GPUHour_RegionC_BatchInference,Count_RegionC_AITraining,GPU_RegionC_AITraining,GPUHour_RegionC_AITraining,Count_RegionD_RealTimeInference,GPU_RegionD_RealTimeInference,GPUHour_RegionD_RealTimeInference,Count_RegionD_BatchInference,GPU_RegionD_BatchInference,GPUHour_RegionD_BatchInference,Count_RegionD_AITraining,GPU_RegionD_AITraining,GPUHour_RegionD_AITraining,Count_RegionE_RealTimeInference,GPU_RegionE_RealTimeInference,GPUHour_RegionE_RealTimeInference,Count_RegionE_BatchInference,GPU_RegionE_BatchInference,GPUHour_RegionE_BatchInference,Count_RegionE_AITraining,GPU_RegionE_AITraining,GPUHour_RegionE_AITraining,Count_RegionF_RealTimeInference,GPU_RegionF_RealTimeInference,GPUHour_RegionF_RealTimeInference,Count_RegionF_BatchInference,GPU_RegionF_BatchInference,GPUHour_RegionF_BatchInference,Count_RegionF_AITraining,GPU_RegionF_AITraining,GPUHour_RegionF_AITraining
0,19,657,2104.7333333333336,2.0,9.0,38.45,2.0,22.0,25.133333333333333,0.0,0.0,0.0,3.0,12.0,49.349999999999994,0.0,0.0,0.0,2.0,85.0,158.0,2.0,4.0,3.6,1.0,13.0,21.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,312.0,1009.1500000000001,0.0,0.0,0.0,1.0,23.0,44.85,1.0,61.0,89.46666666666665,0.0,0.0,0.0,0.0,0.0,0.0,1.0,116.0,665.0666666666667
1,18,753,2831.1666666666665,1.0,2.0,11.066666666666666,1.0,22.0,143.0,0.0,0.0,0.0,3.0,9.0,11.733333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,96.96666666666667,3.0,177.0,891.5166666666667,1.0,4.0,2.6,1.0,16.0,71.73333333333333,2.0,173.0,645.4166666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,139.0,160.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,194.0,796.5999999999999
2,28,909,3144.4333333333334,4.0,17.0,81.58333333333333,2.0,26.0,129.66666666666666,0.0,0.0,0.0,4.0,15.0,22.266666666666666,2.0,38.0,140.2,2.0,139.0,308.0833333333333,1.0,1.0,4.6,1.0,16.0,65.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,59.0,153.11666666666665,4.0,308.0,1141.6000000000001,0.0,0.0,0.0,2.0,23.0,82.18333333333334,1.0,73.0,188.58333333333334,0.0,0.0,0.0,0.0,0.0,0.0,2.0,194.0,826.95
3,16,532,1904.4833333333333,4.0,23.0,108.48333333333335,1.0,18.0,53.1,0.0,0.0,0.0,2.0,7.0,34.25,2.0,28.0,27.466666666666665,1.0,59.0,163.23333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,17.849999999999998,1.0,93.0,350.3,0.0,0.0,0.0,1.0,9.0,51.150000000000006,2.0,156.0,400.48333333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,118.0,698.1666666666667
4,14,438,1315.1333333333332,2.0,11.0,34.11666666666667,1.0,18.0,94.5,0.0,0.0,0.0,1.0,2.0,13.066666666666666,3.0,42.0,184.03333333333333,0.0,0.0,0.0,1.0,5.0,13.75,1.0,12.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,147.0,155.41666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,191.0,758.4166666666667,0.0,0.0,0.0,1.0,10.0,24.833333333333336,0.0,0.0,0.0
5,21,455,1617.4666666666667,3.0,15.0,54.81666666666666,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,42.266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.8,3.0,36.0,147.9,0.0,0.0,0.0,1.0,3.0,6.950000000000001,1.0,6.0,38.099999999999994,4.0,163.0,687.85,1.0,3.0,10.25,1.0,12.0,11.6,1.0,56.0,53.199999999999996,0.0,0.0,0.0,1.0,6.0,14.9,2.0,145.0,545.8333333333334
6,23,463,1538.7666666666667,2.0,7.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,102.05,4.0,57.0,157.31666666666666,0.0,0.0,0.0,2.0,8.0,40.81666666666667,1.0,6.0,34.4,1.0,86.0,295.26666666666665,0.0,0.0,0.0,0.0,0.0,0.0,3.0,124.0,338.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,50.4,3.0,139.0,511.4666666666667
7,17,770,2319.233333333333,1.0,6.0,34.6,1.0,14.0,45.5,1.0,18.0,73.19999999999999,1.0,2.0,7.7,1.0,18.0,104.69999999999999,1.0,21.0,19.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,107.0,529.65,0.0,0.0,0.0,1.0,11.0,16.5,3.0,293.0,904.35,0.0,0.0,0.0,1.0,20.0,39.0,2.0,170.0,203.96666666666667,0.0,0.0,0.0,2.0,37.0,129.7,1.0,53.0,211.11666666666667
8,24,576,2055.45,2.0,6.0,22.833333333333336,1.0,22.0,105.23333333333333,1.0,80.0,368.0,5.0,22.0,90.56666666666666,0.0,0.0,0.0,1.0,31.0,83.7,5.0,21.0,96.26666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,147.0,627.0833333333333,2.0,4.0,14.200000000000001,1.0,11.0,24.566666666666666,1.0,90.0,336.0,0.0,0.0,0.0,1.0,13.0,85.14999999999999,2.0,129.0,201.85
9,17,359,1047.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,81.48333333333333,1.0,23.0,75.89999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,31.883333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,16.200000000000003,1.0,107.0,48.15,1.0,5.0,25.083333333333332,3.0,34.0,195.16666666666666,3.0,120.0,522.45,0.0,0.0,0.0,1.0,10.0,50.83333333333333,0.0,0.0,0.0
10,19,800,2069.4166666666665,1.0,5.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,29.48333333333333,1.0,7.0,46.31666666666666,0.0,0.0,0.0,1.0,2.0,7.3,2.0,31.0,59.633333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123.0,590.4,0.0,0.0,0.0,3.0,48.0,102.11666666666666,3.0,280.0,990.6666666666666,0.0,0.0,0.0,0.0,0.0,0.0,4.0,290.0,230.0
