TaskType,EstimatedDuration_min,Count,Probability
AITraining,10,36,0.0021740443263482093
AITraining,11,50,0.0030195060088169575
AITraining,12,44,0.0026571652877589226
AITraining,13,41,0.0024759949272299053
AITraining,14,39,0.002355214686877227
AITraining,15,37,0.0022344344465245487
AITraining,16,47,0.0028383356482879402
AITraining,17,39,0.002355214686877227
AITraining,18,42,0.0025363850474062442
AITraining,19,53,0.003200676369345975
AITraining,20,52,0.003140286249169636
AITraining,21,54,0.003261066489522314
AITraining,22,42,0.0025363850474062442
AITraining,23,42,0.0025363850474062442
AITraining,24,37,0.0022344344465245487
AITraining,25,44,0.0026571652877589226
AITraining,26,31,0.0018720937254665137
AITraining,27,43,0.0025967751675825836
AITraining,28,36,0.0021740443263482093
AITraining,29,42,0.0025363850474062442
AITraining,30,40,0.002415604807053566
AITraining,31,55,0.003321456609698653
AITraining,32,49,0.0029591158886406186
AITraining,33,38,0.0022948245667008876
AITraining,34,47,0.0028383356482879402
AITraining,35,38,0.0022948245667008876
AITraining,36,47,0.0028383356482879402
AITraining,37,51,0.003079896128993297
AITraining,38,46,0.002777945528111601
AITraining,39,50,0.0030195060088169575
AITraining,40,38,0.0022948245667008876
AITraining,41,41,0.0024759949272299053
AITraining,42,36,0.0021740443263482093
AITraining,43,34,0.002053264085995531
AITraining,44,41,0.0024759949272299053
AITraining,45,40,0.002415604807053566
AITraining,46,47,0.0028383356482879402
AITraining,47,44,0.0026571652877589226
AITraining,48,43,0.0025967751675825836
AITraining,49,35,0.0021136542061718703
AITraining,50,33,0.001992873965819192
AITraining,51,35,0.0021136542061718703
AITraining,52,52,0.003140286249169636
AITraining,53,46,0.002777945528111601
AITraining,54,51,0.003079896128993297
AITraining,55,46,0.002777945528111601
AITraining,56,42,0.0025363850474062442
AITraining,57,43,0.0025967751675825836
AITraining,58,31,0.0018720937254665137
AITraining,59,31,0.0018720937254665137
AITraining,60,52,0.003140286249169636
AITraining,61,43,0.0025967751675825836
AITraining,62,41,0.0024759949272299053
AITraining,63,37,0.0022344344465245487
AITraining,64,44,0.0026571652877589226
AITraining,65,49,0.0029591158886406186
AITraining,66,36,0.0021740443263482093
AITraining,67,51,0.003079896128993297
AITraining,68,42,0.0025363850474062442
AITraining,69,38,0.0022948245667008876
AITraining,70,37,0.0022344344465245487
AITraining,71,39,0.002355214686877227
AITraining,72,55,0.003321456609698653
AITraining,73,43,0.0025967751675825836
AITraining,74,52,0.003140286249169636
AITraining,75,43,0.0025967751675825836
AITraining,76,46,0.002777945528111601
AITraining,77,41,0.0024759949272299053
AITraining,78,46,0.002777945528111601
AITraining,79,40,0.002415604807053566
AITraining,80,46,0.002777945528111601
AITraining,81,46,0.002777945528111601
AITraining,82,54,0.003261066489522314
AITraining,83,45,0.002717555407935262
AITraining,84,43,0.0025967751675825836
AITraining,85,31,0.0018720937254665137
AITraining,86,38,0.0022948245667008876
AITraining,87,42,0.0025363850474062442
AITraining,88,34,0.002053264085995531
AITraining,89,44,0.0026571652877589226
AITraining,90,41,0.0024759949272299053
AITraining,91,46,0.002777945528111601
AITraining,92,43,0.0025967751675825836
AITraining,93,39,0.002355214686877227
AITraining,94,43,0.0025967751675825836
AITraining,95,38,0.0022948245667008876
AITraining,96,44,0.0026571652877589226
AITraining,97,45,0.002717555407935262
AITraining,98,45,0.002717555407935262
AITraining,99,49,0.0029591158886406186
AITraining,100,35,0.0021136542061718703
AITraining,101,41,0.0024759949272299053
AITraining,102,39,0.002355214686877227
AITraining,103,56,0.0033818467298749925
AITraining,104,56,0.0033818467298749925
AITraining,105,48,0.002898725768464279
AITraining,106,45,0.002717555407935262
AITraining,107,39,0.002355214686877227
AITraining,108,41,0.0024759949272299053
AITraining,109,51,0.003079896128993297
AITraining,110,37,0.0022344344465245487
AITraining,111,49,0.0029591158886406186
AITraining,112,42,0.0025363850474062442
AITraining,113,37,0.0022344344465245487
AITraining,114,46,0.002777945528111601
AITraining,115,50,0.0030195060088169575
AITraining,116,48,0.002898725768464279
AITraining,117,51,0.003079896128993297
AITraining,118,42,0.0025363850474062442
AITraining,119,34,0.002053264085995531
AITraining,120,42,0.0025363850474062442
AITraining,121,62,0.0037441874509330274
AITraining,122,44,0.0026571652877589226
AITraining,123,34,0.002053264085995531
AITraining,124,46,0.002777945528111601
AITraining,125,36,0.0021740443263482093
AITraining,126,34,0.002053264085995531
AITraining,127,40,0.002415604807053566
AITraining,128,28,0.0016909233649374962
AITraining,129,46,0.002777945528111601
AITraining,130,55,0.003321456609698653
AITraining,131,34,0.002053264085995531
AITraining,132,46,0.002777945528111601
AITraining,133,48,0.002898725768464279
AITraining,134,55,0.003321456609698653
AITraining,135,31,0.0018720937254665137
AITraining,136,42,0.0025363850474062442
AITraining,137,32,0.0019324838456428529
AITraining,138,42,0.0025363850474062442
AITraining,139,39,0.002355214686877227
AITraining,140,32,0.0019324838456428529
AITraining,141,50,0.0030195060088169575
AITraining,142,50,0.0030195060088169575
AITraining,143,44,0.0026571652877589226
AITraining,144,34,0.002053264085995531
AITraining,145,38,0.0022948245667008876
AITraining,146,47,0.0028383356482879402
AITraining,147,48,0.002898725768464279
AITraining,148,41,0.0024759949272299053
AITraining,149,39,0.002355214686877227
AITraining,150,48,0.002898725768464279
AITraining,151,47,0.0028383356482879402
AITraining,152,39,0.002355214686877227
AITraining,153,46,0.002777945528111601
AITraining,154,41,0.0024759949272299053
AITraining,155,46,0.002777945528111601
AITraining,156,39,0.002355214686877227
AITraining,157,49,0.0029591158886406186
AITraining,158,38,0.0022948245667008876
AITraining,159,45,0.002717555407935262
AITraining,160,49,0.0029591158886406186
AITraining,161,36,0.0021740443263482093
AITraining,162,36,0.0021740443263482093
AITraining,163,43,0.0025967751675825836
AITraining,164,40,0.002415604807053566
AITraining,165,34,0.002053264085995531
AITraining,166,46,0.002777945528111601
AITraining,167,44,0.0026571652877589226
AITraining,168,33,0.001992873965819192
AITraining,169,43,0.0025967751675825836
AITraining,170,41,0.0024759949272299053
AITraining,171,45,0.002717555407935262
AITraining,172,41,0.0024759949272299053
AITraining,173,36,0.0021740443263482093
AITraining,174,32,0.0019324838456428529
AITraining,175,48,0.002898725768464279
AITraining,176,38,0.0022948245667008876
AITraining,177,47,0.0028383356482879402
AITraining,178,45,0.002717555407935262
AITraining,179,38,0.0022948245667008876
AITraining,180,44,0.0026571652877589226
AITraining,181,52,0.003140286249169636
AITraining,182,46,0.002777945528111601
AITraining,183,54,0.003261066489522314
AITraining,184,38,0.0022948245667008876
AITraining,185,39,0.002355214686877227
AITraining,186,39,0.002355214686877227
AITraining,187,39,0.002355214686877227
AITraining,188,44,0.0026571652877589226
AITraining,189,47,0.0028383356482879402
AITraining,190,45,0.002717555407935262
AITraining,191,43,0.0025967751675825836
AITraining,192,39,0.002355214686877227
AITraining,193,44,0.0026571652877589226
AITraining,194,44,0.0026571652877589226
AITraining,195,46,0.002777945528111601
AITraining,196,41,0.0024759949272299053
AITraining,197,42,0.0025363850474062442
AITraining,198,51,0.003079896128993297
AITraining,199,41,0.0024759949272299053
AITraining,200,33,0.001992873965819192
AITraining,201,33,0.001992873965819192
AITraining,202,34,0.002053264085995531
AITraining,203,38,0.0022948245667008876
AITraining,204,44,0.0026571652877589226
AITraining,205,36,0.0021740443263482093
AITraining,206,35,0.0021136542061718703
AITraining,207,50,0.0030195060088169575
AITraining,208,44,0.0026571652877589226
AITraining,209,27,0.001630533244761157
AITraining,210,39,0.002355214686877227
AITraining,211,37,0.0022344344465245487
AITraining,212,55,0.003321456609698653
AITraining,213,35,0.0021136542061718703
AITraining,214,32,0.0019324838456428529
AITraining,215,32,0.0019324838456428529
AITraining,216,50,0.0030195060088169575
AITraining,217,42,0.0025363850474062442
AITraining,218,41,0.0024759949272299053
AITraining,219,42,0.0025363850474062442
AITraining,220,42,0.0025363850474062442
AITraining,221,42,0.0025363850474062442
AITraining,222,44,0.0026571652877589226
AITraining,223,43,0.0025967751675825836
AITraining,224,44,0.0026571652877589226
AITraining,225,47,0.0028383356482879402
AITraining,226,42,0.0025363850474062442
AITraining,227,51,0.003079896128993297
AITraining,228,32,0.0019324838456428529
AITraining,229,44,0.0026571652877589226
AITraining,230,43,0.0025967751675825836
AITraining,231,36,0.0021740443263482093
AITraining,232,39,0.002355214686877227
AITraining,233,52,0.003140286249169636
AITraining,234,35,0.0021136542061718703
AITraining,235,37,0.0022344344465245487
AITraining,236,28,0.0016909233649374962
AITraining,237,52,0.003140286249169636
AITraining,238,41,0.0024759949272299053
AITraining,239,47,0.0028383356482879402
AITraining,240,31,0.0018720937254665137
AITraining,241,37,0.0022344344465245487
AITraining,242,38,0.0022948245667008876
AITraining,243,38,0.0022948245667008876
AITraining,244,45,0.002717555407935262
AITraining,245,46,0.002777945528111601
AITraining,246,52,0.003140286249169636
AITraining,247,38,0.0022948245667008876
AITraining,248,34,0.002053264085995531
AITraining,249,48,0.002898725768464279
AITraining,250,41,0.0024759949272299053
AITraining,251,42,0.0025363850474062442
AITraining,252,57,0.0034422368500513314
AITraining,253,40,0.002415604807053566
AITraining,254,51,0.003079896128993297
AITraining,255,41,0.0024759949272299053
AITraining,256,32,0.0019324838456428529
AITraining,257,31,0.0018720937254665137
AITraining,258,38,0.0022948245667008876
AITraining,259,52,0.003140286249169636
AITraining,260,37,0.0022344344465245487
AITraining,261,44,0.0026571652877589226
AITraining,262,39,0.002355214686877227
AITraining,263,35,0.0021136542061718703
AITraining,264,43,0.0025967751675825836
AITraining,265,30,0.0018117036052901745
AITraining,266,36,0.0021740443263482093
AITraining,267,36,0.0021740443263482093
AITraining,268,44,0.0026571652877589226
AITraining,269,55,0.003321456609698653
AITraining,270,42,0.0025363850474062442
AITraining,271,31,0.0018720937254665137
AITraining,272,35,0.0021136542061718703
AITraining,273,32,0.0019324838456428529
AITraining,274,44,0.0026571652877589226
AITraining,275,52,0.003140286249169636
AITraining,276,40,0.002415604807053566
AITraining,277,46,0.002777945528111601
AITraining,278,49,0.0029591158886406186
AITraining,279,42,0.0025363850474062442
AITraining,280,53,0.003200676369345975
AITraining,281,50,0.0030195060088169575
AITraining,282,54,0.003261066489522314
AITraining,283,31,0.0018720937254665137
AITraining,284,34,0.002053264085995531
AITraining,285,33,0.001992873965819192
AITraining,286,45,0.002717555407935262
AITraining,287,46,0.002777945528111601
AITraining,288,45,0.002717555407935262
AITraining,289,44,0.0026571652877589226
AITraining,290,51,0.003079896128993297
AITraining,291,40,0.002415604807053566
AITraining,292,49,0.0029591158886406186
AITraining,293,48,0.002898725768464279
AITraining,294,41,0.0024759949272299053
AITraining,295,38,0.0022948245667008876
AITraining,296,48,0.002898725768464279
AITraining,297,45,0.002717555407935262
AITraining,298,35,0.0021136542061718703
AITraining,299,35,0.0021136542061718703
AITraining,300,37,0.0022344344465245487
AITraining,301,39,0.002355214686877227
