TaskType,GPU_Demand,Count,Probability
AITraining,16,141,0.00851500694486382
AITraining,17,170,0.010266320429977655
AITraining,18,156,0.009420858747508908
AITraining,19,151,0.009118908146627212
AITraining,20,134,0.008092276103629446
AITraining,21,170,0.010266320429977655
AITraining,22,163,0.009843589588743281
AITraining,23,154,0.00930007850715623
AITraining,24,148,0.008937737786098195
AITraining,25,155,0.009360468627332568
AITraining,26,168,0.010145540189624977
AITraining,27,132,0.007971495863276768
AITraining,28,147,0.008877347665921855
AITraining,29,141,0.00851500694486382
AITraining,30,166,0.010024759949272299
AITraining,31,154,0.00930007850715623
AITraining,32,136,0.008213056343982124
AITraining,33,141,0.00851500694486382
AITraining,34,161,0.009722809348390603
AITraining,35,151,0.009118908146627212
AITraining,36,150,0.009058518026450873
AITraining,37,159,0.009602029108037926
AITraining,38,161,0.009722809348390603
AITraining,39,129,0.00779032550274775
AITraining,40,166,0.010024759949272299
AITraining,41,141,0.00851500694486382
AITraining,42,155,0.009360468627332568
AITraining,43,147,0.008877347665921855
AITraining,44,173,0.010447490790506673
AITraining,45,158,0.009541638987861586
AITraining,46,136,0.008213056343982124
AITraining,47,135,0.008152666223805786
AITraining,48,129,0.00779032550274775
AITraining,49,130,0.00785071562292409
AITraining,50,163,0.009843589588743281
AITraining,51,156,0.009420858747508908
AITraining,52,139,0.008394226704511142
AITraining,53,157,0.009481248867685246
AITraining,54,141,0.00851500694486382
AITraining,55,137,0.008273446464158464
AITraining,56,140,0.008454616824687481
AITraining,57,122,0.007367594661513376
AITraining,58,139,0.008394226704511142
AITraining,59,143,0.008635787185216499
AITraining,60,158,0.009541638987861586
AITraining,61,152,0.00917929826680355
AITraining,62,145,0.008756567425569177
AITraining,63,170,0.010266320429977655
AITraining,64,152,0.00917929826680355
AITraining,65,148,0.008937737786098195
AITraining,66,143,0.008635787185216499
AITraining,67,134,0.008092276103629446
AITraining,68,144,0.008696177305392837
AITraining,69,144,0.008696177305392837
AITraining,70,132,0.007971495863276768
AITraining,71,149,0.008998127906274533
AITraining,72,158,0.009541638987861586
AITraining,73,157,0.009481248867685246
AITraining,74,165,0.00996436982909596
AITraining,75,140,0.008454616824687481
AITraining,76,158,0.009541638987861586
AITraining,77,170,0.010266320429977655
AITraining,78,146,0.008816957545745517
AITraining,79,125,0.007548765022042394
AITraining,80,126,0.007609155142218733
AITraining,81,150,0.009058518026450873
AITraining,82,136,0.008213056343982124
AITraining,83,131,0.007911105743100428
AITraining,84,125,0.007548765022042394
AITraining,85,130,0.00785071562292409
AITraining,86,144,0.008696177305392837
AITraining,87,146,0.008816957545745517
AITraining,88,145,0.008756567425569177
AITraining,89,150,0.009058518026450873
AITraining,90,133,0.008031885983453108
AITraining,91,143,0.008635787185216499
AITraining,92,156,0.009420858747508908
AITraining,93,146,0.008816957545745517
AITraining,94,140,0.008454616824687481
AITraining,95,152,0.00917929826680355
AITraining,96,153,0.00923968838697989
AITraining,97,154,0.00930007850715623
AITraining,98,144,0.008696177305392837
AITraining,99,166,0.010024759949272299
AITraining,100,138,0.008333836584334803
AITraining,101,150,0.009058518026450873
AITraining,102,173,0.010447490790506673
AITraining,103,149,0.008998127906274533
AITraining,104,141,0.00851500694486382
AITraining,105,143,0.008635787185216499
AITraining,106,126,0.007609155142218733
AITraining,107,151,0.009118908146627212
AITraining,108,153,0.00923968838697989
AITraining,109,157,0.009481248867685246
AITraining,110,134,0.008092276103629446
AITraining,111,140,0.008454616824687481
AITraining,112,157,0.009481248867685246
AITraining,113,140,0.008454616824687481
AITraining,114,145,0.008756567425569177
AITraining,115,141,0.00851500694486382
AITraining,116,144,0.008696177305392837
AITraining,117,154,0.00930007850715623
AITraining,118,138,0.008333836584334803
AITraining,119,145,0.008756567425569177
AITraining,120,156,0.009420858747508908
AITraining,121,155,0.009360468627332568
AITraining,122,145,0.008756567425569177
AITraining,123,150,0.009058518026450873
AITraining,124,153,0.00923968838697989
AITraining,125,145,0.008756567425569177
AITraining,126,171,0.010326710550153995
AITraining,127,160,0.009662419228214264
BatchInference,4,841,0.050308069629718254
BatchInference,5,816,0.048812585990309264
BatchInference,6,788,0.0471376443141712
BatchInference,7,862,0.051564275886821796
BatchInference,8,857,0.05126517915894
BatchInference,9,796,0.047616199078782076
BatchInference,10,833,0.04982951486510737
BatchInference,11,851,0.050906263085481844
BatchInference,12,839,0.05018843093856553
BatchInference,13,817,0.048872405335885626
BatchInference,14,834,0.049889334210683735
BatchInference,15,876,0.05240174672489083
BatchInference,16,869,0.051983011305856315
BatchInference,17,821,0.049111682718191066
BatchInference,18,817,0.048872405335885626
BatchInference,19,871,0.05210264999700903
BatchInference,20,861,0.05150445654124544
BatchInference,21,823,0.04923132140934378
BatchInference,22,814,0.04869294729915655
BatchInference,23,831,0.049709876173954656
RealTimeInference,1,2364,0.14135374312365462
RealTimeInference,2,2380,0.1423104520449653
RealTimeInference,3,2362,0.14123415450849078
RealTimeInference,4,2387,0.14272901219803874
RealTimeInference,5,2356,0.14087538866299928
RealTimeInference,6,2457,0.146914613728773
RealTimeInference,7,2418,0.14458263573307822
