TaskType,GPU_Demand,EstimatedDuration_min,Count,Probability
AITraining,16,10,1,6.039012017633915e-05
AITraining,16,13,1,6.039012017633915e-05
AITraining,16,19,1,6.039012017633915e-05
AITraining,16,23,1,6.039012017633915e-05
AITraining,16,30,1,6.039012017633915e-05
AITraining,16,31,1,6.039012017633915e-05
AITraining,16,32,1,6.039012017633915e-05
AITraining,16,36,1,6.039012017633915e-05
AITraining,16,38,1,6.039012017633915e-05
AITraining,16,47,1,6.039012017633915e-05
AITraining,16,48,1,6.039012017633915e-05
AITraining,16,53,1,6.039012017633915e-05
AITraining,16,74,1,6.039012017633915e-05
AITraining,16,77,1,6.039012017633915e-05
AITraining,16,80,1,6.039012017633915e-05
AITraining,16,81,1,6.039012017633915e-05
AITraining,16,82,3,0.00018117036052901745
AITraining,16,88,1,6.039012017633915e-05
AITraining,16,89,1,6.039012017633915e-05
AITraining,16,91,1,6.039012017633915e-05
AITraining,16,92,1,6.039012017633915e-05
AITraining,16,96,2,0.0001207802403526783
AITraining,16,102,1,6.039012017633915e-05
AITraining,16,104,1,6.039012017633915e-05
AITraining,16,105,1,6.039012017633915e-05
AITraining,16,106,2,0.0001207802403526783
AITraining,16,112,1,6.039012017633915e-05
AITraining,16,114,1,6.039012017633915e-05
AITraining,16,115,1,6.039012017633915e-05
AITraining,16,116,2,0.0001207802403526783
AITraining,16,122,2,0.0001207802403526783
AITraining,16,123,1,6.039012017633915e-05
AITraining,16,124,1,6.039012017633915e-05
AITraining,16,125,1,6.039012017633915e-05
AITraining,16,131,1,6.039012017633915e-05
AITraining,16,138,1,6.039012017633915e-05
AITraining,16,145,2,0.0001207802403526783
AITraining,16,148,1,6.039012017633915e-05
AITraining,16,155,2,0.0001207802403526783
AITraining,16,160,1,6.039012017633915e-05
AITraining,16,165,1,6.039012017633915e-05
AITraining,16,166,1,6.039012017633915e-05
AITraining,16,168,1,6.039012017633915e-05
AITraining,16,173,1,6.039012017633915e-05
AITraining,16,174,1,6.039012017633915e-05
AITraining,16,176,1,6.039012017633915e-05
AITraining,16,177,1,6.039012017633915e-05
AITraining,16,182,1,6.039012017633915e-05
AITraining,16,185,2,0.0001207802403526783
AITraining,16,188,1,6.039012017633915e-05
AITraining,16,191,2,0.0001207802403526783
AITraining,16,198,2,0.0001207802403526783
AITraining,16,201,1,6.039012017633915e-05
AITraining,16,207,1,6.039012017633915e-05
AITraining,16,210,1,6.039012017633915e-05
AITraining,16,217,2,0.0001207802403526783
AITraining,16,219,1,6.039012017633915e-05
AITraining,16,221,2,0.0001207802403526783
AITraining,16,224,1,6.039012017633915e-05
AITraining,16,227,2,0.0001207802403526783
AITraining,16,228,1,6.039012017633915e-05
AITraining,16,229,2,0.0001207802403526783
AITraining,16,230,1,6.039012017633915e-05
AITraining,16,244,1,6.039012017633915e-05
AITraining,16,251,1,6.039012017633915e-05
AITraining,16,258,1,6.039012017633915e-05
AITraining,16,259,1,6.039012017633915e-05
AITraining,16,260,1,6.039012017633915e-05
AITraining,16,264,1,6.039012017633915e-05
AITraining,16,265,1,6.039012017633915e-05
AITraining,16,267,1,6.039012017633915e-05
AITraining,16,268,1,6.039012017633915e-05
AITraining,16,269,1,6.039012017633915e-05
AITraining,16,270,3,0.00018117036052901745
AITraining,16,271,2,0.0001207802403526783
AITraining,16,273,2,0.0001207802403526783
AITraining,16,274,1,6.039012017633915e-05
AITraining,16,275,1,6.039012017633915e-05
AITraining,16,279,1,6.039012017633915e-05
AITraining,16,281,2,0.0001207802403526783
AITraining,16,283,1,6.039012017633915e-05
AITraining,16,284,1,6.039012017633915e-05
AITraining,16,285,1,6.039012017633915e-05
AITraining,16,286,1,6.039012017633915e-05
AITraining,16,292,1,6.039012017633915e-05
AITraining,16,296,1,6.039012017633915e-05
AITraining,16,304,1,6.039012017633915e-05
AITraining,16,312,1,6.039012017633915e-05
AITraining,16,313,2,0.0001207802403526783
AITraining,16,319,1,6.039012017633915e-05
AITraining,16,321,1,6.039012017633915e-05
AITraining,16,323,1,6.039012017633915e-05
AITraining,16,326,1,6.039012017633915e-05
AITraining,16,331,1,6.039012017633915e-05
AITraining,16,336,1,6.039012017633915e-05
AITraining,16,338,1,6.039012017633915e-05
AITraining,16,346,1,6.039012017633915e-05
AITraining,16,347,1,6.039012017633915e-05
AITraining,16,349,2,0.0001207802403526783
AITraining,16,350,1,6.039012017633915e-05
AITraining,16,351,1,6.039012017633915e-05
AITraining,16,357,2,0.0001207802403526783
AITraining,16,358,2,0.0001207802403526783
AITraining,16,359,1,6.039012017633915e-05
AITraining,16,360,1,6.039012017633915e-05
AITraining,16,361,1,6.039012017633915e-05
AITraining,16,372,1,6.039012017633915e-05
AITraining,16,380,1,6.039012017633915e-05
AITraining,16,381,1,6.039012017633915e-05
