TaskID,SourceRegion,ExecutionRegion,ArrivalHour,StartHour,FinishTime,GPU_Demand,Duration_h,TaskType,Latency_ms,Moved,Delayed
3498,RegionB,RegionB,2376,2376,2377.1833333333334,2.0,1.1833333333333333,RealTimeInference,5.0,0,0
17820,RegionC,RegionC,2376,2376,2377.25,1.0,1.25,RealTimeInference,5.0,0,0
49940,RegionB,RegionB,2376,2376,2377.55,6.0,1.55,RealTimeInference,5.0,0,0
33742,RegionA,RegionA,2376,2376,2378.5833333333335,3.0,2.5833333333333335,RealTimeInference,5.0,0,0
41926,RegionC,RegionC,2376,2376,2379.6833333333334,6.0,3.683333333333333,RealTimeInference,5.0,0,0
31600,RegionB,RegionB,2376,2376,2381.05,3.0,5.05,RealTimeInference,5.0,0,0
7403,RegionD,RegionD,2376,2376,2382.233333333333,10.0,6.233333333333333,BatchInference,5.0,0,0
7902,RegionE,RegionE,2376,2376,2376.4333333333334,11.0,0.43333333333333335,BatchInference,5.0,0,0
9267,RegionE,RegionE,2376,2376,2376.366666666667,7.0,0.36666666666666664,BatchInference,5.0,0,0
14647,RegionA,RegionA,2376,2376,2377.233333333333,11.0,1.2333333333333334,BatchInference,5.0,0,0
18201,RegionE,RegionE,2376,2376,2376.6666666666665,16.0,0.6666666666666666,BatchInference,5.0,0,0
26377,RegionB,RegionB,2376,2376,2382.4333333333334,17.0,6.433333333333334,BatchInference,5.0,0,0
29779,RegionF,RegionF,2376,2376,2381.6,17.0,5.6,BatchInference,5.0,0,0
33422,RegionB,RegionB,2376,2376,2382.1833333333334,9.0,6.183333333333334,BatchInference,5.0,0,0
3809,RegionF,RegionF,2376,2376,2377.633333333333,32.0,1.6333333333333333,AITraining,5.0,0,0
9415,RegionD,RegionD,2376,2376,2377.4666666666667,119.0,1.4666666666666666,AITraining,5.0,0,0
11961,RegionE,RegionE,2376,2376,2380.1,111.0,4.1,AITraining,5.0,0,0
35335,RegionF,RegionF,2376,2376,2379.2166666666667,34.0,3.216666666666667,AITraining,5.0,0,0
42169,RegionF,RegionF,2376,2376,2381.9333333333334,58.0,5.933333333333334,AITraining,5.0,0,0
29589,RegionE,RegionE,2377,2377,2378.016666666667,5.0,1.0166666666666666,RealTimeInference,5.0,0,0
47993,RegionC,RegionC,2377,2377,2378.4666666666667,4.0,1.4666666666666666,RealTimeInference,5.0,0,0
49049,RegionB,RegionB,2377,2377,2378.633333333333,3.0,1.6333333333333333,RealTimeInference,5.0,0,0
20965,RegionA,RegionA,2377,2377,2379.633333333333,2.0,2.6333333333333333,RealTimeInference,5.0,0,0
44279,RegionB,RegionB,2377,2377,2379.85,1.0,2.85,RealTimeInference,5.0,0,0
4316,RegionA,RegionA,2377,2377,2381.366666666667,5.0,4.366666666666666,RealTimeInference,5.0,0,0
6423,RegionA,RegionA,2377,2377,2381.383333333333,7.0,4.383333333333334,RealTimeInference,5.0,0,0
22636,RegionF,RegionF,2377,2377,2381.1666666666665,2.0,4.166666666666667,RealTimeInference,5.0,0,0
6481,RegionA,RegionA,2377,2377,2383.45,6.0,6.45,RealTimeInference,5.0,0,0
45743,RegionB,RegionB,2377,2377,2383.5333333333333,2.0,6.533333333333333,RealTimeInference,5.0,0,0
22926,RegionA,RegionA,2377,2377,2380.4666666666667,19.0,3.466666666666667,BatchInference,5.0,0,0
25757,RegionE,RegionE,2377,2377,2382.366666666667,17.0,5.366666666666666,BatchInference,5.0,0,0
26783,RegionA,RegionA,2377,2377,2379.3,16.0,2.3,BatchInference,5.0,0,0
29785,RegionE,RegionE,2377,2377,2382.5333333333333,17.0,5.533333333333333,BatchInference,5.0,0,0
35013,RegionE,RegionE,2377,2377,2382.766666666667,9.0,5.766666666666667,BatchInference,5.0,0,0
36594,RegionE,RegionE,2377,2377,2378.516666666667,12.0,1.5166666666666666,BatchInference,5.0,0,0
39791,RegionB,RegionB,2377,2377,2381.7833333333333,4.0,4.783333333333333,BatchInference,5.0,0,0
1540,RegionF,RegionF,2377,2377,2381.866666666667,98.0,4.866666666666666,AITraining,5.0,0,0
