Y_实时推理GPU需求_等效GPU,Y_批量推理GPU需求_等效GPU,Y_AI训练GPU需求_等效GPU
3,19.0,118.0
5,18.0,115.0
3,8.0,37.0
3,21.0,104.0
2,5.0,57.0
2,20.0,79.0
1,19.0,62.0
4,19.0,119.0
5,18.0,69.0
4,16.0,69.0
2,8.0,33.0
7,6.0,30.0
2,12.0,104.0
4,16.0,16.0
2,7.0,103.0
3,4.0,43.0
4,18.0,16.0
7,20.0,111.0
5,15.0,67.0
5,23.0,19.0
7,19.0,101.0
2,13.0,43.0
5,12.0,99.0
7,22.0,107.0
2,6.0,42.0
1,4.0,92.0
1,6.0,118.0
2,20.0,77.0
7,21.0,66.0
6,13.0,18.0
4,6.0,71.0
4,10.0,17.0
3,15.0,69.0
7,5.0,112.0
1,20.0,17.0
6,8.0,71.0
3,18.0,53.0
4,4.0,95.0
1,19.0,54.0
6,8.0,16.0
5,19.0,31.0
4,22.0,17.0
4,15.0,27.0
3,16.0,69.0
6,13.0,48.0
6,21.0,124.0
3,6.0,63.0
1,23.0,45.0
1,22.0,21.0
7,15.0,108.0
7,23.0,82.0
1,19.0,42.0
3,13.0,102.0
7,8.0,66.0
2,21.0,122.0
1,12.0,83.0
6,16.0,111.0
5,8.0,31.0
6,11.0,32.0
7,23.0,34.0
6,7.0,77.0
1,22.0,24.0
4,10.0,73.0
7,11.0,63.0
4,12.0,72.0
7,20.0,109.0
6,18.0,25.0
6,14.0,31.0
7,20.0,17.0
4,16.0,80.0
7,21.0,61.0
1,8.0,96.0
3,20.0,114.0
4,13.0,97.0
3,20.0,52.0
2,7.0,70.0
3,20.0,32.0
1,21.0,34.0
4,22.0,86.0
5,9.0,54.0
1,22.0,108.0
7,8.0,104.0
6,14.0,77.0
3,8.0,48.0
4,9.0,60.0
7,17.0,116.0
6,18.0,34.0
1,14.0,120.0
2,20.0,30.0
6,18.0,69.0
2,17.0,111.0
5,17.0,91.0
3,16.0,23.0
6,17.0,65.0
6,7.0,116.0
2,12.0,92.0
5,18.0,84.0
5,5.0,80.0
7,11.0,126.0
3,22.0,100.0
5,9.0,120.0
3,6.0,107.0
2,9.0,88.0
6,14.0,41.0
2,8.0,123.0
5,9.0,62.0
3,14.0,53.0
5,15.0,53.0
5,11.0,45.0
6,14.0,71.0
4,14.0,32.0
1,6.0,38.0
2,11.0,82.0
1,12.0,47.0
3,6.0,57.0
7,17.0,105.0
4,7.0,41.0
5,22.0,16.0
5,18.0,114.0
1,11.0,74.0
7,9.0,22.0
3,13.0,124.0
7,9.0,104.0
6,23.0,89.0
1,18.0,79.0
3,22.0,36.0
4,14.0,109.0
1,13.0,55.0
3,4.0,21.0
5,8.0,66.0
5,13.0,27.0
2,12.0,105.0
7,13.0,21.0
3,12.0,80.0
7,14.0,88.0
5,20.0,50.0
6,10.0,64.0
4,11.0,75.0
3,4.0,20.0
4,22.0,112.0
6,17.0,119.0
6,6.0,82.0
3,13.0,109.0
4,11.0,81.0
7,18.0,62.0
3,17.0,44.0
6,13.0,60.0
3,4.0,21.0
4,5.0,62.0
3,8.0,28.0
2,10.0,75.0
2,14.0,93.0
4,13.0,125.0
5,15.0,102.0
2,13.0,78.0
1,11.0,62.0
6,16.0,39.0
6,20.0,64.0
7,17.0,120.0
5,4.0,77.0
4,8.0,44.0
1,23.0,107.0
5,12.0,22.0
5,14.0,66.0
4,6.0,49.0
4,5.0,70.0
2,20.0,127.0
2,20.0,44.0
4,19.0,35.0
1,18.0,27.0
1,20.0,109.0
7,16.0,39.0
7,8.0,45.0
7,16.0,125.0
5,6.0,24.0
7,20.0,37.0
5,21.0,41.0
1,17.0,53.0
6,8.0,72.0
4,9.0,36.0
4,5.0,26.0
1,9.0,54.0
4,20.0,122.0
5,13.0,41.0
1,21.0,59.0
3,12.0,116.0
4,18.0,87.0
2,8.0,31.0
4,11.0,22.0
4,8.0,22.0
3,11.0,63.0
3,4.0,109.0
5,9.0,39.0
4,14.0,102.0
5,5.0,30.0
1,22.0,81.0
5,18.0,57.0
4,20.0,123.0
3,17.0,45.0
3,14.0,30.0
4,18.0,74.0
3,22.0,61.0
7,11.0,77.0
5,18.0,40.0
4,15.0,56.0
4,12.0,69.0
4,5.0,117.0
6,14.0,126.0
3,17.0,71.0
4,14.0,103.0
2,12.0,63.0
6,15.0,55.0
1,9.0,77.0
7,11.0,73.0
1,19.0,107.0
4,15.0,74.0
4,16.0,122.0
2,7.0,20.0
2,21.0,46.0
2,13.0,54.0
3,4.0,92.0
1,23.0,54.0
2,21.0,28.0
7,5.0,120.0
2,18.0,80.0
7,18.0,44.0
1,19.0,126.0
1,13.0,28.0
4,8.0,17.0
3,18.0,37.0
2,23.0,82.0
1,16.0,74.0
3,15.0,16.0
3,8.0,53.0
2,20.0,76.0
7,23.0,39.0
6,4.0,93.0
5,9.0,96.0
5,10.0,48.0
3,18.0,56.0
7,14.0,101.0
4,21.0,48.0
2,11.0,77.0
5,5.0,18.0
7,19.0,121.0
1,16.0,34.0
6,16.0,47.0
2,16.0,37.0
3,15.0,76.0
5,4.0,120.0
5,14.0,54.0
1,6.0,27.0
6,15.0,33.0
2,18.0,93.0
6,18.0,85.0
4,14.0,46.0
6,7.0,109.0
4,22.0,20.0
1,7.0,79.0
4,17.0,122.0
2,18.0,71.0
1,15.0,76.0
5,20.0,93.0
2,12.0,60.0
3,13.0,16.0
5,5.0,91.0
5,10.0,104.0
6,6.0,84.0
7,14.0,88.0
2,9.0,103.0
5,6.0,52.0
1,16.0,115.0
6,15.0,63.0
3,11.0,38.0
3,18.0,23.0
6,13.0,33.0
6,19.0,28.0
1,23.0,71.0
6,15.0,60.0
7,21.0,28.0
1,6.0,39.0
5,7.0,54.0
6,21.0,84.0
3,17.0,113.0
2,5.0,36.0
7,18.0,30.0
2,15.0,116.0
1,14.0,112.0
7,22.0,56.0
5,22.0,17.0
4,5.0,36.0
4,18.0,101.0
5,17.0,59.0
2,4.0,102.0
4,9.0,73.0
3,6.0,31.0
5,10.0,99.0
1,8.0,123.0
3,9.0,47.0
1,13.0,29.0
4,10.0,120.0
3,16.0,121.0
1,7.0,50.0
3,11.0,25.0
6,13.0,51.0
7,5.0,80.0
4,4.0,40.0
6,11.0,111.0
1,11.0,65.0
5,16.0,95.0
5,14.0,78.0
7,11.0,127.0
1,11.0,24.0
5,7.0,116.0
2,21.0,87.0
1,7.0,115.0
5,5.0,22.0
6,18.0,20.0
7,11.0,23.0
6,14.0,40.0
7,21.0,93.0
5,21.0,119.0
4,15.0,28.0
4,14.0,88.0
7,4.0,93.0
3,15.0,37.0
5,8.0,36.0
5,13.0,125.0
2,12.0,123.0
7,15.0,107.0
1,9.0,44.0
6,18.0,121.0
4,20.0,80.0
1,5.0,114.0
7,22.0,106.0
6,16.0,24.0
2,4.0,35.0
5,23.0,35.0
7,16.0,117.0
5,19.0,75.0
3,8.0,19.0
4,8.0,18.0
4,23.0,70.0
7,17.0,75.0
2,16.0,78.0
3,14.0,73.0
1,14.0,62.0
6,9.0,25.0
6,8.0,124.0
1,22.0,34.0
6,15.0,61.0
3,21.0,123.0
2,4.0,100.0
2,13.0,121.0
3,7.0,31.0
4,18.0,83.0
6,18.0,90.0
5,12.0,123.0
1,6.0,121.0
2,4.0,76.0
1,9.0,43.0
4,21.0,32.0
1,13.0,113.0
6,7.0,37.0
2,18.0,89.0
7,11.0,78.0
5,23.0,22.0
5,21.0,107.0
3,19.0,66.0
3,12.0,70.0
7,19.0,117.0
5,16.0,19.0
1,7.0,67.0
7,8.0,68.0
6,23.0,92.0
4,12.0,106.0
1,22.0,29.0
3,15.0,77.0
1,5.0,45.0
3,15.0,99.0
2,22.0,55.0
7,14.0,88.0
5,19.0,53.0
4,20.0,51.0
5,14.0,24.0
1,23.0,90.0
4,5.0,83.0
4,18.0,36.0
2,6.0,35.0
4,7.0,48.0
5,12.0,76.0
6,9.0,50.0
7,22.0,111.0
2,12.0,60.0
6,10.0,44.0
3,22.0,106.0
3,19.0,16.0
2,20.0,42.0
7,15.0,124.0
1,17.0,58.0
6,15.0,112.0
6,18.0,77.0
4,23.0,120.0
1,22.0,32.0
4,7.0,56.0
1,16.0,34.0
6,15.0,40.0
6,21.0,126.0
7,15.0,88.0
1,13.0,18.0
5,11.0,40.0
2,19.0,43.0
4,20.0,33.0
3,9.0,82.0
6,20.0,23.0
7,4.0,117.0
7,16.0,19.0
6,20.0,61.0
1,21.0,79.0
7,10.0,65.0
6,17.0,30.0
7,23.0,32.0
3,5.0,52.0
2,6.0,124.0
6,20.0,66.0
7,15.0,26.0
3,11.0,78.0
5,7.0,113.0
4,5.0,119.0
2,8.0,51.0
7,22.0,79.0
4,14.0,113.0
3,9.0,60.0
6,6.0,56.0
7,13.0,123.0
4,8.0,50.0
6,9.0,78.0
3,12.0,28.0
1,16.0,46.0
5,6.0,79.0
7,8.0,119.0
2,14.0,51.0
4,22.0,75.0
1,18.0,98.0
4,17.0,49.0
7,22.0,45.0
1,7.0,36.0
6,6.0,72.0
5,19.0,38.0
1,12.0,25.0
6,18.0,67.0
5,21.0,46.0
4,4.0,90.0
4,12.0,108.0
2,5.0,42.0
6,19.0,52.0
6,10.0,28.0
6,21.0,123.0
2,17.0,98.0
5,7.0,56.0
5,21.0,102.0
1,18.0,49.0
7,9.0,18.0
3,21.0,123.0
7,8.0,64.0
1,14.0,62.0
1,16.0,117.0
5,13.0,50.0
2,12.0,69.0
3,8.0,75.0
