X_实时推理GPU需求_等效GPU,Y_实时推理执行时长_分钟,X_批量推理GPU需求_等效GPU,Y_批量推理执行时长_分钟,X_AI训练GPU需求_等效GPU,Y_AI训练执行时长_分钟
3,198,19.0,199.0,118.0,280.0
5,224,18.0,60.0,115.0,161.0
3,97,8.0,144.0,37.0,245.0
3,318,21.0,98.0,104.0,68.0
2,303,5.0,101.0,57.0,197.0
2,286,20.0,59.0,79.0,140.0
1,323,19.0,224.0,62.0,215.0
4,253,19.0,347.0,119.0,399.0
5,176,18.0,289.0,69.0,269.0
4,251,16.0,166.0,69.0,200.0
2,355,8.0,50.0,33.0,171.0
7,273,6.0,236.0,30.0,74.0
2,279,12.0,24.0,104.0,353.0
4,305,16.0,180.0,16.0,145.0
2,261,7.0,169.0,103.0,90.0
3,298,4.0,386.0,43.0,210.0
4,42,18.0,383.0,16.0,227.0
7,71,20.0,61.0,111.0,250.0
5,369,15.0,395.0,67.0,105.0
5,140,23.0,207.0,19.0,240.0
7,368,19.0,210.0,101.0,75.0
2,389,13.0,272.0,43.0,53.0
5,72,12.0,108.0,99.0,340.0
7,252,22.0,217.0,107.0,240.0
2,71,6.0,161.0,42.0,130.0
1,293,4.0,376.0,92.0,268.0
1,122,6.0,58.0,118.0,146.0
2,207,20.0,229.0,77.0,234.0
7,212,21.0,351.0,66.0,181.0
6,249,13.0,35.0,18.0,122.0
4,335,6.0,22.0,71.0,196.0
4,355,10.0,45.0,17.0,229.0
3,157,15.0,152.0,69.0,233.0
7,137,5.0,297.0,112.0,135.0
1,378,20.0,179.0,17.0,181.0
6,125,8.0,126.0,71.0,264.0
3,113,18.0,105.0,53.0,334.0
4,108,4.0,198.0,95.0,157.0
1,393,19.0,95.0,54.0,369.0
6,203,8.0,103.0,16.0,160.0
5,170,19.0,350.0,31.0,121.0
4,286,22.0,105.0,17.0,263.0
4,144,15.0,172.0,27.0,46.0
3,137,16.0,104.0,69.0,217.0
6,247,13.0,124.0,48.0,380.0
6,239,21.0,385.0,124.0,273.0
3,235,6.0,295.0,63.0,13.0
1,326,23.0,226.0,45.0,55.0
1,289,22.0,109.0,21.0,389.0
7,125,15.0,242.0,108.0,190.0
7,170,23.0,376.0,82.0,27.0
1,67,19.0,78.0,42.0,395.0
3,289,13.0,232.0,102.0,351.0
7,136,8.0,224.0,66.0,195.0
2,113,21.0,85.0,122.0,110.0
1,308,12.0,262.0,83.0,374.0
6,48,16.0,179.0,111.0,364.0
5,330,8.0,348.0,31.0,379.0
6,151,11.0,330.0,32.0,328.0
7,134,23.0,336.0,34.0,67.0
6,63,7.0,261.0,77.0,136.0
1,62,22.0,373.0,24.0,138.0
4,112,10.0,182.0,73.0,10.0
7,317,11.0,392.0,63.0,246.0
4,156,12.0,10.0,72.0,229.0
7,78,20.0,321.0,109.0,32.0
6,85,18.0,89.0,25.0,334.0
6,213,14.0,339.0,31.0,345.0
7,263,20.0,221.0,17.0,393.0
4,189,16.0,44.0,80.0,177.0
7,259,21.0,374.0,61.0,262.0
1,13,8.0,298.0,96.0,273.0
3,161,20.0,107.0,114.0,45.0
4,188,13.0,92.0,97.0,105.0
3,332,20.0,87.0,52.0,378.0
2,53,7.0,378.0,70.0,288.0
3,224,20.0,264.0,32.0,71.0
1,205,21.0,344.0,34.0,274.0
4,286,22.0,317.0,86.0,215.0
5,366,9.0,344.0,54.0,190.0
1,201,22.0,142.0,108.0,340.0
7,233,8.0,271.0,104.0,141.0
6,196,14.0,120.0,77.0,200.0
3,34,8.0,101.0,48.0,126.0
4,62,9.0,142.0,60.0,326.0
7,66,17.0,87.0,116.0,236.0
6,183,18.0,359.0,34.0,56.0
1,292,14.0,57.0,120.0,23.0
2,14,20.0,301.0,30.0,10.0
6,100,18.0,136.0,69.0,153.0
2,28,17.0,37.0,111.0,367.0
5,157,17.0,395.0,91.0,382.0
3,357,16.0,23.0,23.0,325.0
6,53,17.0,248.0,65.0,229.0
6,212,7.0,76.0,116.0,237.0
2,99,12.0,155.0,92.0,249.0
5,91,18.0,120.0,84.0,19.0
5,15,5.0,273.0,80.0,233.0
7,367,11.0,245.0,126.0,276.0
3,32,22.0,110.0,100.0,226.0
5,174,9.0,291.0,120.0,394.0
3,214,6.0,40.0,107.0,206.0
2,48,9.0,229.0,88.0,10.0
6,388,14.0,344.0,41.0,171.0
2,63,8.0,127.0,123.0,231.0
5,75,9.0,391.0,62.0,238.0
3,112,14.0,342.0,53.0,235.0
5,147,15.0,22.0,53.0,107.0
5,214,11.0,93.0,45.0,115.0
6,249,14.0,47.0,71.0,339.0
4,193,14.0,85.0,32.0,349.0
1,361,6.0,10.0,38.0,383.0
2,286,11.0,69.0,82.0,102.0
1,355,12.0,279.0,47.0,70.0
3,201,6.0,174.0,57.0,31.0
7,135,17.0,71.0,105.0,82.0
4,154,7.0,246.0,41.0,56.0
5,34,22.0,362.0,16.0,122.0
5,238,18.0,154.0,114.0,189.0
1,159,11.0,24.0,74.0,380.0
7,359,9.0,106.0,22.0,120.0
3,327,13.0,127.0,124.0,303.0
7,256,9.0,168.0,104.0,37.0
6,71,23.0,24.0,89.0,282.0
1,344,18.0,341.0,79.0,324.0
3,35,22.0,301.0,36.0,79.0
4,221,14.0,78.0,109.0,161.0
1,122,13.0,47.0,55.0,45.0
3,170,4.0,113.0,21.0,378.0
5,147,8.0,136.0,66.0,309.0
5,276,13.0,296.0,27.0,10.0
2,305,12.0,38.0,105.0,329.0
7,297,13.0,322.0,21.0,19.0
3,143,12.0,72.0,80.0,110.0
7,298,14.0,395.0,88.0,274.0
5,298,20.0,373.0,50.0,104.0
6,95,10.0,93.0,64.0,327.0
4,263,11.0,336.0,75.0,343.0
3,227,4.0,150.0,20.0,388.0
4,385,22.0,220.0,112.0,318.0
6,266,17.0,184.0,119.0,48.0
6,355,6.0,275.0,82.0,188.0
3,158,13.0,375.0,109.0,166.0
4,99,11.0,258.0,81.0,132.0
7,356,18.0,76.0,62.0,374.0
3,191,17.0,129.0,44.0,270.0
6,170,13.0,170.0,60.0,104.0
3,163,4.0,206.0,21.0,32.0
4,58,5.0,128.0,62.0,311.0
3,266,8.0,265.0,28.0,219.0
2,122,10.0,255.0,75.0,365.0
2,328,14.0,155.0,93.0,306.0
4,273,13.0,50.0,125.0,191.0
5,368,15.0,126.0,102.0,10.0
2,64,13.0,36.0,78.0,64.0
1,264,11.0,277.0,62.0,146.0
6,174,16.0,182.0,39.0,189.0
