X_每小时到达任务数_个,Y_实际频率_百分比,Y_泊松理论概率_百分比
0,0.0,9.099767730936354e-08
1,0.0,1.8943534328649546e-06
2,0.0,1.9717947945018435e-05
3,0.0,0.000136826797793642
4,0.0,0.0007121014562468206
5,0.0,0.002964848945766419
6,0.0,0.010286840910683192
7,0.0,0.030592480047970112
8,0.04251700680272109,0.079607759385032
9,0.21258503401360543,0.18413807269318463
10,0.21258503401360543,0.3833313117889613
11,0.8078231292517006,0.7254580635096965
12,1.2329931972789117,1.2585247719538522
13,1.6581632653061225,2.015343681618798
14,3.0187074829931975,2.996758767100966
15,4.039115646258503,4.159022095055705
16,5.654761904761905,5.4113041783644755
17,7.01530612244898,6.62649275923518
18,7.568027210884353,7.663760510450554
19,9.311224489795919,8.396900865404339
20,7.950680272108843,8.740167029608672
21,9.693877551020408,8.66425328536467
22,7.142857142857143,8.198589857979762
23,7.738095238095238,7.420651346056416
24,6.377551020408164,6.436673608577115
25,5.059523809523809,5.359844385999337
26,4.039115646258503,4.2915041318629745
27,3.443877551020408,3.308845376801585
28,2.6360544217687076,2.460079509601761
29,2.0408163265306123,1.7659640075743919
30,0.9778911564625851,1.2254378642696226
31,0.7653061224489796,0.8229250898100893
32,0.5952380952380952,0.5353539696584225
33,0.25510204081632654,0.33772078458545585
34,0.25510204081632654,0.2067804968944832
35,0.21258503401360543,0.12299068840433167
36,0.04251700680272109,0.07112142238687269
