X_时间_小时,Y_到达任务数_个,Y_到达GPU需求_等效GPU
0,19,657
1,18,753
2,28,909
3,16,532
4,14,438
5,21,455
6,23,463
7,17,770
8,24,576
9,17,359
10,19,800
11,25,669
12,18,493
13,25,753
14,25,583
15,28,789
16,18,294
17,25,834
18,22,603
19,26,829
20,19,577
21,21,1105
22,17,249
23,21,435
24,19,676
25,17,405
26,24,688
27,24,727
28,27,1196
29,29,1024
30,15,396
31,15,178
32,33,1205
33,23,731
34,34,1140
35,15,423
36,15,691
37,16,504
38,20,542
39,27,531
40,25,719
41,16,664
42,24,473
43,21,585
44,22,916
45,19,504
46,19,418
47,14,385
48,25,800
49,23,664
50,17,488
51,21,572
52,19,295
53,21,850
54,20,537
55,12,523
56,23,536
57,30,863
58,22,634
59,12,142
60,19,546
61,24,857
62,16,513
63,20,745
64,15,469
65,16,413
66,24,772
67,25,764
68,13,286
69,24,1084
70,18,459
71,19,649
72,19,499
73,22,396
74,24,864
75,21,874
76,20,649
77,30,639
78,15,339
79,18,400
80,23,499
81,26,387
82,20,743
83,18,627
84,18,581
85,20,403
86,20,380
87,24,733
88,24,680
89,19,570
90,18,415
91,17,573
92,22,838
93,21,275
94,31,635
95,26,925
96,18,507
97,20,739
98,17,425
99,13,277
100,12,270
101,21,446
102,15,535
103,19,532
104,30,837
105,20,506
106,19,202
107,24,590
108,17,533
109,23,933
110,21,734
111,18,517
112,25,875
113,20,370
114,20,804
115,23,786
116,17,741
117,23,580
118,28,644
119,31,774
120,26,759
121,23,907
122,24,815
123,24,736
124,21,899
125,14,441
126,18,713
127,24,848
128,20,568
129,16,499
130,15,193
131,28,678
132,19,605
133,22,944
134,18,473
135,16,618
136,20,400
137,26,548
138,23,657
139,18,529
140,18,651
141,21,656
142,21,466
143,17,378
144,21,859
145,15,476
146,23,594
147,21,950
148,19,806
149,26,562
150,22,680
151,28,705
152,26,986
153,26,710
154,25,709
155,11,275
156,18,541
157,15,552
158,16,731
159,22,542
160,14,432
161,27,898
162,20,353
163,20,688
164,24,484
165,20,646
166,23,804
167,19,283
168,21,834
169,12,438
170,23,1080
171,22,793
172,18,484
173,17,773
174,19,560
175,20,724
176,14,363
177,25,474
178,12,458
179,31,600
180,20,617
181,25,580
182,20,697
183,29,822
184,25,927
185,22,570
186,19,328
187,18,577
188,24,734
189,17,491
190,25,813
191,19,601
192,32,996
193,27,491
194,15,626
195,23,1023
196,21,509
197,14,592
198,21,514
199,17,797
200,19,427
201,23,682
202,21,790
203,21,398
204,24,699
205,20,587
206,23,543
207,16,262
208,23,573
209,17,508
210,21,661
211,21,418
212,25,785
213,26,564
214,24,693
215,20,670
216,16,526
217,21,866
218,21,865
219,25,943
220,20,671
221,20,540
222,21,716
223,29,928
224,26,712
225,15,451
226,26,641
227,20,882
228,23,1005
229,26,1121
230,17,560
231,16,287
232,23,761
233,18,626
234,18,330
235,20,1046
236,16,842
237,22,403
238,15,472
239,18,363
240,22,666
241,21,710
242,18,535
243,20,772
244,19,568
245,25,828
246,15,674
247,23,512
248,17,332
249,25,721
250,23,1001
251,25,538
252,25,731
253,24,842
254,22,357
255,21,870
