X_时间_小时,Y_实际到达GPU需求_等效GPU,Y_复合泊松预测均值_等效GPU,Y_90%预测区间下限_等效GPU,Y_90%预测区间上限_等效GPU
2376,473.0,612.8640572390573,296.0,991.0500000000002
2377,1092.0,612.8640572390573,296.0,991.0500000000002
2378,923.0,612.8640572390573,296.0,991.0500000000002
2379,662.0,612.8640572390573,296.0,991.0500000000002
2380,869.0,612.8640572390573,296.0,991.0500000000002
2381,786.0,612.8640572390573,296.0,991.0500000000002
2382,461.0,612.8640572390573,296.0,991.0500000000002
2383,674.0,612.8640572390573,296.0,991.0500000000002
2384,536.0,612.8640572390573,296.0,991.0500000000002
2385,732.0,612.8640572390573,296.0,991.0500000000002
2386,646.0,612.8640572390573,296.0,991.0500000000002
2387,994.0,612.8640572390573,296.0,991.0500000000002
2388,669.0,612.8640572390573,296.0,991.0500000000002
2389,594.0,612.8640572390573,296.0,991.0500000000002
2390,1049.0,612.8640572390573,296.0,991.0500000000002
2391,781.0,612.8640572390573,296.0,991.0500000000002
2392,723.0,612.8640572390573,296.0,991.0500000000002
2393,358.0,612.8640572390573,296.0,991.0500000000002
2394,987.0,612.8640572390573,296.0,991.0500000000002
2395,733.0,612.8640572390573,296.0,991.0500000000002
2396,722.0,612.8640572390573,296.0,991.0500000000002
2397,573.0,612.8640572390573,296.0,991.0500000000002
2398,867.0,612.8640572390573,296.0,991.0500000000002
2399,545.0,612.8640572390573,296.0,991.0500000000002
