Y_绘图序号_无量纲,X_开始时间_小时,X_结束时间_小时,类别_执行区域,类别_任务类型,类别_调度状态,标签_任务编号
1,2376,2377.233333333333,RegionA,批量推理,到达即执行,14647
2,2376,2378.5833333333335,RegionA,实时推理,到达即执行,33742
3,2377,2380.4666666666667,RegionA,批量推理,到达即执行,22926
4,2377,2379.3,RegionA,批量推理,到达即执行,26783
5,2377,2381.366666666667,RegionA,实时推理,到达即执行,4316
6,2377,2381.383333333333,RegionA,实时推理,到达即执行,6423
7,2377,2383.45,RegionA,实时推理,到达即执行,6481
8,2377,2379.633333333333,RegionA,实时推理,到达即执行,20965
9,2378,2379.7166666666667,RegionA,实时推理,到达即执行,3444
10,2378,2383.483333333333,RegionA,实时推理,到达即执行,25839
11,2379,2384.116666666667,RegionA,批量推理,到达即执行,11216
12,2379,2381.5833333333335,RegionA,批量推理,到达即执行,14405
13,2379,2385.616666666667,RegionA,实时推理,到达即执行,23424
14,2380,2382.866666666667,RegionA,AI训练,到达即执行,40898
15,2381,2385.1833333333334,RegionA,批量推理,到达即执行,18905
16,2381,2384.366666666667,RegionA,批量推理,到达即执行,34989
17,2381,2382.8,RegionA,批量推理,到达即执行,35507
18,2381,2387.5833333333335,RegionA,实时推理,到达即执行,43240
19,2382,2387.116666666667,RegionA,批量推理,到达即执行,14772
20,2382,2387.3333333333335,RegionA,批量推理,到达即执行,16116
21,2382,2382.883333333333,RegionA,实时推理,到达即执行,15185
22,2383,2385.8,RegionA,批量推理,到达即执行,4060
23,2383,2383.866666666667,RegionA,批量推理,到达即执行,12791
24,2383,2384.6666666666665,RegionA,批量推理,到达即执行,34149
25,2383,2384.8,RegionA,实时推理,到达即执行,21103
26,2383,2387.3166666666666,RegionA,实时推理,到达即执行,35298
27,2383,2388.35,RegionA,实时推理,到达即执行,41298
28,2384,2386.5333333333333,RegionA,实时推理,到达即执行,16950
29,2384,2388.0666666666666,RegionA,实时推理,到达即执行,47997
30,2385,2389.7833333333333,RegionA,实时推理,到达即执行,23890
31,2386,2391.2166666666667,RegionA,批量推理,到达即执行,23667
32,2386,2387.2,RegionA,实时推理,到达即执行,19693
33,2386,2388.6833333333334,RegionA,实时推理,到达即执行,48396
34,2387,2387.65,RegionA,批量推理,到达即执行,2374
35,2387,2387.5333333333333,RegionA,批量推理,到达即执行,40446
36,2387,2387.65,RegionA,实时推理,到达即执行,12025
37,2387,2388.7833333333333,RegionA,实时推理,到达即执行,29773
38,2387,2388.8166666666666,RegionA,实时推理,到达即执行,32719
39,2388,2388.983333333333,RegionA,AI训练,到达即执行,43266
40,2388,2391.9166666666665,RegionA,批量推理,到达即执行,583
41,2388,2390.366666666667,RegionA,批量推理,到达即执行,6323
42,2388,2394.05,RegionA,批量推理,到达即执行,16274
43,2388,2390.733333333333,RegionA,批量推理,到达即执行,42007
44,2388,2394.233333333333,RegionA,批量推理,到达即执行,42663
45,2388,2389.3333333333335,RegionA,批量推理,到达即执行,43463
46,2388,2393.0333333333333,RegionA,批量推理,到达即执行,45156
47,2388,2392.233333333333,RegionA,实时推理,到达即执行,27636
48,2388,2392.3,RegionA,实时推理,到达即执行,28692
49,2388,2389.4,RegionA,实时推理,到达即执行,36175
50,2389,2391.75,RegionA,批量推理,到达即执行,39318
51,2389,2393.8333333333335,RegionA,实时推理,到达即执行,1096
52,2389,2395.0,RegionA,实时推理,到达即执行,6232
53,2389,2390.9166666666665,RegionA,实时推理,到达即执行,32162
54,2389,2389.8333333333335,RegionA,实时推理,到达即执行,48004
55,2390,2395.05,RegionA,批量推理,到达即执行,24572
56,2390,2396.4666666666667,RegionA,批量推理,到达即执行,39397
57,2391,2391.616666666667,RegionA,AI训练,到达即执行,12397
58,2391,2395.2,RegionA,批量推理,到达即执行,4113
59,2391,2396.766666666667,RegionA,批量推理,到达即执行,18367
60,2391,2394.4333333333334,RegionA,实时推理,到达即执行,25215
61,2391,2395.616666666667,RegionA,实时推理,到达即执行,35783
62,2392,2393.45,RegionA,批量推理,到达即执行,315
63,2392,2396.5333333333333,RegionA,批量推理,到达即执行,18826
64,2392,2395.2,RegionA,批量推理,到达即执行,27301
65,2392,2392.65,RegionA,批量推理,到达即执行,28488
66,2392,2397.266666666667,RegionA,实时推理,到达即执行,21792
67,2392,2394.883333333333,RegionA,实时推理,到达即执行,32917
68,2393,2395.05,RegionA,批量推理,到达即执行,4611
69,2393,2396.95,RegionA,实时推理,到达即执行,7484
70,2393,2394.5333333333333,RegionA,实时推理,到达即执行,21897
71,2393,2395.4333333333334,RegionA,实时推理,到达即执行,27485
72,2393,2398.5333333333333,RegionA,实时推理,到达即执行,31748
73,2393,2399.1,RegionA,实时推理,到达即执行,45529
74,2394,2395.116666666667,RegionA,批量推理,到达即执行,39468
75,2394,2394.8166666666666,RegionA,实时推理,到达即执行,1843
76,2394,2398.483333333333,RegionA,实时推理,到达即执行,12444
77,2394,2399.0666666666666,RegionA,实时推理,到达即执行,34439
78,2395,2401.016666666667,RegionA,批量推理,到达即执行,42958
79,2395,2395.7833333333333,RegionA,实时推理,到达即执行,13251
80,2395,2397.0666666666666,RegionA,实时推理,到达即执行,41247
81,2395,2399.266666666667,RegionA,实时推理,到达即执行,49617
82,2396,2402.633333333333,RegionA,AI训练,到达即执行,38786
83,2396,2402.3333333333335,RegionA,批量推理,到达即执行,40505
84,2396,2401.4333333333334,RegionA,实时推理,到达即执行,18394
85,2396,2400.5333333333333,RegionA,实时推理,到达即执行,26836
86,2396,2396.55,RegionA,实时推理,到达即执行,38774
87,2396,2402.4333333333334,RegionA,实时推理,到达即执行,40341
88,2397,2399.0,RegionA,AI训练,到达即执行,49550
89,2397,2398.1666666666665,RegionA,AI训练,到达即执行,49609
90,2397,2401.1666666666665,RegionA,批量推理,到达即执行,29787
91,2397,2401.45,RegionA,批量推理,到达即执行,37081
92,2397,2398.116666666667,RegionA,批量推理,到达即执行,46028
93,2398,2399.1666666666665,RegionA,实时推理,到达即执行,7530
94,2398,2400.0833333333335,RegionA,实时推理,到达即执行,13381
95,2398,2399.3333333333335,RegionA,实时推理,到达即执行,40375
96,2399,2405.6,RegionA,实时推理,到达即执行,41451
97,2376,2382.4333333333334,RegionB,批量推理,到达即执行,26377
98,2376,2382.1833333333334,RegionB,批量推理,到达即执行,33422
99,2376,2377.1833333333334,RegionB,实时推理,到达即执行,3498
100,2376,2381.05,RegionB,实时推理,到达即执行,31600
101,2376,2377.55,RegionB,实时推理,到达即执行,49940
102,2377,2381.7833333333333,RegionB,批量推理,到达即执行,39791
103,2377,2379.85,RegionB,实时推理,到达即执行,44279
104,2377,2383.5333333333333,RegionB,实时推理,到达即执行,45743
105,2377,2378.633333333333,RegionB,实时推理,到达即执行,49049
106,2378,2382.45,RegionB,批量推理,到达即执行,18427
107,2378,2382.65,RegionB,实时推理,到达即执行,2508
108,2378,2380.4166666666665,RegionB,实时推理,到达即执行,24568
109,2379,2382.75,RegionB,批量推理,到达即执行,2763
110,2379,2385.4,RegionB,实时推理,到达即执行,30708
111,2380,2383.5,RegionB,AI训练,到达即执行,20964
112,2380,2381.2166666666667,RegionB,AI训练,到达即执行,36438
113,2380,2382.8333333333335,RegionB,批量推理,到达即执行,43668
114,2380,2381.2,RegionB,实时推理,到达即执行,28667
115,2380,2382.85,RegionB,实时推理,到达即执行,46876
116,2381,2387.1,RegionB,AI训练,到达即执行,42499
117,2381,2385.2166666666667,RegionB,批量推理,到达即执行,28161
118,2381,2383.0333333333333,RegionB,实时推理,到达即执行,9585
119,2382,2387.4166666666665,RegionB,批量推理,到达即执行,49336
120,2382,2386.733333333333,RegionB,实时推理,到达即执行,29651
121,2383,2389.55,RegionB,批量推理,到达即执行,37312
122,2383,2387.25,RegionB,批量推理,到达即执行,40802
123,2383,2383.8166666666666,RegionB,实时推理,到达即执行,13331
124,2383,2385.0333333333333,RegionB,实时推理,到达即执行,43047
125,2383,2387.383333333333,RegionB,实时推理,到达即执行,45879
126,2384,2385.9333333333334,RegionB,AI训练,到达即执行,34201
127,2384,2385.1,RegionB,实时推理,到达即执行,26569
128,2384,2385.75,RegionB,实时推理,到达即执行,26779
129,2385,2389.9166666666665,RegionB,批量推理,到达即执行,205
130,2385,2390.5666666666666,RegionB,批量推理,到达即执行,1234
131,2385,2391.1666666666665,RegionB,批量推理,到达即执行,46875
132,2385,2389.616666666667,RegionB,实时推理,到达即执行,14669
133,2385,2387.866666666667,RegionB,实时推理,到达即执行,25467
134,2386,2389.3,RegionB,AI训练,到达即执行,46192
135,2386,2391.866666666667,RegionB,批量推理,到达即执行,11834
136,2386,2389.6666666666665,RegionB,批量推理,到达即执行,14622
137,2386,2387.5666666666666,RegionB,批量推理,到达即执行,33605
138,2386,2387.25,RegionB,实时推理,到达即执行,8353
139,2386,2390.016666666667,RegionB,实时推理,到达即执行,29239
140,2386,2388.4,RegionB,实时推理,到达即执行,32465
141,2386,2392.2,RegionB,实时推理,到达即执行,40554
142,2387,2392.15,RegionB,批量推理,到达即执行,31953
143,2387,2390.366666666667,RegionB,批量推理,到达即执行,33356
144,2387,2388.6666666666665,RegionB,实时推理,到达即执行,23708
145,2387,2388.65,RegionB,实时推理,到达即执行,25000
146,2387,2391.5666666666666,RegionB,实时推理,到达即执行,36735
147,2388,2390.2,RegionB,批量推理,到达即执行,40539
148,2388,2390.2833333333333,RegionB,实时推理,到达即执行,43032
149,2389,2391.3,RegionB,AI训练,到达即执行,34647
150,2389,2394.5333333333333,RegionB,批量推理,到达即执行,45583
151,2390,2391.75,RegionB,批量推理,到达即执行,165
152,2390,2393.0333333333333,RegionB,批量推理,到达即执行,1136
153,2390,2391.1,RegionB,实时推理,到达即执行,21242
154,2390,2395.766666666667,RegionB,实时推理,到达即执行,34531
155,2391,2396.266666666667,RegionB,AI训练,到达即执行,38937
156,2391,2397.5666666666666,RegionB,AI训练,到达即执行,41410
157,2391,2395.516666666667,RegionB,批量推理,到达即执行,18847
158,2391,2392.4166666666665,RegionB,批量推理,到达即执行,33573
159,2391,2395.2,RegionB,实时推理,到达即执行,35181
160,2391,2391.733333333333,RegionB,实时推理,到达即执行,39380
161,2391,2392.75,RegionB,实时推理,到达即执行,49684
162,2392,2395.2166666666667,RegionB,批量推理,到达即执行,47787
163,2392,2393.733333333333,RegionB,实时推理,到达即执行,6235
164,2392,2397.5666666666666,RegionB,实时推理,到达即执行,44811
165,2393,2397.25,RegionB,实时推理,到达即执行,5663
166,2393,2395.25,RegionB,实时推理,到达即执行,23544
167,2393,2396.5333333333333,RegionB,实时推理,到达即执行,38021
168,2394,2397.6,RegionB,批量推理,到达即执行,4848
169,2394,2398.983333333333,RegionB,批量推理,到达即执行,6508
170,2394,2399.55,RegionB,批量推理,到达即执行,14327
171,2394,2394.1666666666665,RegionB,实时推理,到达即执行,13174
172,2394,2394.9166666666665,RegionB,实时推理,到达即执行,16041
173,2394,2396.733333333333,RegionB,实时推理,到达即执行,42258
174,2395,2396.5333333333333,RegionB,AI训练,到达即执行,24073
175,2395,2395.8333333333335,RegionB,实时推理,到达即执行,40599
176,2396,2400.15,RegionB,AI训练,到达即执行,14844
177,2396,2399.2833333333333,RegionB,批量推理,到达即执行,12431
178,2396,2401.266666666667,RegionB,实时推理,到达即执行,5138
179,2396,2398.9166666666665,RegionB,实时推理,到达即执行,15175
180,2396,2400.616666666667,RegionB,实时推理,到达即执行,23682
181,2397,2397.6666666666665,RegionB,批量推理,到达即执行,34117
182,2397,2401.633333333333,RegionB,实时推理,到达即执行,7165
183,2397,2397.266666666667,RegionB,实时推理,到达即执行,42220
184,2398,2398.266666666667,RegionB,AI训练,到达即执行,30449
185,2398,2400.1,RegionB,批量推理,到达即执行,8745
