X_时间_小时,Y_区域序号_无量纲,Z_GPU利用率_百分比,标签_区域
2376,1,2.2222222222222223,RegionA
2377,1,9.613756613756243,RegionA
2378,1,10.27777777777785,RegionA
2379,1,14.616402116402574,RegionA
2380,1,31.089947089947177,RegionA
2381,1,27.992063492062684,RegionA
2382,1,26.87037037037087,RegionA
2383,1,26.288359788358296,RegionA
2384,1,14.978835978836504,RegionA
2385,1,10.26719576719621,RegionA
2386,1,11.301587301587272,RegionA
2387,1,9.867724867725348,RegionA
2388,1,44.69841269840907,RegionA
2389,1,30.674603174603607,RegionA
2390,1,29.53439153439087,RegionA
2391,1,40.20370370370543,RegionA
2392,1,32.957671957672005,RegionA
2393,1,28.32539682539752,RegionA
2394,1,22.70370370370406,RegionA
2395,1,16.156084656085156,RegionA
2396,1,29.35714285714348,RegionA
2397,1,55.75661375661386,RegionA
2398,1,49.4470899470894,RegionA
2399,1,26.904761904761905,RegionA
2400,1,24.95767195767207,RegionA
2401,1,18.64021164021165,RegionA
2402,1,10.640211640209975,RegionA
2403,1,0.6349206349206349,RegionA
2404,1,0.6349206349206349,RegionA
2405,1,0.3809523809523232,RegionA
2376,2,6.3247863247863245,RegionB
2377,2,7.2934472934475005,RegionB
2378,2,10.410256410256348,RegionB
2379,2,12.79487179487178,RegionB
2380,2,41.310541310541204,RegionB
2381,2,49.56980056980061,RegionB
2382,2,44.34188034188052,RegionB
2383,2,32.49857549857544,RegionB
2384,2,37.0940170940171,RegionB
2385,2,41.578347578348314,RegionB
2386,2,59.33903133903108,RegionB
2387,2,51.133903133901796,RegionB
2388,2,47.00284900284901,RegionB
2389,2,40.81766381766723,RegionB
2390,2,31.71794871794867,RegionB
2391,2,33.86324786324948,RegionB
2392,2,20.91452991452951,RegionB
2393,2,18.826210826210726,RegionB
2394,2,30.00284900284865,RegionB
2395,2,44.54985754985812,RegionB
2396,2,42.48433048433079,RegionB
2397,2,29.071225071224127,RegionB
2398,2,29.034188034188645,RegionB
2399,2,31.515669515670083,RegionB
2400,2,17.18518518518588,RegionB
2401,2,9.698005698005428,RegionB
2402,2,5.447293447293779,RegionB
2403,2,4.700854700854701,RegionB
2404,2,0.28490028490080316,RegionB
2405,2,0.0,RegionB
2376,3,1.2962962962962963,RegionC
2377,3,22.26851851851852,RegionC
2378,3,28.86419753086422,RegionC
2379,3,33.35185185185192,RegionC
2380,3,29.648148148145772,RegionC
2381,3,34.75925925925889,RegionC
2382,3,49.629629629629626,RegionC
2383,3,32.90123456790356,RegionC
2384,3,16.76543209876509,RegionC
2385,3,16.709876543209838,RegionC
2386,3,14.746913580247227,RegionC
2387,3,31.04938271604927,RegionC
2388,3,32.01234567901237,RegionC
2389,3,29.21604938271609,RegionC
2390,3,12.90123456789986,RegionC
2391,3,8.777777777778384,RegionC
2392,3,12.373456790123614,RegionC
2393,3,14.16666666666633,RegionC
2394,3,10.074074074073755,RegionC
2395,3,9.481481481481447,RegionC
2396,3,8.966049382715433,RegionC
2397,3,7.410493827161038,RegionC
2398,3,9.03086419753082,RegionC
2399,3,19.13580246913625,RegionC
2400,3,15.925925925926094,RegionC
2401,3,14.379629629629562,RegionC
2402,3,12.836419753085314,RegionC
2403,3,5.003086419753378,RegionC
2404,3,1.4259259259255554,RegionC
2405,3,0.0,RegionC
2376,4,8.763586956521738,RegionD
2377,4,18.650362318840823,RegionD
2378,4,25.99184782608735,RegionD
2379,4,34.959239130434746,RegionD
2380,4,36.01788949275341,RegionD
2381,4,39.83695652173929,RegionD
2382,4,42.65285326087046,RegionD
2383,4,42.438858695652655,RegionD
2384,4,32.325634057969694,RegionD
2385,4,22.638134057971712,RegionD
2386,4,25.570652173914254,RegionD
2387,4,30.819746376811647,RegionD
2388,4,25.237771739128334,RegionD
2389,4,26.524003623187884,RegionD
2390,4,46.80932971014495,RegionD
2391,4,50.440443840580066,RegionD
2392,4,56.49003623188578,RegionD
2393,4,39.84148550724765,RegionD
2394,4,43.7284873188408,RegionD
2395,4,47.21693840579531,RegionD
2396,4,49.03985507246279,RegionD
2397,4,40.181159420288594,RegionD
2398,4,44.49615036231982,RegionD
2399,4,33.534873188406216,RegionD
2400,4,24.63654891304268,RegionD
2401,4,14.493885869565148,RegionD
2402,4,11.356431159419692,RegionD
2403,4,8.355978260869565,RegionD
2404,4,0.5570652173907977,RegionD
2405,4,0.0,RegionD
2376,5,12.74703557312244,RegionE
2377,5,48.616600790513836,RegionE
2378,5,71.41633728590509,RegionE
2379,5,67.98418972332016,RegionE
2380,5,52.45718050065738,RegionE
2381,5,57.84255599472534,RegionE
2382,5,32.96277997365135,RegionE
2383,5,50.790513833991916,RegionE
2384,5,62.96936758893263,RegionE
2385,5,72.25461133069896,RegionE
2386,5,68.37450592885585,RegionE
2387,5,76.83135704874942,RegionE
