Split,Level,Model,MAE,RMSE,WAPE,PICP,MPIW,IntervalScore
Validation,RegionTaskType,M0,23.811004031242128,45.85194935797013,0.727773718798401,,,
Validation,Region,M0,58.37833640400605,79.18188168415394,0.594770089300755,,,
Validation,TaskType,M0,68.18653155706727,109.35714934056412,0.3473489650565193,,,
Validation,System,M0,162.01806972789117,181.23713905425012,0.2751120470828773,,,
Test,RegionTaskType,M0,26.518604252400547,53.78677216074097,0.6565440447611345,,,
Test,Region,M0,65.61788603628881,95.09550454541066,0.5415196050905834,,,
Test,TaskType,M0,67.09383183688738,122.55050455496921,0.2768500138836547,,,
Test,System,M0,176.68164281705947,221.0538767476365,0.24301446659461443,,,
Validation,RegionTaskType,M1,35.84953703703704,69.924877017596,1.0957266166690252,,,
Validation,Region,M1,92.60416666666667,120.89495555141156,0.9434696476581294,,,
Validation,TaskType,M1,99.59722222222223,170.882472607475,0.5073581434837979,,,
Validation,System,M1,250.95833333333334,293.9952522292381,0.42613555964341304,,,
Test,RegionTaskType,M1,35.30324074074074,72.86283727357558,0.8740328958679581,,,
Test,Region,M1,90.54861111111111,126.8242714677807,0.7472634534930368,,,
Test,TaskType,M1,103.29166666666667,184.7614452927522,0.42621353659235484,,,
Test,System,M1,268.4583333333333,331.4949094631771,0.36924752134792826,,,
Validation,RegionTaskType,M2,29.636574074074073,60.5823016876858,0.9058299136833168,,,
Validation,Region,M2,72.13194444444444,101.88490919769337,0.7348945804443187,,,
Validation,TaskType,M2,81.15277777777777,138.41639072820178,0.41340031130607047,,,
Validation,System,M2,175.125,220.69841790703137,0.2973680486769492,,,
Test,RegionTaskType,M2,35.91203703703704,72.54392028537174,0.8891053928591897,,,
Test,Region,M2,92.31944444444444,126.48665937560372,0.7618774714883374,,,
Test,TaskType,M2,102.69444444444444,171.6823617420652,0.4237492119892257,,,
Test,System,M2,260.3333333333333,309.93346060081996,0.35807209582211014,,,
Validation,RegionTaskType,M3,23.788271102507544,45.83574136719477,0.7270788960155129,,,
Validation,Region,M3,58.297325855923106,79.13220065171484,0.5939447377425305,,,
Validation,TaskType,M3,68.18653155706727,109.35714934056413,0.3473489650565193,,,
Validation,System,M3,162.01806972789117,181.2371390542501,0.2751120470828773,,,
Test,RegionTaskType,M3,26.48773020528908,53.737739622951004,0.6557796692466549,,,
Test,Region,M3,65.49160642932326,94.99859940765135,0.540477467237237,,,
Test,TaskType,M3,67.0938318368874,122.55050455496922,0.2768500138836548,,,
Test,System,M3,176.68164281705947,221.0538767476365,0.24301446659461443,,,
Validation,RegionTaskType,M3_90PI,,,,0.9490740740740741,97.28055555555557,120.93796296296297
Validation,Region,M3_90PI,,,,0.9444444444444444,251.8416666666667,295.86249999999995
Validation,TaskType,M3_90PI,,,,0.9722222222222222,282.6666666666667,283.77777777777777
Validation,System,M3_90PI,,,,1.0,698.0500000000002,698.0500000000002
Test,RegionTaskType,M3_90PI,,,,0.9421296296296297,97.66944444444445,124.69953703703703
Test,Region,M3_90PI,,,,0.8958333333333334,251.85000000000002,343.3430555555555
Test,TaskType,M3_90PI,,,,0.9027777777777778,281.03333333333336,334.061111111111
Test,System,M3_90PI,,,,0.875,695.0500000000002,829.9249999999997
