SourceRegion,TaskType,TaskCount,GPUHour,MeanGPU,MeanDurationMin
RegionA,AITraining,879,214319.28333333333,71.75199089874857,206.20364050056884
RegionA,BatchInference,3331,154341.45,13.52927048934254,205.6460522365656
RegionA,RealTimeInference,5852,79791.71666666666,4.0302460697197535,204.0305878332194
RegionB,AITraining,871,212294.63333333333,71.81515499425947,203.292766934558
RegionB,BatchInference,3312,151260.43333333332,13.367753623188406,204.7421497584541
RegionB,RealTimeInference,5017,67203.08333333333,3.9842535379708988,202.56806856687263
RegionC,AITraining,815,198331.96666666667,72.26871165644172,201.82576687116565
RegionC,BatchInference,2523,117897.36666666667,13.75743162901308,203.33491874752278
RegionC,RealTimeInference,4221,58704.95,4.031035299692016,206.6176261549396
RegionD,AITraining,5726,1387122.6833333333,71.19856793573175,204.48131330771918
RegionD,BatchInference,3346,155177.2,13.535863717872086,204.80514046622832
RegionD,RealTimeInference,488,6558.55,4.084016393442623,192.67418032786884
RegionE,AITraining,4091,978535.1166666667,71.37619164018578,201.92129063798583
RegionE,BatchInference,2172,100158.33333333333,13.604051565377532,204.17357274401473
RegionE,RealTimeInference,649,9054.766666666666,4.049306625577812,202.99075500770417
RegionF,AITraining,4177,1032935.0333333333,70.8984917404836,207.49054345223846
RegionF,BatchInference,2033,90263.01666666666,13.3659616330546,201.1219872110182
RegionF,RealTimeInference,497,6837.066666666667,4.016096579476861,205.8692152917505
