TaskID,TaskType,ArrivalHour,GPU_Demand,Duration_h,SourceRegion,ExecutionRegion,StartHour,FinishHour,MaxLatency_ms,Latency_ms,LatestFinishHour
1,AITraining,456,118.0,4.666666666666667,RegionD,RegionF,465,469.6666666666667,150.0,25.0,2406.0
2,RealTimeInference,1126,3.0,3.3,RegionB,RegionC,1126,1129.3,20.0,14.0,1130.0
3,RealTimeInference,914,5.0,3.7333333333333334,RegionB,RegionB,914,917.7333333333333,20.0,5.0,918.0
4,RealTimeInference,419,3.0,1.6166666666666667,RegionC,RegionC,419,420.6166666666667,20.0,5.0,421.0
5,AITraining,2233,115.0,2.683333333333333,RegionF,RegionD,2239,2241.6833333333334,150.0,25.0,2406.0
6,RealTimeInference,1728,3.0,5.3,RegionA,RegionA,1728,1733.3,20.0,5.0,1734.0
7,RealTimeInference,122,2.0,5.05,RegionA,RegionA,122,127.05,20.0,5.0,128.0
8,RealTimeInference,895,2.0,4.766666666666667,RegionA,RegionA,895,899.7666666666667,20.0,5.0,900.0
9,RealTimeInference,2069,1.0,5.383333333333334,RegionB,RegionB,2069,2074.383333333333,20.0,5.0,2075.0
10,AITraining,108,37.0,4.083333333333333,RegionE,RegionA,108,112.08333333333333,150.0,78.0,2406.0
11,AITraining,814,104.0,1.1333333333333333,RegionF,RegionD,822,823.1333333333333,150.0,25.0,2406.0
12,AITraining,2232,57.0,3.283333333333333,RegionF,RegionF,2249,2252.2833333333333,150.0,5.0,2406.0
13,BatchInference,902,19.0,3.316666666666667,RegionA,RegionC,921,924.3166666666667,80.0,15.0,2406.0
14,BatchInference,1139,18.0,1.0,RegionB,RegionC,1280,1281.0,80.0,14.0,2406.0
15,RealTimeInference,653,4.0,4.216666666666667,RegionB,RegionB,653,657.2166666666667,20.0,5.0,658.0
16,AITraining,1731,79.0,2.3333333333333335,RegionE,RegionD,1734,1736.3333333333333,150.0,22.0,2406.0
17,BatchInference,1138,8.0,2.4,RegionD,RegionC,1140,1142.4,80.0,58.0,2406.0
18,RealTimeInference,881,5.0,2.933333333333333,RegionC,RegionC,881,883.9333333333333,20.0,5.0,884.0
19,BatchInference,418,21.0,1.6333333333333333,RegionA,RegionC,1075,1076.6333333333334,80.0,15.0,2406.0
20,RealTimeInference,1556,4.0,4.183333333333334,RegionA,RegionA,1556,1560.1833333333334,20.0,5.0,1561.0
21,RealTimeInference,1470,2.0,5.916666666666667,RegionA,RegionA,1470,1475.9166666666667,20.0,5.0,1476.0
22,BatchInference,1083,5.0,1.6833333333333333,RegionC,RegionC,1083,1084.6833333333334,80.0,5.0,2406.0
23,RealTimeInference,1881,7.0,4.55,RegionB,RegionB,1881,1885.55,20.0,5.0,1886.0
24,AITraining,511,62.0,3.5833333333333335,RegionF,RegionD,513,516.5833333333334,150.0,25.0,2406.0
25,BatchInference,322,20.0,0.9833333333333333,RegionF,RegionC,333,333.98333333333335,80.0,76.0,2406.0
26,AITraining,1200,119.0,6.65,RegionB,RegionD,1215,1221.65,150.0,60.0,2406.0
27,AITraining,1481,69.0,4.483333333333333,RegionD,RegionD,1481,1485.4833333333333,150.0,5.0,2406.0
28,AITraining,787,69.0,3.3333333333333335,RegionD,RegionD,806,809.3333333333334,150.0,5.0,2406.0
29,AITraining,284,33.0,2.85,RegionE,RegionD,305,307.85,150.0,22.0,2406.0
30,RealTimeInference,933,2.0,4.65,RegionC,RegionA,933,937.65,20.0,15.0,938.0
31,BatchInference,326,19.0,3.7333333333333334,RegionE,RegionB,376,379.73333333333335,80.0,74.0,2406.0
32,RealTimeInference,413,4.0,5.083333333333333,RegionA,RegionA,413,418.0833333333333,20.0,5.0,419.0
33,BatchInference,1138,19.0,5.783333333333333,RegionA,RegionC,1160,1165.7833333333333,80.0,15.0,2406.0
34,BatchInference,1494,18.0,4.816666666666666,RegionB,RegionB,1494,1498.8166666666666,80.0,5.0,2406.0
35,RealTimeInference,1516,2.0,4.35,RegionB,RegionB,1516,1520.35,20.0,5.0,1521.0
36,BatchInference,858,16.0,2.7666666666666666,RegionD,RegionA,858,860.7666666666667,80.0,65.0,2406.0
37,AITraining,1093,30.0,1.2333333333333334,RegionF,RegionB,1093,1094.2333333333333,150.0,79.0,2406.0
38,AITraining,292,104.0,5.883333333333334,RegionF,RegionF,305,310.8833333333333,150.0,5.0,2406.0
39,AITraining,700,16.0,2.4166666666666665,RegionB,RegionB,700,702.4166666666666,150.0,5.0,2406.0
40,AITraining,1002,103.0,1.5,RegionD,RegionD,1002,1003.5,150.0,5.0,2406.0
41,RealTimeInference,1893,3.0,4.966666666666667,RegionB,RegionA,1893,1897.9666666666667,20.0,12.0,1898.0
42,BatchInference,1105,8.0,0.8333333333333334,RegionC,RegionC,1108,1108.8333333333333,80.0,5.0,2406.0
43,AITraining,2281,43.0,3.5,RegionE,RegionD,2345,2348.5,150.0,22.0,2406.0
44,RealTimeInference,1328,4.0,0.7,RegionC,RegionC,1328,1328.7,20.0,5.0,1329.0
45,RealTimeInference,938,7.0,1.1833333333333333,RegionF,RegionE,938,939.1833333333333,20.0,18.0,940.0
46,RealTimeInference,1292,5.0,6.15,RegionA,RegionA,1292,1298.15,20.0,5.0,1299.0
47,BatchInference,1096,6.0,3.933333333333333,RegionB,RegionB,1138,1141.9333333333334,80.0,5.0,2406.0
48,RealTimeInference,864,5.0,2.3333333333333335,RegionB,RegionC,864,866.3333333333334,20.0,14.0,867.0
49,AITraining,1288,16.0,3.783333333333333,RegionE,RegionD,1289,1292.7833333333333,150.0,22.0,2406.0
50,RealTimeInference,2044,7.0,6.133333333333334,RegionC,RegionC,2044,2050.133333333333,20.0,5.0,2051.0
51,BatchInference,1879,12.0,0.4,RegionF,RegionC,1891,1891.4,80.0,76.0,2406.0
52,RealTimeInference,1084,2.0,6.483333333333333,RegionA,RegionA,1084,1090.4833333333333,20.0,5.0,1091.0
53,RealTimeInference,1010,5.0,1.2,RegionA,RegionB,1010,1011.2,20.0,12.0,1012.0
54,AITraining,2299,111.0,4.166666666666667,RegionD,RegionF,2321,2325.1666666666665,150.0,25.0,2406.0
55,AITraining,1076,67.0,1.75,RegionE,RegionD,1086,1087.75,150.0,22.0,2406.0
56,AITraining,2394,19.0,4.0,RegionE,RegionB,2394,2398.0,150.0,74.0,2406.0
57,BatchInference,2390,16.0,3.0,RegionE,RegionC,2390,2393.0,80.0,70.0,2406.0
58,BatchInference,1482,7.0,2.816666666666667,RegionF,RegionC,1482,1484.8166666666666,80.0,76.0,2406.0
59,RealTimeInference,566,7.0,4.2,RegionA,RegionA,566,570.2,20.0,5.0,571.0
60,AITraining,2021,101.0,1.25,RegionD,RegionB,2022,2023.25,150.0,60.0,2406.0
61,RealTimeInference,192,2.0,1.1833333333333333,RegionB,RegionC,192,193.18333333333334,20.0,14.0,194.0
