X_时间（h）,Y_设施负荷（MW）,Y_电网购电功率（MW）,Y_弃电功率（MW）,Y_新能源利用功率（MW）
0,2737.52365044,2002.8025499999999,1537.1372,964.2211000000002
1,2907.1401158,2091.5847,1672.5393833333333,1045.0553166666666
2,2964.770166643333,2039.3570333333332,1897.3865666666666,1154.9131333333335
3,3076.2287162400003,2045.6182166666667,2416.1856,1210.6105000000002
4,3123.4787633433334,1913.6105133333333,2966.3337500000002,1213.66625
5,3334.18225824,2039.5179266666667,3351.2356666666665,1294.6643333333334
6,3410.1769646233333,2084.79509,3754.6181266666667,1325.3818733333333
7,3314.7173528633334,2009.4376866666667,4147.500333333333,1305.2796666666668
8,3188.7723300000002,1962.4591266666666,4512.5467966666665,1226.3132033333334
9,3201.39835916,1914.2655466666668,4631.547186666667,1287.1328133333334
10,3095.95641631,1804.30508,4688.348663333333,1291.6513366666668
11,2899.6936124599997,1704.02482,4723.011206666667,1195.6687933333333
12,2685.2187419800002,1551.8534566666667,4605.494713333333,1133.3652866666669
13,2491.0790629266667,1422.2756433333334,4383.9767,1068.8033
14,2231.3544320066667,1240.6028033333334,4089.2484,990.7516
15,2149.0659425,1153.1386866666667,3649.9727833333336,995.9272166666666
16,1855.3605066833334,1025.3925766666666,3350.032,829.9680000000001
17,2253.8783399966665,645.39286,2709.80802,1004.29198
18,2040.0157366733333,498.81266999999997,2290.2589333333335,989.7410666666666
19,2194.50402661,583.69859,1865.8206633333334,1041.3993366666668
20,2122.8572895166667,660.3849299999999,1758.02104,895.98426
21,2028.5966091166667,745.98425,1703.62154,813.0976599999999
22,2282.9774628966666,1302.1749133333333,1258.9825499999997,980.80245
23,2523.0046713033335,1466.0097199999998,1264.50535,1056.99495
24,2729.65977754,1787.8362766666664,1307.9418999999998,1171.3235000000002
25,2992.3064891,2087.31406,1591.4743700000001,1134.49243
26,3203.63197714,2167.8985866666667,1966.7547100000002,1235.49729
27,3181.43820624,2103.6353,2292.9939933333335,1257.8029066666663
28,3049.3932566233334,1996.31584,2723.7112833333335,1233.0774166666665
29,3190.98564909,1979.0372466666668,3374.002196666667,1271.8978033333333
30,3219.5414233766664,1956.43136,3816.889936666667,1263.110063333333
31,3221.4263057666667,1952.7650333333333,4184.118726666667,1268.6612733333334
32,3035.63252625,1833.5455100000001,4536.772983333333,1202.0870166666666
33,3011.7331815733332,1822.00925,4728.956066666667,1189.7239333333332
34,2660.8213124733334,1587.0272133333335,4906.2059,1073.7941
35,2629.326925083333,1541.1322233333333,4830.4853,1088.1947
36,2269.8246329500003,1284.8166733333333,4753.852,985.008
37,2136.80331711,1212.0177966666668,4527.9945,924.7855
38,2075.66839001,1197.1386200000002,4201.4703,878.5296999999999
39,1910.83190505,1142.1372133333334,3877.2054,768.6946
40,2106.1740762066665,1160.26534,3234.091193333333,945.9088066666666
41,2104.7786633933333,564.52302,2734.5323566666666,979.5676433333333
42,2142.2559641733333,601.11256,2300.9024966666666,979.0975033333334
43,2032.3410575333332,551.71841,1974.1703533333332,933.0496466666668
44,2090.06889618,592.62936,1715.5750633333332,930.3675366666666
45,2269.6611129233333,812.17806,1553.0134466666666,981.7759533333335
46,2349.3860804433334,1381.4090133333334,1289.1000333333332,967.9770666666668
47,2447.4799908766668,1452.9115133333332,1311.8675233333333,994.5684766666668
48,2724.3070737900002,1832.9571333333333,1388.20956,1120.84994
49,2864.4128071533332,2022.8329833333335,1648.4815766666666,1071.0798233333333
50,3035.4305233133337,2095.923746666667,2038.9661233333334,1139.8361766666667
51,3151.395067966667,2162.46483,2364.9303633333334,1168.9302366666668
52,3231.6959037466668,2185.43934,2771.1476366666666,1226.2565633333334
53,3147.4805200266665,1942.23328,3410.47626,1235.42374
54,3167.498760006667,1936.7705266666667,3849.2717666666667,1230.7282333333333
55,3136.09876668,1886.5297666666668,4203.211,1249.569
56,3094.6993162733334,1832.0371133333335,4476.197796666666,1262.6622033333333
57,2989.6355615800003,1743.0084933333333,4672.05293,1246.6270700000002
58,2946.102250433333,1681.17077,4715.06852,1264.93148
59,2900.77627337,1607.59764,4625.501366666666,1293.1786333333334
60,2688.2470694833337,1456.95513,4507.56804,1231.29196
61,2613.9855342066667,1422.84259,4261.636966666667,1191.1430333333333
