X_任务负荷增量_MW,Y_弃电变化_MW,Y_购电变化_MW
-58.983849999999904,-50.26270000000011,-109.24655000000001
-117.58478333333329,-77.63541666666674,-195.22020000000003
-185.8111333333335,-131.58333333333337,-317.39446666666686
-152.3455833333332,-141.82500000000005,-294.17058333333324
-192.78683666666683,-109.59374999999989,-302.3805866666667
-30.23593999999997,-165.09393333333333,-195.3298733333333
4.9463633333331245,-175.86147333333327,-170.91511000000014
-60.337946666666596,-154.2076666666668,-214.5456133333334
-114.53467000000005,-92.4277033333334,-206.96237333333346
-79.78633999999994,-129.58741333333342,-209.37375333333335
-92.27248333333334,-159.57223666666664,-251.84472
-63.48728666666672,-162.1298933333333,-225.61718000000002
-109.03605666666658,-129.2921866666668,-238.32824333333338
-190.72545666666662,-100.61730000000006,-291.3427566666667
-232.61329666666654,-115.61130000000004,-348.22459666666657
-107.44759666666685,-199.35871666666657,-306.8063133333334
-140.98612333333338,-139.91999999999996,-280.9061233333333
239.2911399999998,-322.61777999999987,-83.32664000000005
304.50913666666656,-419.9002666666666,-115.39113000000003
270.3964266666666,-437.93023666666664,-167.53381000000002
194.47548999999992,-290.93136,-96.45587000000006
-29.89369000000012,-170.97185999999994,-200.86555000000007
-9.274836666666687,-251.02985000000012,-260.3046866666668
4.083370000000002,-248.17275000000006,-244.08938000000006
3.7622766666665513,-293.58720000000005,-289.8249233333336
-28.15941000000005,-154.69372999999996,-182.85314
-26.052023333333423,-167.52088999999995,-193.57291333333336
-107.53799333333365,-155.47530666666648,-263.01330000000013
-249.55184333333347,-140.5979166666666,-390.1497600000001
-227.49504999999988,-110.67500333333328,-338.17005333333316
-219.16157666666697,-95.84556333333308,-315.00714000000005
-158.38209333333322,-109.63337333333334,-268.01546666666655
-259.4753733333333,-67.31291666666664,-326.78828999999996
-315.8259166666669,-12.760833333333151,-328.58675000000005
-436.56348666666673,0.0,-436.56348666666673
-422.3032766666667,0.0,-422.3032766666667
-475.26652666666666,0.0,-475.26652666666666
-488.77780333333334,5.465599999999995,-483.31220333333334
-408.8712799999999,0.0,-408.8712799999999
-326.4331866666667,0.0,-326.4331866666667
107.35584666666672,-271.5680066666667,-164.21215999999998
253.31066333333328,-366.2551433333333,-112.94448000000003
304.17746333333344,-386.34270333333336,-82.16523999999998
262.7577566666668,-367.13654666666685,-104.37879000000004
197.09459666666672,-337.4450366666667,-140.35044
157.45741333333336,-297.7728533333334,-140.31544000000002
17.605880000000013,-215.05786666666674,-197.45198666666673
-23.95401000000004,-212.0467766666667,-236.00078666666673
-83.30072666666666,-195.45564000000002,-278.7563666666667
-152.16969333333338,-99.59382333333332,-251.7635166666667
-138.1489766666665,-106.12077666666676,-244.26975333333326
-108.08303333333328,-88.46523666666678,-196.54827000000006
-107.15229666666663,-103.91436333333333,-211.06665999999996
-230.90647999999993,-100.82783999999992,-331.73431999999985
-273.1570399999999,-63.948733333333394,-337.1057733333333
