Region,Hour,方案,FacilityLoad_MW,AvailableRenewable_MW,u_直接新能源_MW,qR_新能源充电_MW,qG_电网充电_MW,d_放电_MW,gL_电网供负荷_MW,s_新能源售电_MW,w_弃电_MW,SOC_MWh,GridPurchase_MW,NetGridImport_MW
RegionA,0,E0_无储能调度,499.14900044995505,540.19,499.14900044995505,0.0,0.0,0.0,0.0,0.0,41.040999550045,157.5,0.0,0.0
RegionA,0,E1_BESS协同调度,499.14900044995505,540.19,499.14900044995505,0.0,0.0,0.0,0.0,0.0,41.040999550045,157.5,0.0,0.0
RegionA,1,E0_无储能调度,535.4235,587.87,535.4235,0.0,0.0,0.0,0.0,0.0,52.446500000000015,157.5,0.0,0.0
RegionA,1,E1_BESS协同调度,535.4235,587.87,535.4235,0.0,0.0,0.0,0.0,0.0,52.446500000000015,157.5,0.0,0.0
RegionA,2,E0_无储能调度,544.32,650.0,544.32,0.0,0.0,0.0,0.0,0.0,105.67999999999995,157.5,0.0,0.0
RegionA,2,E1_BESS协同调度,544.32,650.0,544.32,0.0,0.0,0.0,0.0,0.0,105.67999999999995,157.5,0.0,0.0
RegionA,3,E0_无储能调度,544.32,722.35,544.32,0.0,0.0,0.0,0.0,0.0,178.02999999999997,157.5,0.0,0.0
RegionA,3,E1_BESS协同调度,544.32,722.35,544.32,0.0,0.0,0.0,0.0,0.0,178.02999999999997,157.5,0.0,0.0
RegionA,4,E0_无储能调度,544.319999550045,800.0,544.319999550045,0.0,0.0,0.0,0.0,0.0,255.68000044995495,157.5,0.0,0.0
RegionA,4,E1_BESS协同调度,544.319999550045,800.0,544.319999550045,0.0,0.0,0.0,0.0,0.0,255.68000044995495,157.5,0.0,0.0
RegionA,5,E0_无储能调度,544.32,877.65,544.32,0.0,0.0,0.0,0.0,0.0,333.3299999999999,157.5,0.0,0.0
RegionA,5,E1_BESS协同调度,544.32,877.65,544.32,0.0,0.0,0.0,0.0,0.0,333.3299999999999,157.5,0.0,0.0
RegionA,6,E0_无储能调度,544.320000449955,950.0,544.320000449955,0.0,0.0,0.0,0.0,0.0,405.67999955004495,157.5,0.0,0.0
RegionA,6,E1_BESS协同调度,544.320000449955,950.0,544.320000449955,0.0,0.0,0.0,0.0,0.0,405.67999955004495,157.5,0.0,0.0
RegionA,7,E0_无储能调度,544.320000449955,1012.13,544.320000449955,0.0,0.0,0.0,0.0,0.0,467.80999955004495,157.5,0.0,0.0
RegionA,7,E1_BESS协同调度,544.320000449955,1012.13,544.320000449955,0.0,0.0,0.0,0.0,0.0,467.80999955004495,157.5,0.0,0.0
RegionA,8,E0_无储能调度,544.32,1059.81,544.32,0.0,0.0,0.0,0.0,0.0,515.4899999999999,157.5,0.0,0.0
RegionA,8,E1_BESS协同调度,544.32,1059.81,544.32,0.0,0.0,0.0,0.0,0.0,515.4899999999999,157.5,0.0,0.0
RegionA,9,E0_无储能调度,544.319999550045,1089.78,544.319999550045,0.0,0.0,0.0,0.0,0.0,545.4600004499549,157.5,0.0,0.0
RegionA,9,E1_BESS协同调度,544.319999550045,1089.78,544.319999550045,0.0,0.0,0.0,0.0,0.0,545.4600004499549,157.5,0.0,0.0
RegionA,10,E0_无储能调度,531.7110004499551,1100.0,531.7110004499551,0.0,0.0,0.0,0.0,0.0,568.2889995500449,157.5,0.0,0.0
RegionA,10,E1_BESS协同调度,531.7110004499551,1100.0,531.7110004499551,0.0,0.0,0.0,0.0,0.0,568.2889995500449,157.5,0.0,0.0
RegionA,11,E0_无储能调度,506.1015,1089.78,506.1015,0.0,0.0,0.0,0.0,0.0,583.6785,157.5,0.0,0.0
RegionA,11,E1_BESS协同调度,506.1015,1089.78,506.1015,0.0,0.0,0.0,0.0,0.0,583.6785,157.5,0.0,0.0
RegionA,12,E0_无储能调度,466.47899955004505,1059.81,466.47899955004505,0.0,0.0,0.0,0.0,0.0,593.3310004499549,157.5,0.0,0.0
RegionA,12,E1_BESS协同调度,466.47899955004505,1059.81,466.47899955004505,0.0,0.0,0.0,0.0,0.0,593.3310004499549,157.5,0.0,0.0
RegionA,13,E0_无储能调度,443.66670000000005,1012.13,443.66670000000005,0.0,0.0,0.0,0.0,0.0,568.4632999999999,157.5,0.0,0.0
