X_时间（h）,Y_E0净电网交互功率（MW）,Y_E1净电网交互功率（MW）
0,-250.0648000000,-413.5242004166
1,-338.1896004166,-620.0000000000
2,-411.6426995734,-620.0000000000
3,-532.2665000000,-620.0000000000
4,-620.0000000000,-620.0000000000
5,-620.0000000000,-620.0000000000
6,-620.0000000000,-620.0000000000
7,-620.0000000000,-620.0000000000
8,-620.0000000000,-620.0000000000
9,-620.0000000000,-620.0000000000
10,-620.0000000000,-620.0000000000
11,-620.0000000000,-620.0000000000
12,-620.0000000000,-620.0000000000
13,-620.0000000000,-620.0000000000
14,-620.0000000000,-620.0000000000
15,-620.0000000000,-620.0000000000
16,-620.0000000000,-620.0000000000
17,-620.0000000000,-620.0000000000
18,-620.0000000000,-620.0000000000
19,-620.0000000000,-620.0000000000
20,-620.0000000000,-620.0000000000
21,-565.4906004233,-620.0000000000
22,-419.8985999967,-620.0000000000
23,-321.0733991568,-620.0000000000
24,-304.4660995767,-620.0000000000
25,-306.7276000000,-620.0000000000
26,-332.5400004266,-620.0000000000
27,-483.6150000000,-620.0000000000
28,-620.0000000000,-620.0000000000
29,-620.0000000000,-620.0000000000
30,-620.0000000000,-620.0000000000
31,-620.0000000000,-620.0000000000
32,-620.0000000000,-620.0000000000
33,-620.0000000000,-620.0000000000
34,-620.0000000000,-620.0000000000
35,-620.0000000000,-620.0000000000
36,-620.0000000000,-620.0000000000
37,-620.0000000000,-620.0000000000
38,-620.0000000000,-620.0000000000
39,-620.0000000000,-620.0000000000
40,-620.0000000000,-620.0000000000
41,-620.0000000000,-620.0000000000
42,-620.0000000000,-620.0000000000
43,-620.0000000000,-620.0000000000
44,-620.0000000000,-620.0000000000
45,-497.9700008499,-620.0000000000
46,-366.3633995667,-620.0000000000
47,-364.0393995834,-620.0000000000
48,-228.5938000033,-620.0000000000
49,-321.2355004133,-620.0000000000
50,-388.6445000100,-620.0000000000
51,-519.7958991501,-620.0000000000
52,-617.6637995767,-620.0000000000
53,-620.0000000000,-620.0000000000
54,-620.0000000000,-620.0000000000
55,-620.0000000000,-620.0000000000
56,-620.0000000000,-620.0000000000
57,-620.0000000000,-620.0000000000
58,-620.0000000000,-620.0000000000
59,-620.0000000000,-620.0000000000
60,-620.0000000000,-620.0000000000
61,-620.0000000000,-620.0000000000
62,-620.0000000000,-620.0000000000
63,-620.0000000000,-620.0000000000
64,-620.0000000000,-620.0000000000
65,-620.0000000000,-620.0000000000
66,-620.0000000000,-620.0000000000
67,-620.0000000000,-620.0000000000
68,-620.0000000000,-620.0000000000
69,-496.4589004133,-620.0000000000
70,-448.4494995767,-620.0000000000
71,-311.9791999900,-620.0000000000
72,-267.4792004233,-620.0000000000
73,-270.8807000033,-619.9999997890
74,-379.3673995767,-620.0000000000
75,-529.8581008399,-620.0000000000
76,-620.0000000000,-620.0000000000
77,-620.0000000000,-620.0000000000
78,-620.0000000000,-620.0000000000
