X_运行日（d）,Y_无储能方案日内最大净电网交互功率（MW）,Y_无储能方案日内最小净电网交互功率（MW）,Y_无储能方案日均净电网交互功率（MW）,Y_储能优化方案日内最大净电网交互功率（MW）,Y_储能优化方案日内最小净电网交互功率（MW）,Y_储能优化方案日均净电网交互功率（MW）,Y_零功率参考线（MW）
1,-250.0648000000,-620.0000000000,-557.4427583153,-413.5242004166,-620.0000000000,-611.3968416840,0.0000000000
2,-304.4660995767,-620.0000000000,-549.8217291668,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
3,-228.5938000033,-620.0000000000,-552.2008791306,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
4,-267.4792004233,-620.0000000000,-551.9402625531,-619.9999997890,-620.0000000000,-619.9999999912,0.0000000000
5,-303.5741000100,-620.0000000000,-551.3461167561,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
6,-290.1012000067,-620.0000000000,-557.8257916315,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
7,-324.3880995734,-620.0000000000,-557.0183083857,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
8,-292.9440995667,-620.0000000000,-552.5859250351,-616.9903016932,-620.0000000000,-619.8745959039,0.0000000000
9,-227.1624995767,-620.0000000000,-548.6214916667,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
10,-287.5786999967,-620.0000000000,-555.2191459022,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
11,-290.6790995767,-620.0000000000,-553.2696916314,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
12,-242.8735991568,-620.0000000000,-551.4879582800,-611.6460004233,-620.0000000000,-619.6519166752,0.0000000000
13,-278.8028000033,-620.0000000000,-549.4738416654,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
14,-233.6201999900,-620.0000000000,-555.8172792364,-613.8275020831,-620.0000000000,-619.7428125868,0.0000000000
15,-273.5009008432,-620.0000000000,-552.0213458692,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
16,-313.0639000000,-620.0000000000,-564.0303376050,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
17,-266.4121004233,-620.0000000000,-544.0937500003,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
18,-318.8833004166,-620.0000000000,-551.0571166657,-597.3585004233,-620.0000000000,-619.0566041843,0.0000000000
19,-251.4652000000,-620.0000000000,-556.0350208150,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
20,-246.4916008399,-620.0000000000,-549.4770083340,-564.2726000000,-620.0000000000,-617.6780250000,0.0000000000
21,-316.0933004266,-620.0000000000,-552.5274666496,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
22,-273.5507004333,-620.0000000000,-552.9936000008,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
23,-275.2290000100,-620.0000000000,-546.8706125703,-620.0000000000,-620.0000000000,-620.0000000000,0.0000000000
