X_运行日（d）,Y_D区日内最高荷电状态（MWh）,Y_D区日内最低荷电状态（MWh）,Y_D区日终荷电状态（MWh）,Y_D区最小荷电状态参考线（MWh）,Y_D区初始荷电状态参考线（MWh）,Y_D区储能容量参考线（MWh）,Y_E区日内最高荷电状态（MWh）,Y_E区日内最低荷电状态（MWh）,Y_E区日终荷电状态（MWh）,Y_E区最小荷电状态参考线（MWh）,Y_E区初始荷电状态参考线（MWh）,Y_E区储能容量参考线（MWh）,Y_F区日内最高荷电状态（MWh）,Y_F区日内最低荷电状态（MWh）,Y_F区日终荷电状态（MWh）,Y_F区最小荷电状态参考线（MWh）,Y_F区初始荷电状态参考线（MWh）,Y_F区储能容量参考线（MWh）
1,463.0322585233,193.3380640574,342.3329027671,90.0000000000,405.0000000000,900.0000000000,706.3010757168,82.0000000000,473.6290322581,82.0000000000,370.0000000000,820.0000000000,814.7512898674,85.0000000000,572.9211832509,85.0000000000,382.5000000000,850.0000000000
2,498.1354838710,90.0000000000,354.1544086022,90.0000000000,405.0000000000,900.0000000000,741.4892473118,82.0000000000,452.4193548387,82.0000000000,370.0000000000,820.0000000000,797.6910761791,85.0000000000,551.5730116630,85.0000000000,382.5000000000,850.0000000000
3,509.1337638996,90.0000000000,339.9105371757,90.0000000000,405.0000000000,900.0000000000,727.4973104840,82.0000000000,476.2365586918,82.0000000000,370.0000000000,820.0000000000,779.0001075269,85.0000000000,550.9761290323,85.0000000000,382.5000000000,850.0000000000
4,465.9350523872,90.0000000000,333.9909663657,90.0000000000,405.0000000000,900.0000000000,715.1854847669,82.0000000000,491.2903230286,82.0000000000,370.0000000000,820.0000000000,839.0178485521,85.0000000000,548.6000000000,85.0000000000,382.5000000000,850.0000000000
5,461.8976330324,90.0000000000,316.7191393262,90.0000000000,405.0000000000,900.0000000000,627.9946245519,82.0000000000,357.8225810931,82.0000000000,370.0000000000,820.0000000000,756.5731191899,85.0000000000,517.0918297776,85.0000000000,382.5000000000,850.0000000000
6,473.9406447026,90.0000000000,299.7212898638,90.0000000000,405.0000000000,900.0000000000,603.8413965055,82.0000000000,405.3897840503,82.0000000000,370.0000000000,820.0000000000,816.1032258065,85.0000000000,518.9120434659,85.0000000000,382.5000000000,850.0000000000
7,532.6004310250,90.0000000000,314.1178499211,90.0000000000,405.0000000000,900.0000000000,587.6155927418,82.0000000000,415.4569905913,82.0000000000,370.0000000000,820.0000000000,850.0000000000,85.0000000000,582.3303234909,85.0000000000,382.5000000000,850.0000000000
8,512.5931173621,90.0000000000,372.7763431686,90.0000000000,405.0000000000,900.0000000000,728.9731164876,82.0000000000,425.6182791219,82.0000000000,370.0000000000,820.0000000000,780.5731178244,85.0000000000,542.1680645161,85.0000000000,382.5000000000,850.0000000000
9,603.3432281001,90.0000000000,381.1858078278,90.0000000000,405.0000000000,900.0000000000,776.9059135305,82.0000000000,514.0188163083,82.0000000000,370.0000000000,820.0000000000,735.5905362690,85.0000000000,462.1717190647,85.0000000000,382.5000000000,850.0000000000
10,410.6838718852,90.0000000000,306.9058069103,90.0000000000,405.0000000000,900.0000000000,672.4838700718,82.0000000000,458.6559139785,82.0000000000,370.0000000000,820.0000000000,763.9811818854,85.0000000000,510.1995694373,85.0000000000,382.5000000000,850.0000000000
11,529.8111841719,90.0000000000,379.7131191970,90.0000000000,405.0000000000,900.0000000000,706.9435488351,82.0000000000,452.9973118280,82.0000000000,370.0000000000,820.0000000000,850.0000000000,85.0000000000,550.7331182796,85.0000000000,382.5000000000,850.0000000000
12,505.8215062938,90.0000000000,354.5673122867,90.0000000000,405.0000000000,900.0000000000,651.4489242832,82.0000000000,435.7526877241,82.0000000000,370.0000000000,820.0000000000,803.1013992149,85.0000000000,537.4254847813,85.0000000000,382.5000000000,850.0000000000
13,409.2098933906,90.0000000000,303.6838718852,90.0000000000,405.0000000000,900.0000000000,820.0000000000,82.0000000000,492.8924744622,82.0000000000,370.0000000000,820.0000000000,792.8608602151,85.0000000000,476.2099995448,85.0000000000,382.5000000000,850.0000000000
14,421.4791384087,90.0000000000,305.9823651327,90.0000000000,405.0000000000,900.0000000000,759.2177414875,82.0000000000,490.8333333333,82.0000000000,370.0000000000,820.0000000000,771.7078485521,85.0000000000,521.6841926381,85.0000000000,382.5000000000,850.0000000000
15,462.1027961577,90.0000000000,290.0443010753,90.0000000000,405.0000000000,900.0000000000,690.2634404122,82.0000000000,423.7499986560,82.0000000000,370.0000000000,820.0000000000,702.1133324230,85.0000000000,447.8973118280,85.0000000000,382.5000000000,850.0000000000
16,463.5402141363,90.0000000000,349.8464506954,90.0000000000,405.0000000000,900.0000000000,708.1397840503,82.0000000000,480.3897840503,82.0000000000,370.0000000000,820.0000000000,794.8395689822,85.0000000000,596.5965595949,85.0000000000,382.5000000000,850.0000000000
17,548.0980654336,90.0000000000,351.8984955411,90.0000000000,405.0000000000,900.0000000000,725.6155922938,82.0000000000,452.4731182796,82.0000000000,370.0000000000,820.0000000000,850.0000000000,85.0000000000,530.3038705126,85.0000000000,382.5000000000,850.0000000000
18,369.5862379353,90.0000000000,266.6339794121,90.0000000000,405.0000000000,900.0000000000,739.5241931004,82.0000000000,439.0456993727,82.0000000000,370.0000000000,820.0000000000,799.6094619104,85.0000000000,525.8902141435,85.0000000000,382.5000000000,850.0000000000
19,434.1552697347,90.0000000000,329.6141940071,90.0000000000,405.0000000000,900.0000000000,672.5645161290,82.0000000000,447.5672051970,82.0000000000,370.0000000000,820.0000000000,850.0000000000,85.0000000000,503.3991393298,85.0000000000,382.5000000000,850.0000000000
20,555.0670958567,90.0000000000,355.9161290323,90.0000000000,405.0000000000,900.0000000000,654.5376339606,82.0000000000,429.0322576165,82.0000000000,370.0000000000,820.0000000000,812.9350542186,85.0000000000,501.1456993799,85.0000000000,382.5000000000,850.0000000000
21,512.4219345664,90.0000000000,351.7045161290,90.0000000000,405.0000000000,900.0000000000,670.8172051970,82.0000000000,405.0403225806,82.0000000000,370.0000000000,820.0000000000,735.9526881720,85.0000000000,450.3144081470,85.0000000000,382.5000000000,850.0000000000
