X_时间（h）,Y_可用新能源（MW）,Y_设施负荷（MW）,Y_储能优化方案充电功率（MW）,Y_储能优化方案放电功率（MW）,Y_无储能方案电网购电功率（MW）,Y_储能优化方案电网购电功率（MW）,Y_无储能方案新能源售电功率（MW）,Y_储能优化方案新能源售电功率（MW）
2376,540.1900000000,430.1108995767,0.0000000000,109.9208995767,0.0000000000,0.0000000000,110.0791004233,220.0000000000
2377,587.8700000000,473.1258000000,0.0000000000,105.2558000000,0.0000000000,0.0000000000,114.7442000000,220.0000000000
2378,650.0000000000,520.1157995767,0.0000000000,90.1157995767,0.0000000000,0.0000000000,129.8842004233,220.0000000000
2379,722.3500000000,540.1309995767,0.0000000000,37.7809995767,0.0000000000,0.0000000000,182.2190004233,220.0000000000
2380,800.0000000000,557.1108995767,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2381,877.6500000000,578.5230995767,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2382,950.0000000000,591.6421995767,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2383,1012.1300000000,601.2561004233,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2384,1059.8100000000,572.0461000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2385,1089.7800000000,544.7792000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2386,1100.0000000000,519.9126000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2387,1089.7800000000,510.4892004233,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2388,1059.8100000000,435.9910000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2389,1012.1300000000,454.4441004233,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2390,950.0000000000,394.7198100000,93.9539323382,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2391,877.6500000000,363.7953095767,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2392,800.0000000000,312.2295004233,250.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2393,722.3500000000,256.5908004233,245.7591995767,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2394,650.0000000000,337.0961000000,92.9039000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2395,587.8700000000,333.8195000000,34.0505000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2396,540.1900000000,294.1320000000,26.0580000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2397,510.2200000000,339.2932000000,0.0000000000,49.0732000000,0.0000000000,0.0000000000,170.9268000000,220.0000000000
2398,500.0000000000,367.9190000000,0.0000000000,87.9190000000,0.0000000000,0.0000000000,132.0810000000,220.0000000000
2399,510.2200000000,432.1429000000,0.0000000000,141.9229000000,0.0000000000,0.0000000000,78.0771000000,220.0000000000
2400,540.1900000000,571.7878670900,0.0000000000,250.0000000000,31.5978670900,0.0000000000,0.0000000000,218.4021329100
2401,587.8700000000,475.0485800000,0.0000000000,107.1785800000,0.0000000000,0.0000000000,112.8214200000,220.0000000000
2402,650.0000000000,443.1969800000,0.0000000000,13.1969800000,0.0000000000,0.0000000000,206.8030200000,220.0000000000
2403,722.3500000000,433.4383000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2404,800.0000000000,431.4825000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2405,877.6500000000,476.1526329100,105.7093887921,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
2406,950.0000000000,519.2200270900,210.7799729100,0.0000000000,0.0000000000,0.0000000000,220.0000000000,220.0000000000
