阶段,轮次,事件,活动列数,Benders切数,LP目标值,theta_CNY,真实能源成本_CNY,Benders违反_CNY,最大区域违反_CNY,theta_A_CNY,theta_B_CNY,theta_C_CNY,theta_D_CNY,theta_E_CNY,theta_F_CNY,真实能源成本_A_CNY,真实能源成本_B_CNY,真实能源成本_C_CNY,真实能源成本_D_CNY,真实能源成本_E_CNY,真实能源成本_F_CNY,区域违反_A_CNY,区域违反_B_CNY,区域违反_C_CNY,区域违反_D_CNY,区域违反_E_CNY,区域违反_F_CNY,新增列数,最小缺失列约化成本,根节点闭合,MIP状态,MIP目标值,当前RSS_GiB,累计分钟,主导违反区域,LP界,MIP Gap,阶段运行秒,峰值RSS_GiB,可行Latency上界_ms,Latency下界_ms,Latency相对Gap,成本上界违反_CNY
R1 Cost再认证,1,added_region_benders_cuts,137139,310,-459343492.0037055,-459343492.0037055,-456312743.6172176,3030748.386487901,2212471.526547998,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-140570807.67345163,-153875304.9562261,-161866630.98754123,0.0,0.0,0.0,2212471.526547998,347407.2474797666,470869.6124588251,0,nan,False,,,0.22217178344726562,0.3761082132657369,RegionD,-459343492.0037055,,14.933823108673096,0.18577194213867188,,,,
R1 Cost再认证,2,added_region_benders_cuts,137139,313,-459343492.0037055,-459343492.0037055,-457676680.52952564,1666811.474179864,900616.977381736,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142680239.61089647,-153559557.2960123,-161436883.62261832,0.0,0.0,0.0,103039.58910316229,663154.9076935649,900616.977381736,0,nan,False,,,0.23328399658203125,0.519498062133789,RegionF,-459343492.0037055,,23.537214040756226,0.22150421142578125,,,,
R1 Cost再认证,3,added_region_benders_cuts,137139,315,-459343492.0037055,-459343492.0037055,-458718528.8643161,624963.1393893957,597428.1075134873,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-153625284.0961924,-162309965.5681253,0.0,0.0,0.0,0.0,597428.1075134873,27535.031874746084,0,nan,False,,,0.23050689697265625,0.6640836477279664,RegionE,-459343492.0037055,,32.21234917640686,0.23227310180664062,,,,
R1 Cost再认证,4,added_region_benders_cuts,137139,318,-459343492.0037055,-459343492.0037055,-459200208.17196876,143283.83173674345,128121.17338171601,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142778823.95830417,-154094591.03032416,-162326793.1833418,0.0,0.0,0.0,4455.241695463657,128121.17338171601,10707.416658252478,0,nan,False,,,0.23502731323242188,0.8476376295089721,RegionE,-459343492.0037055,,43.22558808326721,0.23233413696289062,,,,
R1 Cost再认证,5,added_region_benders_cuts,137139,321,-459343492.0037055,-459343492.0037055,-459147532.9159466,195959.08775889874,126584.99128708243,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142765815.72171316,-154096127.2124188,-162285589.981816,0.0,0.0,0.0,17463.478286474943,126584.99128708243,51910.61818405986,0,nan,False,,,0.24000930786132812,1.0017170826594035,RegionE,-459343492.0037055,,52.47035527229309,0.23522186279296875,,,,
R1 Cost再认证,6,added_region_benders_cuts,137139,323,-459343492.0037055,-459343492.0037055,-459025109.1779034,318382.8258020878,224245.48610848188,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-153998466.7175974,-162243363.2603077,0.0,0.0,0.0,0.0,224245.48610848188,94137.3396923542,0,nan,False,,,0.24270248413085938,1.1545379439989725,RegionE,-459343492.0037055,,61.639606952667236,0.24129867553710938,,,,
R1 Cost再认证,7,added_region_benders_cuts,137139,326,-459343492.0037055,-459343492.0037055,-459219567.5869234,123924.41678208113,111627.17148986459,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142777022.55697393,-154111085.032216,-162331459.99773464,0.0,0.0,0.0,6256.643025696278,111627.17148986459,6040.602265417576,0,nan,False,,,0.24670791625976562,1.3130202412605285,RegionE,-459343492.0037055,,71.1485447883606,0.27252197265625,,,,
R1 Cost再认证,8,added_region_benders_cuts,137139,328,-459343492.0037055,-459343492.0037055,-459196822.19355786,146669.8101476431,143344.56841218472,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154079367.6352937,-162334175.3582659,0.0,0.0,0.0,0.0,143344.56841218472,3325.241734147072,0,nan,False,,,0.2901611328125,1.4638294021288554,RegionE,-459343492.0037055,,80.1970944404602,0.27252197265625,,,,
R1 Cost再认证,9,added_region_benders_cuts,137139,330,-459343492.0037055,-459343492.0037055,-459131218.3007587,212273.7029467821,149065.5156660974,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154073646.68803978,-162274292.41272068,0.0,0.0,0.0,0.0,149065.5156660974,63208.18727937341,0,nan,False,,,0.25466156005859375,1.6280193686485291,RegionE,-459343492.0037055,,90.04849243164062,0.2905120849609375,,,,
R1 Cost再认证,10,added_region_benders_cuts,137139,332,-459343492.0037055,-459343492.0037055,-459205791.2080609,137700.79564458132,102873.89902994037,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154119838.30467594,-162302673.7033867,0.0,0.0,0.0,0.0,102873.89902994037,34826.89661335945,0,nan,False,,,0.29261016845703125,1.7887667934099833,RegionE,-459343492.0037055,,99.69333791732788,0.2905120849609375,,,,
R1 Cost再认证,11,added_region_benders_cuts,137139,334,-459343492.0037055,-459343492.0037055,-459248732.00864583,94759.99505966902,82828.48947879672,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154139883.71422708,-162325569.09442037,0.0,0.0,0.0,0.0,82828.48947879672,11931.505579680204,0,nan,False,,,0.2959136962890625,1.9668100794156393,RegionE,-459343492.0037055,,110.37593507766724,0.2905120849609375,,,,
R1 Cost再认证,12,added_region_benders_cuts,137139,336,-459343492.0037055,-459343492.0037055,-459175023.7147743,168468.28893119097,98305.24787822366,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154124406.95582765,-162267337.5589485,0.0,0.0,0.0,0.0,98305.24787822366,70163.0410515666,0,nan,False,,,0.25707244873046875,2.1425830245018007,RegionE,-459343492.0037055,,120.92231178283691,0.2954368591308594,,,,
R1 Cost再认证,13,added_region_benders_cuts,137139,338,-459343492.0037055,-459343492.0037055,-459277427.12402374,66064.87968176603,39102.17437785864,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154195749.49840313,-162298398.4256222,0.0,0.0,0.0,0.0,26962.705302745104,39102.17437785864,0,nan,False,,,0.2999687194824219,2.342712171872457,RegionF,-459343492.0037055,,132.9300606250763,0.2954368591308594,,,,
R1 Cost再认证,14,added_region_benders_cuts,137139,340,-459343492.0037055,-459343492.0037055,-459295645.60781753,47846.395887970924,46409.6637365222,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154176302.53996935,-162336063.86784977,0.0,0.0,0.0,0.0,46409.6637365222,1436.732150286436,0,nan,False,,,0.29953765869140625,2.51757968266805,RegionE,-459343492.0037055,,143.4221112728119,0.3003196716308594,,,,
R1 Cost再认证,15,added_region_benders_cuts,137139,342,-459343492.0037055,-459343492.0037055,-459315565.3942059,27926.609499573708,25142.7551535666,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154197569.4485523,-162334716.7456552,0.0,0.0,0.0,0.0,25142.7551535666,2783.854344844818,0,nan,False,,,0.25925445556640625,2.6839424411455792,RegionE,-459343492.0037055,,153.40387678146362,0.3003196716308594,,,,
R1 Cost再认证,16,added_region_benders_cuts,137139,344,-459343492.0037055,-459343492.0037055,-459295195.35178083,48296.65192466974,37319.09311002493,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154185393.11059585,-162326523.04118657,0.0,0.0,0.0,0.0,37319.09311002493,10977.558813482523,0,nan,False,,,0.30783843994140625,2.8533679087956747,RegionE,-459343492.0037055,,163.56940484046936,0.3003196716308594,,,,
R1 Cost再认证,17,added_region_benders_cuts,137139,346,-459343492.0037055,-459343492.0037055,-459274483.9631127,69008.04059278965,47989.61829987168,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154174722.585406,-162316482.1777083,0.0,0.0,0.0,0.0,47989.61829987168,21018.422291755676,0,nan,False,,,0.307769775390625,3.0344937086105346,RegionE,-459343492.0037055,,174.43695282936096,0.3079261779785156,,,,
R1 Cost再认证,18,added_region_benders_cuts,137139,347,-459343492.0037055,-459343492.0037055,-459303330.1247724,40161.87893307209,40161.8789319098,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154182550.32477397,-162337500.60000005,0.0,0.0,0.0,0.0,40161.8789319098,0.0,0,nan,False,,,0.31427001953125,3.2092999895413716,RegionE,-459343492.0037055,,184.92532968521118,0.30825042724609375,,,,
R1 Cost再认证,19,added_region_benders_cuts,137139,349,-459343492.0037055,-459343492.0037055,-459299623.9872686,43868.01643687487,28079.318239331245,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154194632.88546655,-162321711.9018038,0.0,0.0,0.0,0.0,28079.318239331245,15788.698196262121,0,nan,False,,,0.31829071044921875,3.385738774140676,RegionE,-459343492.0037055,,195.51165676116943,0.31472015380859375,,,,
R1 Cost再认证,20,added_region_benders_cuts,137139,350,-459343492.0037055,-459343492.0037055,-459323313.45625895,20178.54744654894,20178.547445386648,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154202533.6562605,-162337500.60000005,0.0,0.0,0.0,0.0,20178.547445386648,0.0,0,nan,False,,,0.3227691650390625,3.5532271385192873,RegionE,-459343492.0037055,,205.5609586238861,0.3185691833496094,,,,
R1 Cost再认证,21,added_region_benders_cuts,137139,352,-459343492.0037055,-459343492.0037055,-459306658.3218749,36833.681830585,22332.0751452744,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154208210.5970217,-162315168.52485478,0.0,0.0,0.0,0.0,14501.606684178114,22332.0751452744,0,nan,False,,,0.3189125061035156,3.705045672257741,RegionF,-459343492.0037055,,214.67007064819336,0.3229103088378906,,,,
R1 Cost再认证,22,added_region_benders_cuts,137139,354,-459343492.0037055,-459343492.0037055,-459300860.05408937,42631.94961613417,31504.454868346453,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154191207.74883753,-162326373.10525343,0.0,0.0,0.0,0.0,31504.454868346453,11127.494746625423,0,nan,False,,,0.3198738098144531,3.863554584980011,RegionE,-459343492.0037055,,224.18060541152954,0.3229103088378906,,,,
R1 Cost再认证,23,added_region_benders_cuts,137139,356,-459343492.0037055,-459343492.0037055,-459322399.6092904,21092.394415080547,19099.544931560755,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154203612.65877432,-162335507.7505178,0.0,0.0,0.0,0.0,19099.544931560755,1992.849482268095,0,nan,False,,,0.3283119201660156,4.024309996763865,RegionE,-459343492.0037055,,233.8259301185608,0.3229103088378906,,,,
R1 Cost再认证,24,added_region_benders_cuts,137139,357,-459343492.0037055,-459343492.0037055,-459276658.6669986,66833.33670687675,66833.33670565486,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154155878.86700022,-162337500.60000005,0.0,0.0,0.0,0.0,66833.33670565486,0.0,0,nan,False,,,0.3226585388183594,4.191671204566956,RegionE,-459343492.0037055,,243.86760258674622,0.3284950256347656,,,,
R1 Cost再认证,25,added_region_benders_cuts,137139,358,-459343492.0037055,-459343492.0037055,-459315076.2585055,28415.74519997835,28415.745198726654,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154194296.45850715,-162337500.60000005,0.0,0.0,0.0,0.0,28415.745198726654,0.0,0,nan,False,,,0.3269233703613281,4.3551669160525,RegionE,-459343492.0037055,,253.6773452758789,0.3284950256347656,,,,
R1 Cost再认证,26,added_region_benders_cuts,137139,359,-459343492.0037055,-459343492.0037055,-459325938.14966875,17553.85403674841,17553.85403558612,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154205158.3496703,-162337500.60000005,0.0,0.0,0.0,0.0,17553.85403558612,0.0,0,nan,False,,,0.32558441162109375,4.523824234803517,RegionE,-459343492.0037055,,263.79678440093994,0.3284950256347656,,,,
R1 Cost再认证,27,added_region_benders_cuts,137139,360,-459343492.0037055,-459343492.0037055,-459331972.9308352,11519.072870314121,11519.07286915183,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154211193.13083673,-162337500.60000005,0.0,0.0,0.0,0.0,11519.07286915183,0.0,0,nan,False,,,0.32697296142578125,4.681705021858216,RegionE,-459343492.0037055,,273.2696316242218,0.3284950256347656,,,,
R1 Cost再认证,28,added_region_benders_cuts,137139,361,-459343492.0037055,-459343492.0037055,-459318455.4081326,25036.59557288885,25036.595571666956,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154197675.6081342,-162337500.60000005,0.0,0.0,0.0,0.0,25036.595571666956,0.0,0,nan,False,,,0.2762298583984375,4.828447671731313,RegionE,-459343492.0037055,,282.07419061660767,0.3284950256347656,,,,
R1 Cost再认证,29,added_region_benders_cuts,137139,363,-459343492.0037055,-459343492.0037055,-459325511.7761632,17980.22754228115,17975.41647401452,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154204736.78723186,-162337495.78893295,0.0,0.0,0.0,0.0,17975.41647401452,4.8110671043396,0,nan,False,,,0.3313713073730469,4.893502128124237,RegionE,-459343492.0037055,,285.9774580001831,0.3284950256347656,,,,
R1 Cost再认证,30,added_region_benders_cuts,137139,365,-459343492.0037055,-459343492.0037055,-459334252.1977406,9239.805964887142,8529.343489259481,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142782568.73752517,-154214182.86021662,-162337500.60000005,0.0,0.0,0.0,710.4624744653702,8529.343489259481,0.0,0,nan,False,,,0.3214073181152344,4.961059367656707,RegionE,-459343492.0037055,,290.03089237213135,0.3315696716308594,,,,
R1 Cost再认证,31,added_region_benders_cuts,137139,367,-459343492.0037055,-459343492.0037055,-459321671.2049188,21820.798786699772,18707.295293539762,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154204004.90841234,-162334387.096508,0.0,0.0,0.0,0.0,18707.295293539762,3113.5034920573235,0,nan,False,,,0.3308868408203125,5.0266193072001135,RegionE,-459343492.0037055,,293.9644887447357,0.3315696716308594,,,,
R1 Cost再认证,32,added_region_benders_cuts,137139,369,-459343492.0037055,-459343492.0037055,-459327752.5454659,15739.458239614964,9518.535479933023,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154213193.66822594,-162331279.67724165,0.0,0.0,0.0,0.0,9518.535479933023,6220.92275840044,0,nan,False,,,0.3286590576171875,5.088467212518056,RegionE,-459343492.0037055,,297.67536306381226,0.3315696716308594,,,,
R1 Cost再认证,33,added_region_benders_cuts,137139,370,-459343492.0037055,-459343492.0037055,-459300128.1242236,43363.87948191166,43363.879480689764,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154179348.3242252,-162337500.60000005,0.0,0.0,0.0,0.0,43363.879480689764,0.0,0,nan,False,,,0.33180999755859375,5.150918340682983,RegionE,-459343492.0037055,,301.4224307537079,0.3315696716308594,,,,
R1 Cost再认证,34,added_region_benders_cuts,137139,372,-459343492.0037055,-459343492.0037055,-459336163.3657181,7328.637987375259,4772.628691226244,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154217939.57501465,-162334944.59070513,0.0,0.0,0.0,0.0,4772.628691226244,2556.00929492712,0,nan,False,,,0.3314857482910156,5.217079675197601,RegionE,-459343492.0037055,,305.39211082458496,0.3321571350097656,,,,
R1 Cost再认证,35,added_region_benders_cuts,137139,374,-459343492.0037055,-459343492.0037055,-459315712.28211766,27779.721587836742,15405.360302060843,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154207306.84340382,-162325126.2387155,0.0,0.0,0.0,0.0,15405.360302060843,12374.361284554005,0,nan,False,,,0.3294105529785156,5.2787327806154885,RegionE,-459343492.0037055,,309.0912971496582,0.3321571350097656,,,,
R1 Cost再认证,36,added_region_benders_cuts,137139,375,-459343492.0037055,-459343492.0037055,-459319882.9433043,23609.060401201248,23609.060400009155,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154199103.14330587,-162337500.60000005,0.0,0.0,0.0,0.0,23609.060400009155,0.0,0,nan,False,,,0.3351936340332031,5.341885352134705,RegionE,-459343492.0037055,,312.88045144081116,0.3321571350097656,,,,
R1 Cost再认证,37,added_region_benders_cuts,137139,376,-459343492.0037055,-459343492.0037055,-459328866.1698845,14625.833820998669,14625.833819806576,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154208086.36988607,-162337500.60000005,0.0,0.0,0.0,0.0,14625.833819806576,0.0,0,nan,False,,,0.33277130126953125,5.405875138441721,RegionE,-459343492.0037055,,316.7198386192322,0.3354682922363281,,,,
R1 Cost再认证,38,added_region_benders_cuts,137139,378,-459343492.0037055,-459343492.0037055,-459327801.3559891,15690.647716403008,13103.318385154009,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154209608.88532072,-162334913.27067,0.0,0.0,0.0,0.0,13103.318385154009,2587.3293300569057,0,nan,False,,,0.33989715576171875,5.4681569536526995,RegionE,-459343492.0037055,,320.45674753189087,0.3354682922363281,,,,
R1 Cost再认证,39,added_region_benders_cuts,137139,379,-459343492.0037055,-459343492.0037055,-459330955.6605378,12536.343167722225,12536.343166470528,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154210175.8605394,-162337500.60000005,0.0,0.0,0.0,0.0,12536.343166470528,0.0,0,nan,False,,,0.340911865234375,5.532640167077383,RegionE,-459343492.0037055,,324.3257403373718,0.33927154541015625,,,,
R1 Cost再认证,40,added_region_benders_cuts,137139,380,-459343492.0037055,-459343492.0037055,-459327650.4461858,15841.557519674301,15841.55751851201,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154206870.64618737,-162337500.60000005,0.0,0.0,0.0,0.0,15841.55751851201,0.0,0,nan,False,,,0.33954620361328125,5.600285017490387,RegionE,-459343492.0037055,,328.3844313621521,0.3412208557128906,,,,
R1 Cost再认证,41,added_region_benders_cuts,137139,381,-459343492.0037055,-459343492.0037055,-459333569.56319296,9922.440512537956,9922.440511256456,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154212789.76319462,-162337500.60000005,0.0,0.0,0.0,0.0,9922.440511256456,0.0,0,nan,False,,,0.3426628112792969,5.668214154243469,RegionE,-459343492.0037055,,332.46017956733704,0.3412208557128906,,,,
R1 Cost再认证,42,added_region_benders_cuts,137139,382,-459343492.0037055,-459343492.0037055,-459340688.8007043,2803.203001201153,2803.2029999792576,-0.0,-0.0,-0.0,-142783279.19999963,-154222712.20370588,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,0.0,2803.2029999792576,0.0,0,nan,False,,,0.3413047790527344,5.731314587593078,RegionE,-459343492.0037055,,336.2462055683136,0.3428840637207031,,,,
R1 Cost再认证,43,added_region_benders_cuts,137139,383,-459340688.80070555,-459340688.80070555,-459335778.05895895,4910.741746604443,4910.741745352745,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154214998.25896055,-162337500.60000005,0.0,0.0,0.0,0.0,4910.741745352745,0.0,0,nan,False,,,0.3422660827636719,5.795460347334544,RegionE,-459340688.80070555,,340.0949511528015,0.3428840637207031,,,,
R1 Cost再认证,44,added_region_benders_cuts,137139,385,-459340688.80070555,-459340688.80070555,-459330399.51947266,10289.281232893467,10224.371817618608,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154209684.62888828,-162337435.690586,0.0,0.0,0.0,0.0,10224.371817618608,64.90941405296326,0,nan,False,,,0.3438377380371094,5.86009635925293,RegionE,-459340688.80070555,,343.97311186790466,0.3428840637207031,,,,
R1 Cost再认证,45,added_region_benders_cuts,137139,386,-459340688.80070555,-459340688.80070555,-459335802.27130294,4886.52940261364,4886.529401481152,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154215022.47130442,-162337500.60000005,0.0,0.0,0.0,0.0,4886.529401481152,0.0,0,nan,False,,,0.3433685302734375,5.923624857266744,RegionE,-459340688.80070555,,347.7848217487335,0.34404754638671875,,,,
R1 Cost再认证,46,added_region_benders_cuts,137139,387,-459340688.80070555,-459340688.80070555,-459340211.44013023,477.3605753183365,477.3605741262436,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154219431.64013177,-162337500.60000005,0.0,0.0,0.0,0.0,477.3605741262436,0.0,0,nan,False,,,0.3429412841796875,5.986036348342895,RegionE,-459340688.80070555,,351.5295112133026,0.34404754638671875,,,,
R1 Cost再认证,47,added_region_benders_cuts,137139,388,-459340688.80070555,-459340688.80070555,-459327509.2521788,13179.548526763916,13179.548525571823,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154206729.45218033,-162337500.60000005,0.0,0.0,0.0,0.0,13179.548525571823,0.0,0,nan,False,,,0.3424530029296875,6.102744845549266,RegionE,-459340688.80070555,,358.5320210456848,0.34404754638671875,,,,
R1 Cost再认证,48,added_region_benders_cuts,137139,390,-459340688.80070555,-459340688.80070555,-459332914.2392507,7774.561454832554,7774.430359423161,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154212134.57034647,-162337500.468906,0.0,0.0,0.0,0.0,7774.430359423161,0.1310940682888031,0,nan,False,,,0.3428535461425781,6.257265953222911,RegionE,-459340688.80070555,,367.8032875061035,0.34404754638671875,,,,
R1 Cost再认证,49,added_region_benders_cuts,137139,391,-459340688.80070555,-459340688.80070555,-459340102.96653,585.8341755270958,585.8341742455959,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154219323.16653165,-162337500.60000005,0.0,0.0,0.0,0.0,585.8341742455959,0.0,0,nan,False,,,0.34358978271484375,6.405795439084371,RegionE,-459340688.80070555,,376.71505665779114,0.34404754638671875,,,,
R1 Cost再认证,50,added_region_benders_cuts,137139,392,-459340688.80070555,-459340688.80070555,-459317516.7528897,23172.047815859318,23172.04781460762,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154196736.9528913,-162337500.60000005,0.0,0.0,0.0,0.0,23172.04781460762,0.0,0,nan,False,,,0.3408203125,6.5708518902460735,RegionE,-459340688.80070555,,386.6184437274933,0.34404754638671875,,,,
