iter,active_columns,cuts,lp_lb_cny,energy_cost_cny,theta_cny,violation_cny,new_columns,min_reduced_cost,rss_gib,elapsed_min,eta_min
1,51180,1,-458815194.33295256,-458815194.33295375,-458815194.33295256,-1.1920928955078125e-06,1180,-30146.004223999997,0.1804351806640625,2.0011086066563926,48.02660655975342
2,51180,2,-461149619.5422503,-459311224.82515436,-461149619.5422503,1838394.7170959115,0,0.0,0.18313980102539062,2.082102366288503,23.944177212317783
3,51180,3,-459313682.7089043,-459311383.777813,-459313682.7089043,2298.9310913085938,0,0.0,0.18622970581054688,2.1723068714141847,15.930250390370686
4,51195,3,-459313682.7089043,-459313682.7089043,-459313682.7089043,0.0,15,-17887.2,0.1887359619140625,2.6972524483998614,14.160575354099272
5,51195,4,-459320331.04652935,-459320329.3107093,-459320331.04652935,1.7358200550079346,0,0.0,0.19407272338867188,2.7839856266975405,11.135942506790162
6,51210,4,-459320329.31070936,-459320329.3107093,-459320329.31070936,5.960464477539063e-08,15,-17878.847999999998,0.19093704223632812,3.320304556687673,10.514297762844299
7,51224,4,-459327990.6123769,-459327990.61237687,-459327990.6123769,5.960464477539063e-08,14,-17878.847999999998,0.19311904907226562,3.841573890050252,9.87833286012922
8,51224,5,-459335188.68912154,-459334792.55742335,-459335188.68912154,396.1316981911659,0,0.0,0.19345474243164062,3.930931639671326,8.353229734301568
9,51260,5,-459335129.8683318,-459335129.86833173,-459335129.8683318,5.960464477539063e-08,36,-12311.687895311326,0.19769668579101562,4.473010385036469,7.9520184622870556
10,51260,6,-459343492.0037043,-459340688.8007043,-459343492.0037043,2803.20300000906,0,0.0,0.2540130615234375,4.571102404594422,6.856653606891633
11,51260,6,-459340688.8007043,-459340688.8007043,-459340688.8007043,0.0,0,0.0,0.20067977905273438,5.136122922102611,6.536883719039686
