iter,active_columns,cuts,lp_lb_cny,energy_cost_cny,theta_cny,violation_cny,new_columns,min_reduced_cost,rss_gib,elapsed_min,eta_min
1,51180,1,-458833835.8695923,-458833835.8695927,-458833835.8695923,-4.172325134277344e-07,1180,-28985.903318399993,0.1682586669921875,0.8184656699498495,81845.748529315
2,51180,2,-461083508.43671167,-459312384.88843876,-461083508.43671167,1771123.5482729077,0,0.0,0.17187881469726562,0.8569381952285766,42846.0528232336
3,51180,3,-459314748.2823388,-459312537.78614116,-459314748.2823388,2210.496197640896,0,0.0,0.176849365234375,0.8961172739664713,29869.67968160841
4,51195,3,-459314748.2823388,-459314748.28233874,-459314748.2823388,5.960464477539063e-08,15,-17199.552,0.17733383178710938,1.1666367650032043,29164.752488315105
5,51195,4,-459321141.04227126,-459321139.3064512,-459321141.04227126,1.7358200550079346,0,0.0,0.1808013916015625,1.280128280321757,25601.28547815482
6,51210,4,-459321139.3064512,-459321139.3064512,-459321139.3064512,0.0,15,-17191.2,0.179840087890625,1.626278007030487,27103.007172501082
7,51224,4,-459328505.94267005,-459328505.94267005,-459328505.94267005,0.0,14,-17191.2,0.18156051635742188,2.116746238867442,30237.11523758173
8,51224,5,-459335427.1703092,-459335046.2744455,-459335427.1703092,380.89586371183395,0,0.0,0.18335723876953125,2.230843178431193,27883.308887211482
9,51260,5,-459335370.6118574,-459335370.61185735,-459335370.6118574,5.960464477539063e-08,36,-11838.16143779935,0.1838226318359375,2.8002801299095155,31111.423385531372
10,51260,6,-459343411.1266387,-459340715.73913866,-459343411.1266387,2695.3875000476837,0,0.0,0.18733596801757812,2.840509307384491,28402.252564537528
11,51260,6,-459340715.73913866,-459340715.73913866,-459340715.73913866,0.0,0,0.0,0.1856842041015625,3.2203643282254535,29272.818983175897
