iter,active_columns,cuts,lp_lb_cny,energy_cost_cny,theta_cny,violation_cny,new_columns,min_reduced_cost,rss_gib,elapsed_min,eta_min
1,66809,1,-401445986.2135183,-401445986.2135176,-401445986.2135183,7.152557373046875e-07,16809,-65150.449152,0.1718292236328125,0.8101874748865764,81017.93730118276
2,66809,2,-419020280.88460016,-405006610.6541001,-419020280.88460016,14013670.230500042,0,0.0,0.17578887939453125,0.8542112747828166,42709.70952786604
3,66809,3,-413601750.83375317,-410277802.3270745,-413601750.83375317,3323948.506678641,0,0.0,0.18303298950195312,0.8987759073575338,29958.29813601043
4,66809,4,-413368955.74290645,-410123625.47077066,-413368955.74290645,3245330.272135794,0,0.0,0.18297195434570312,0.9439608931541443,23598.078367960454
5,66809,5,-413026946.2726185,-409680525.62785715,-413026946.2726185,3346420.644761324,0,0.0,0.18832778930664062,0.9902275005976359,19803.55978445212
6,66809,6,-412622771.1154805,-410022117.2306329,-412622771.1154805,2600653.8848475814,0,0.0,0.18894577026367188,1.0373915394147237,17288.82159870598
7,66809,7,-412528858.6015021,-410073329.5589439,-412528858.6015021,2455529.042558193,0,0.0,0.19066619873046875,1.085182281335195,15501.51883679288
8,66809,8,-412449615.94712526,-410316605.68491924,-412449615.94712526,2133010.262206018,0,0.0,0.23760223388671875,1.1341832041740418,14176.15586897135
9,66809,9,-412404582.83891827,-410656929.0704466,-412404582.83891827,1747653.7684716582,0,0.0,0.247528076171875,1.2034180680910747,13370.108449610516
10,66809,10,-412377693.6389395,-410660090.0765443,-412377693.6389395,1717603.562395215,0,0.0,0.19734954833984375,1.3000194470087687,12998.894450640677
11,66809,11,-412345148.1186354,-410704612.4826403,-412345148.1186354,1640535.63599509,0,0.0,0.2451934814453125,1.398237144947052,12709.848535100982
12,66809,12,-412323151.8833068,-410617492.2418432,-412323151.8833068,1705659.6414635777,0,0.0,0.24966812133789062,1.4626742800076802,12187.489659117327
13,66809,13,-412301909.3544336,-410948435.08412427,-412301909.3544336,1353474.270309329,0,0.0,0.2515144348144531,1.5183362205823263,11677.991052874235
14,66809,14,-412291722.76361996,-411070178.5894159,-412291722.76361996,1221544.1742040515,0,0.0,0.2581367492675781,1.5739803751309713,11241.142984846092
15,66809,15,-412283517.1643224,-411049935.7499765,-412283517.1643224,1233581.4143458605,0,0.0,0.2553443908691406,1.6297582825024923,10863.42545840078
16,66809,16,-412275467.77751577,-411144333.4150028,-412275467.77751577,1131134.3625129461,0,0.0,0.25739288330078125,1.6872429410616556,10543.581138694286
17,66809,17,-412267395.8847622,-411162567.9393484,-412267395.8847622,1104827.945413828,0,0.0,0.21060943603515625,1.7456766486167907,10266.940491685446
18,66809,18,-412259494.117604,-411125845.8823612,-412259494.117604,1133648.2352428436,0,0.0,0.26312255859375,1.804261895020803,10021.872932664995
19,66809,19,-412254280.02772576,-411006619.8005391,-412254280.02772576,1247660.2271866798,0,0.0,0.265472412109375,1.8645798484484355,9811.71356988016
20,66809,20,-412245707.0410637,-411078071.33012134,-412245707.0410637,1167635.7109423876,0,0.0,0.2650260925292969,1.9259336153666178,9627.742143217723
21,66809,21,-412240040.923917,-410909272.7625342,-412240040.923917,1330768.1613827944,0,0.0,0.27008819580078125,1.9872045715649922,9460.891707642682
22,66809,22,-412235858.69599617,-411165742.4481557,-412235858.69599617,1070116.247840464,0,0.0,0.2679634094238281,2.050477687517802,9318.3026473934
23,66809,23,-412232889.2350554,-411137152.9639809,-412232889.2350554,1095736.2710744739,0,0.0,0.2724151611328125,2.1137142101923625,9187.948069234862
24,66809,24,-412230043.4087529,-411210203.26563853,-412230043.4087529,1019840.143114388,0,0.0,0.21426010131835938,2.177363069852193,9070.168761314286
25,66809,25,-412227761.5583801,-411116940.0191172,-412227761.5583801,1110821.5392629504,0,0.0,0.27227020263671875,2.2425387064615885,8967.912287139892
26,66809,26,-412224430.6443752,-411284458.4677707,-412224430.6443752,939972.1766045094,0,0.0,0.26892852783203125,2.3083088715871174,8875.80273569425
27,66809,27,-412222437.457868,-411372609.0170636,-412222437.457868,849828.4408043623,0,0.0,0.2663459777832031,2.376319074630737,8798.80543881699
28,66809,28,-412220480.38525146,-411328883.0903707,-412220480.38525146,891597.2948807478,0,0.0,0.2711982727050781,2.445021144549052,8729.773352244922
29,66809,29,-412219082.38329756,-411247269.67108995,-412219082.38329756,971812.7122076154,0,0.0,0.2707672119140625,2.5147706707318624,8669.108231852932
30,66809,30,-412217619.89057237,-411367159.6533159,-412217619.89057237,850460.2372564673,0,0.0,0.26992034912109375,2.5878440817197164,8623.559094984
31,66809,31,-412215739.30165166,-411328010.8600796,-412215739.30165166,887728.4415720701,0,0.0,0.2751884460449219,2.6615106582641603,8582.85674180677
32,66809,32,-412213494.2052303,-411338253.28547686,-412213494.2052303,875240.9197534323,0,0.0,0.2734260559082031,2.745344412326813,8576.455944108964
33,66809,33,-412210823.0586331,-411170983.17164916,-412210823.0586331,1039839.8869839311,0,0.0,0.222442626953125,2.82688068151474,8563.478214817696
34,66809,34,-412207780.97131556,-411150865.7392076,-412207780.97131556,1056915.2321079373,0,0.0,0.2764434814453125,2.9172250350316364,8577.156407410957
35,66809,35,-412205116.96937394,-411301266.2109127,-412205116.96937394,903850.758461237,0,0.0,0.2766075134277344,2.996800450483958,8559.290200932253
36,66809,36,-412203707.40582764,-411486395.41519445,-412203707.40582764,717311.9906331897,0,0.0,0.27507781982421875,3.076452887058258,8542.626011163658
37,66809,37,-412202804.50246537,-411534736.3125228,-412202804.50246537,668068.1899425387,0,0.0,0.2709617614746094,3.2097269733746847,8671.728038904152
38,66809,38,-412202026.63167995,-411444701.41453004,-412202026.63167995,757325.2171499133,0,0.0,0.2767219543457031,3.433972903092702,9033.336824709282
39,66809,39,-412201381.8936712,-411457298.111742,-412201381.8936712,744083.7819291949,0,0.0,0.2822914123535156,3.6634771784146625,9389.867749525849
40,66809,40,-412200234.823968,-411419817.534597,-412200234.823968,780417.2893710136,0,0.0,0.2806358337402344,3.897256032625834,9739.24282553196
41,66809,41,-412199104.2574315,-411445308.51128274,-412199104.2574315,753795.7461487651,0,0.0,0.28321075439453125,4.1071446975072226,10013.318946783524
42,66809,42,-412197965.49483836,-411402347.90698165,-412197965.49483836,795617.58785671,0,0.0,0.22346115112304688,4.330136513710022,10305.518705653007
43,66809,43,-412196423.84421045,-411443660.9933731,-412196423.84421045,752762.8508373499,0,0.0,0.2845420837402344,4.557694967587789,10594.732927329596
44,66809,44,-412195203.2471491,-411531112.65980864,-412195203.2471491,664090.5873404741,0,0.0,0.28565216064453125,4.805844600995382,10917.568248570327
45,66809,45,-412194072.6935415,-411519507.64596146,-412194072.6935415,674565.0475800633,0,0.0,0.2830009460449219,5.059726242224375,11238.77636758972
46,66809,46,-412192322.96702087,-411377390.2936159,-412192322.96702087,814932.6734049916,0,0.0,0.2849082946777344,5.214188023408254,11329.977167211926
47,66809,47,-412190544.50611275,-411390277.8400334,-412190544.50611275,800266.6660793424,0,0.0,0.28583526611328125,5.320974087715149,11315.900489136005
48,66809,48,-412189345.1064965,-411504204.3913761,-412189345.1064965,685140.7151204348,0,0.0,0.2871131896972656,5.437791204452514,11323.293884738285
49,66809,49,-412188494.78003037,-411483068.3454479,-412188494.78003037,705426.4345824718,0,0.0,0.29035186767578125,5.6344348907470705,11493.2122809196
50,66809,50,-412187190.499498,-411434286.2090329,-412187190.499498,752904.2904651165,0,0.0,0.29119873046875,5.89361234108607,11781.331069831054
51,66809,51,-412186261.36888146,-411516476.55421495,-412186261.36888146,669784.8146665096,0,0.0,0.28730010986328125,6.179395238558452,12110.281856836837
52,66809,52,-412185755.4201851,-411572093.35433185,-412185755.4201851,613662.0658532381,0,0.0,0.2895698547363281,6.451162652174632,12399.630860760579
53,66809,53,-412185365.2849776,-411633800.2450311,-412185365.2849776,551565.0399464965,0,0.0,0.29048919677734375,6.724250268936157,12680.540408101173
54,66809,54,-412185014.7298922,-411667095.6050839,-412185014.7298922,517919.12480831146,0,0.0,0.29030609130859375,7.012882455190023,12979.806479007817
55,66809,55,-412184717.45690227,-411595356.42460567,-412184717.45690227,589361.032296598,0,0.0,0.22977447509765625,7.304597119490306,13273.781074681065
56,66809,56,-412184214.8003223,-411597622.49854845,-412184214.8003223,586592.3017738461,0,0.0,0.2986259460449219,7.592031176884969,13549.606498974847
57,66809,57,-412183516.89524984,-411494808.6981476,-412183516.89524984,688708.1971022487,0,0.0,0.29796600341796875,7.903741172949473,13858.308842948933
58,66809,58,-412181924.9953697,-411475150.0202354,-412181924.9953697,706774.9751342535,0,0.0,0.22872161865234375,8.19792497952779,14126.155487999422
59,66809,59,-412180347.65925425,-411549598.48654723,-412180347.65925425,630749.1727070212,0,0.0,0.299957275390625,8.502003073692322,14401.672698099734
60,66809,60,-412179165.68207973,-411540038.80624205,-412179165.68207973,639126.8758376837,0,0.0,0.30066680908203125,8.80297418832779,14662.820673024657
61,66809,61,-412178077.5125767,-411488044.2560859,-412178077.5125767,690033.2564908266,0,0.0,0.3036651611328125,8.924040122826893,14620.649931724538
62,66809,62,-412176527.94363445,-411521558.71556944,-412176527.94363445,654969.2280650139,0,0.0,0.3007850646972656,9.030674775441488,14556.573801743087
63,66809,63,-412175505.0091919,-411521035.98521405,-412175505.0091919,654469.0239778161,0,0.0,0.30490875244140625,9.143453574180603,14504.274918141062
64,66809,64,-412174624.1837198,-411640115.53527015,-412174624.1837198,534508.6484496593,0,0.0,0.3052177429199219,9.253485361735025,14449.317392349241
65,66809,65,-412174150.24281025,-411678868.9384825,-412174150.24281025,495281.30432772636,0,0.0,0.3054161071777344,9.36365799109141,14396.264020611075
66,66809,66,-412173610.62664014,-411649930.0273426,-412173610.62664014,523680.5992975235,0,0.0,0.3034782409667969,9.575944368044535,14499.43067388125
67,66809,67,-412173020.4144923,-411606762.83981675,-412173020.4144923,566257.57467556,0,0.0,0.3052711486816406,9.89782945315043,14762.981951368387
68,66809,68,-412171818.2814736,-411626875.4426666,-412171818.2814736,544942.8388069868,0,0.0,0.30458831787109375,10.228735832373301,15032.029841187186
69,66809,69,-412171002.3653731,-411598179.92112154,-412171002.3653731,572822.4442515373,0,0.0,0.306365966796875,10.566672666867573,15303.451685112224
70,66809,70,-412170258.8376846,-411573243.0182125,-412170258.8376846,597015.8194720745,0,0.0,0.3066291809082031,10.9033478418986,15565.307854870389
71,66809,71,-412169432.7318832,-411625202.52460855,-412169432.7318832,544230.2072746754,0,0.0,0.23363876342773438,11.262473781903585,15851.376655659766
72,66809,72,-412168686.0061879,-411561585.07239705,-412168686.0061879,607100.9337908626,0,0.0,0.3093910217285156,11.628246700763702,16138.714393248822
73,66809,73,-412167790.70782274,-411575897.91253066,-412167790.70782274,591892.7952920794,0,0.0,0.3098907470703125,11.91965518395106,16316.375117351747
74,66809,74,-412167037.6242472,-411625056.17827123,-412167037.6242472,541981.4459759593,0,0.0,0.3091773986816406,12.041543960571289,16260.315159514144
75,66809,75,-412166496.92065024,-411683860.52522135,-412166496.92065024,482636.39542889595,0,0.0,0.3071556091308594,12.386729236443838,16503.252252688675
76,66809,76,-412166064.54912096,-411687931.28603053,-412166064.54912096,478133.2630904317,0,0.0,0.3063163757324219,12.745784330368043,16758.023071417058
77,66809,77,-412165633.23414963,-411616207.7167024,-412165633.23414963,549425.5174472332,0,0.0,0.3082122802734375,13.005146642525991,16876.795687806814
78,66809,78,-412164740.80619675,-411607205.6985958,-412164740.80619675,557535.1076009274,0,0.0,0.30844879150390625,13.269373567899068,16998.748021174495
79,66809,79,-412164058.50555974,-411654957.6927511,-412164058.50555974,509100.81280863285,0,0.0,0.30683135986328125,13.647028303146362,17261.0723427682
80,66809,80,-412163663.17257863,-411726559.89751273,-412163663.17257863,437103.2750658989,0,0.0,0.3080177307128906,14.040101317564647,17536.08654563824
81,66809,81,-412163339.59626454,-411700966.4192909,-412163339.59626454,462373.1769736409,0,0.0,0.31031036376953125,14.454492644468944,17830.598154848056
82,66809,82,-412163087.6804343,-411692662.29511905,-412163087.6804343,470425.38531523943,0,0.0,0.3118858337402344,14.857803948720296,18104.415304246762
83,66809,83,-412162876.84001255,-411682321.47490656,-412162876.84001255,480555.3651059866,0,0.0,0.3132667541503906,15.25841952562332,18368.379563153077
84,66809,84,-412162411.5228866,-411664788.2152386,-412162411.5228866,497623.3076480031,0,0.0,0.3099403381347656,15.391409456729889,18307.71508665028
85,66809,85,-412162096.0279015,-411705001.83342713,-412162096.0279015,457094.1944743395,0,0.0,0.3114433288574219,15.52606995900472,18250.438587693607
86,66809,86,-412161705.36440694,-411629828.4505987,-412161705.36440694,531876.9138082266,0,0.0,0.3125267028808594,15.659516723950704,18193.080859962916
87,66809,87,-412161317.3716791,-411726682.2026835,-412161317.3716791,434635.1689956188,0,0.0,0.3141059875488281,15.79424146413803,18138.506292027854
88,66809,88,-412161028.18156624,-411659220.0694024,-412161028.18156624,501808.1121638417,0,0.0,0.31600189208984375,15.929449780782063,18085.718028380652
89,66809,89,-412160658.9212629,-411632565.70708615,-412160658.9212629,528093.214176774,0,0.0,0.3166160583496094,16.064907936255135,18034.393447406594
90,66809,90,-412160033.9955972,-411713148.51967347,-412160033.9955972,446885.475923717,0,0.0,0.31656646728515625,16.20023504495621,17984.060926017497
91,66809,91,-412159785.16516334,-411744881.1672646,-412159785.16516334,414903.99789875746,0,0.0,0.31856536865234375,16.340682939688364,17940.453756278293
92,66809,92,-412159499.97105414,-411712447.4328276,-412159499.97105414,447052.53822654486,0,0.0,0.317596435546875,16.483378974596658,17900.2328977609
