阶段,轮次,事件,活动列数,Benders切数,LP目标值,theta_CNY,真实能源成本_CNY,Benders违反_CNY,最大区域违反_CNY,theta_A_CNY,theta_B_CNY,theta_C_CNY,theta_D_CNY,theta_E_CNY,theta_F_CNY,真实能源成本_A_CNY,真实能源成本_B_CNY,真实能源成本_C_CNY,真实能源成本_D_CNY,真实能源成本_E_CNY,真实能源成本_F_CNY,区域违反_A_CNY,区域违反_B_CNY,区域违反_C_CNY,区域违反_D_CNY,区域违反_E_CNY,区域违反_F_CNY,新增列数,最小缺失列约化成本,根节点闭合,MIP状态,MIP目标值,当前RSS_GiB,累计分钟,主导违反区域,LP界,MIP Gap,阶段运行秒,峰值RSS_GiB,可行Latency上界_ms,Latency下界_ms,Latency相对Gap,成本上界违反_CNY
renew_down_80 Cost区域多切,1,added_columns,77866,6,-396086281.1162876,-396086281.1162876,-396086281.1162877,-1.1920928955078125e-07,7.897615432739258e-07,20472.42621060002,2758.2523012130778,57470.42736865685,-126840885.78403474,-131785827.01937698,-137540269.41875637,20472.426210600028,2758.2523012131146,57470.42736865691,-126840885.78403479,-131785827.01937619,-137540269.41875792,7.275957614183426e-12,3.6834535421803594e-11,5.820766091346741e-11,-4.470348358154297e-08,7.897615432739258e-07,-1.5497207641601562e-06,27866,-44453.21462400001,False,,,0.18385696411132812,0.44472084442774457,RegionE,-396086281.1162876,,26.683250665664673,0.16709136962890625,,,,
renew_down_80 Cost区域多切,2,added_region_benders_cuts,77866,12,-429300815.51273966,-429300815.51273966,-402627807.8911821,26673007.621557534,10654907.99098604,12338.422410600018,-51327.861425960444,-13407.858597452147,-136013888.09939748,-140248803.95795986,-152985726.15776947,10667246.41339664,8521371.62498702,28012.27693536654,-135009983.00941488,-137989310.10056874,-148845145.0965179,10654907.99098604,8572699.48641298,41420.135532818684,1003905.089982599,2259493.857391119,4140581.0612515807,0,nan,False,,,0.18593597412109375,0.501060958703359,RegionA,-429300815.51273966,,30.063657522201538,0.18673324584960938,,,,
renew_down_80 Cost区域多切,3,added_region_benders_cuts,77866,18,-418451106.36871135,-418451106.36871135,-409078836.677483,9372269.69122833,3175618.832984056,12338.422410600018,-34197.16835078193,19356.354792366554,-140326270.3244551,-134968937.10245427,-143153396.55065414,3187957.2553946557,2655324.43442805,21994.51359243298,-138482231.19037604,-134201199.99162452,-142260681.6988972,3175618.832984056,2689521.602778832,2638.158800066427,1844039.134079069,767737.1108297557,892714.8517569304,0,nan,False,,,0.19412612915039062,0.6963467041651408,RegionA,-418451106.36871135,,41.78080224990845,0.18842697143554688,,,,
renew_down_80 Cost区域多切,4,added_region_benders_cuts,77866,24,-417843646.83079165,-417843646.83079165,-409889086.8510635,7954559.979728162,2961987.0511122034,12338.422410600018,-31257.137299429884,19437.21454383423,-138329089.50658962,-135343273.4769709,-144171802.3468861,2974325.4735228033,2611824.8181021567,21654.0976657136,-137039483.71634007,-134867015.184859,-143590392.33915487,2961987.0511122034,2643081.955401587,2216.883121879371,1289605.7902495563,476258.2921119034,581410.0077312291,0,nan,False,,,0.195587158203125,0.9310064355532328,RegionA,-417843646.83079165,,55.86038613319397,0.19713211059570312,,,,
renew_down_80 Cost区域多切,5,added_region_benders_cuts,77866,30,-417407800.6562115,-417407800.6562115,-410296959.77474,7110840.881471515,3032178.023679912,12338.422410600018,-26558.247904022257,19065.24612339367,-137854181.02618346,-135283936.211091,-144274528.83956698,3044516.446090512,2367230.568837028,20430.625620344006,-136891200.09905842,-134925368.68302166,-143912568.6332075,3032178.023679912,2393788.81674105,1365.379496950336,962980.9271250367,358567.52806934714,361960.20635947585,0,nan,False,,,0.20055007934570312,1.2253531217575073,RegionA,-417407800.6562115,,73.52118730545044,0.19905471801757812,,,,
renew_down_80 Cost区域多切,6,added_region_benders_cuts,77866,35,-417155120.1564116,-417155120.1564116,-410312757.38444334,6842362.7719682455,2906250.5489318664,12338.422410600018,-26558.247904022275,19065.246123393663,-137353931.01561826,-135520563.99261072,-144285470.56881255,2918588.9713424663,2315605.3497094456,19065.246123393805,-136426441.60799623,-135190375.39023614,-143949199.95338616,2906250.5489318664,2342163.597613468,1.418811734765768e-10,927489.4076220393,330188.6023745835,336270.61542639136,0,nan,False,,,0.20403289794921875,1.5204161206881206,RegionA,-417155120.1564116,,91.22496724128723,0.20475387573242188,,,,
renew_down_80 Cost区域多切,7,added_region_benders_cuts,77866,40,-416894256.3902464,-416894256.3902464,-410469115.8923919,6425140.497854471,2671479.4882095596,12338.422410600018,-25637.210691848195,18771.067351289963,-137014832.37526911,-135466578.89276364,-144418317.40128365,2683817.9106201595,2312655.924009312,18771.067351290047,-136145072.18030685,-135192133.61321983,-144147155.00084597,2671479.4882095596,2338293.1347011602,8.36735125631094e-11,869760.1949622631,274445.27954381704,271162.40043768287,0,nan,False,,,0.20648574829101562,1.8649276971817017,RegionA,-416894256.3902464,,111.8956618309021,0.20871353149414062,,,,
renew_down_80 Cost区域多切,8,added_region_benders_cuts,77866,45,-416714406.454444,-416714406.454444,-410421916.6157132,6292489.838730812,2851414.889605042,12338.422410600018,-25637.210691848202,18771.067351289985,-136628252.0624731,-135446542.186201,-144645084.48483998,2863753.312015642,2157957.774993838,18771.067351290105,-135875417.01226217,-135202043.75193512,-144384938.00587702,2851414.889605042,2183594.985685686,1.2005330063402653e-10,752835.050210923,244498.43426588178,260146.47896295786,0,nan,False,,,0.2636680603027344,2.2262621323267617,RegionA,-416714406.454444,,133.5757279396057,0.21172332763671875,,,,
renew_down_80 Cost区域多切,9,added_region_benders_cuts,77866,50,-416537316.5852302,-416537316.5852302,-410191599.0890474,6345717.496182799,2957500.32793674,12338.422410600018,-25637.210691848188,18771.067351289967,-136352124.210221,-135434457.07222086,-144756207.58185834,2969838.75034734,2286389.637913203,18771.067351290047,-135674560.7933137,-135258590.91416934,-144533446.83717677,2957500.32793674,2312026.848605051,8.003553375601768e-11,677563.4169072807,175866.1580515206,222760.74468156695,0,nan,False,,,0.2707939147949219,2.58443478345871,RegionA,-416537316.5852302,,155.06608700752258,0.2638587951660156,,,,
renew_down_80 Cost区域多切,10,added_region_benders_cuts,77866,55,-416374581.6188047,-416374581.6188047,-410192623.0898175,6181958.528987169,2756240.5525184027,12338.422410600018,-24617.540665108318,18908.615411053288,-136175319.7736195,-135410088.72989127,-144795802.61245048,2768578.9749290026,2457964.895965593,18908.615411053404,-135569248.87545955,-135255580.91939226,-144613245.78127164,2756240.5525184027,2482582.436630701,1.1641532182693481e-10,606070.898159951,154507.81049901247,182556.83117884398,0,nan,False,,,0.2728614807128906,2.920076072216034,RegionA,-416374581.6188047,,175.20456433296204,0.27091217041015625,,,,
