阶段,轮次,事件,活动列数,Benders切数,LP目标值,theta_CNY,真实能源成本_CNY,Benders违反_CNY,最大区域违反_CNY,theta_A_CNY,theta_B_CNY,theta_C_CNY,theta_D_CNY,theta_E_CNY,theta_F_CNY,真实能源成本_A_CNY,真实能源成本_B_CNY,真实能源成本_C_CNY,真实能源成本_D_CNY,真实能源成本_E_CNY,真实能源成本_F_CNY,区域违反_A_CNY,区域违反_B_CNY,区域违反_C_CNY,区域违反_D_CNY,区域违反_E_CNY,区域违反_F_CNY,新增列数,最小缺失列约化成本,根节点闭合,MIP状态,MIP目标值,当前RSS_GiB,累计分钟,主导违反区域,LP界,MIP Gap,阶段运行秒,峰值RSS_GiB,可行Latency上界_ms,Latency下界_ms,Latency相对Gap,成本上界违反_CNY
renew_down_80 Cost区域多切,1,added_region_benders_cuts,137158,12,-431176552.9773905,-431176552.9773905,-410731274.32402843,20445278.653362095,4843048.684874624,-601117.0415156005,-399730.85948934924,-1930401.7203364256,-143836449.41162196,-134928210.96256915,-149480642.98185804,3541765.978241012,1797607.9712239364,1028163.5779184968,-138993400.72674733,-131357733.43041618,-146747677.69424883,4142883.0197566124,2197338.8307132856,2958565.2982549225,4843048.684874624,3570477.5321529657,2732965.2876092196,0,nan,False,,,0.19698715209960938,0.05633100668589274,RegionD,-431176552.9773905,,3.3798604011535645,0.17358016967773438,,,,
renew_down_80 Cost区域多切,2,added_region_benders_cuts,137158,18,-428456668.02189124,-428456668.02189124,-413915189.71114177,14541478.310749471,3282879.3683837354,-458462.4269183143,-306638.35215556214,-1156765.559077328,-139307375.76313537,-138232864.32105535,-148994561.59954932,2066765.9835106046,1933139.8919090333,651578.9480806967,-136024496.39475164,-135648811.39439967,-146893366.745491,2525228.410428919,2239778.2440645956,1808344.5071580247,3282879.3683837354,2584052.92665568,2101194.8540583253,0,nan,False,,,0.20404434204101562,0.14354740778605143,RegionD,-428456668.02189124,,8.612844467163086,0.20056533813476562,,,,
renew_down_80 Cost区域多切,3,added_region_benders_cuts,137158,24,-427132604.40338814,-427132604.40338814,-415301139.00705606,11831465.396332085,2977650.8778828084,-352425.02946656453,-365779.3287241066,-742002.4820354144,-140423764.00075763,-134466196.8390186,-150782436.7233858,1529253.3513805992,1451571.764671498,661281.3199668023,-137446113.12287483,-132450221.30864528,-149046911.01155475,1881678.3808471637,1817351.0933956045,1403283.8020022167,2977650.8778828084,2015975.530373335,1735525.711831063,0,nan,False,,,0.209381103515625,0.2584196090698242,RegionD,-427132604.40338814,,15.505176544189453,0.20792388916015625,,,,
renew_down_80 Cost区域多切,4,added_region_benders_cuts,137158,30,-426380769.819924,-426380769.819924,-415822069.6227721,10558700.1971519,2826559.5491558015,-395178.45073003834,-310739.8680802125,-556673.8999981561,-140168724.38207594,-136021786.82329425,-148927666.3957454,1369272.1259512494,1100203.197030681,493598.9843171416,-137342164.83292013,-134027235.228283,-147415743.86886895,1764450.5766812877,1410943.0651108935,1050272.8843152977,2826559.5491558015,1994551.5950112492,1511922.5268764496,0,nan,False,,,0.21225357055664062,0.40242420037587484,RegionD,-426380769.819924,,24.14545202255249,0.21365737915039062,,,,
renew_down_80 Cost区域多切,5,added_region_benders_cuts,137158,36,-425860922.0472219,-425860922.0472219,-416687131.8487957,9173790.198426187,2712453.8371891677,-351653.2489514777,-355596.1239195484,-175479.24240796812,-139985979.23402265,-135653490.94352403,-149338723.2543962,1038511.1015227326,949320.6526451613,706266.6690002282,-137273525.39683348,-133969177.7721808,-148138527.10294926,1390164.3504742105,1304916.7765647096,881745.9114081963,2712453.8371891677,1684313.1713432372,1200196.1514469385,0,nan,False,,,0.21488189697265625,0.5529115955034892,RegionD,-425860922.0472219,,33.17469573020935,0.21720504760742188,,,,
renew_down_80 Cost区域多切,6,added_region_benders_cuts,137158,42,-425549648.32691383,-425549648.32691383,-417228990.91599154,8320657.410922289,2670209.9780995846,-339677.44363586785,-327200.5650721343,-261868.57620941786,-139145207.61071533,-136002958.61357772,-149472735.51770335,955326.9062101286,771421.4959894621,572243.435912428,-136474997.63261575,-134638899.93855745,-148414085.18293086,1295004.3498459964,1098622.0610615965,834112.0121218459,2670209.9780995846,1364058.6750202775,1058650.3347724974,0,nan,False,,,0.2196502685546875,0.7299069126447042,RegionD,-425549648.32691383,,43.79441475868225,0.22047805786132812,,,,
renew_down_80 Cost区域多切,7,added_region_benders_cuts,137158,48,-425296587.1859549,-425296587.1859549,-417148672.7831561,8147914.402798831,2462120.6454489827,-360772.6147658757,-296315.3337832043,-344703.8591165618,-139019627.57274592,-135186093.28238922,-150089074.52315414,976628.3169219919,716860.2918504121,467094.9769060087,-136557506.92729694,-133722382.7493249,-149029366.6922125,1337400.9316878675,1013175.6256336165,811798.8360225705,2462120.6454489827,1463710.5330643207,1059707.8309416473,0,nan,False,,,0.22247695922851562,0.9343048572540283,RegionD,-425296587.1859549,,56.0582914352417,0.22583770751953125,,,,
renew_down_80 Cost区域多切,8,added_region_benders_cuts,137158,54,-425101868.31366676,-425101868.31366676,-417942338.51403517,7159529.799631596,2056880.4146152437,-329536.2713521267,-278542.7521240965,-416328.5907686679,-137962264.25023898,-135767063.30681682,-150348133.1423661,956819.7844004923,767743.3716258401,276027.47441350255,-135905383.83562374,-134588408.50611687,-149449136.8027339,1286356.0557526192,1046286.1237499366,692356.0651821705,2056880.4146152437,1178654.8006999493,898996.3396322131,0,nan,False,,,0.27272796630859375,1.1214550375938415,RegionD,-425101868.31366676,,67.2873022556305,0.2293548583984375,,,,
renew_down_80 Cost区域多切,9,added_region_benders_cuts,137158,60,-424909094.2665554,-424909094.2665554,-417791054.0176813,7118040.248874128,1999965.1874506772,-286196.6977188735,-243600.18216021714,-236370.12052142664,-138846035.65231216,-135838908.53493837,-149457983.07890436,1114570.9440842743,687522.4533393466,437357.272721052,-136846070.46486148,-134614017.4100841,-148570416.81288046,1400767.6418031477,931122.6354995638,673727.3932424786,1999965.1874506772,1224891.1248542666,887566.2660239041,0,nan,False,,,0.2732200622558594,1.3673239707946778,RegionD,-424909094.2665554,,82.03943824768066,0.27285003662109375,,,,
renew_down_80 Cost区域多切,10,added_region_benders_cuts,137158,66,-424726230.6232356,-424726230.6232356,-417800823.9227299,6925406.700505674,1905749.8555326164,-270741.3535669884,-193044.8677121814,-233886.7396512789,-139163224.86676183,-135774318.47379875,-149091014.32174453,949029.2698726531,784778.6854150988,560959.7142841027,-137257475.01122922,-134600228.50158215,-148237888.07949063,1219770.6234396414,977823.5531272802,794846.4539353816,1905749.8555326164,1174089.9722166061,853126.2422538996,0,nan,False,,,0.2781715393066406,1.6096925695737203,RegionD,-424726230.6232356,,96.58155417442322,0.27324676513671875,,,,
renew_down_80 Cost区域多切,11,added_region_benders_cuts,137158,72,-424579833.1041126,-424579833.1041126,-418110119.39299285,6469713.711119771,1702895.7994599938,-195584.45398106956,-185883.1117661687,-340777.1977527506,-138289243.58949304,-136068595.43637702,-149499749.31474257,997667.0964416534,887021.6426129472,382085.87043627846,-136586347.79003304,-135060858.77515247,-148729687.4372981,1193251.550422723,1072904.7543791158,722863.0681890291,1702895.7994599938,1007736.661224544,770061.8774444759,0,nan,False,,,0.2814788818359375,1.8746013442675273,RegionD,-424579833.1041126,,112.47608065605164,0.2782554626464844,,,,
renew_down_80 Cost区域多切,12,added_region_benders_cuts,137158,78,-424414532.61664075,-424414532.61664075,-417998961.38130313,6415571.235337615,1733181.5777358115,-175373.9788118528,-105622.28624547749,-303952.01720979245,-138428345.33929983,-135814623.89122352,-149586615.1038503,1041802.8564763829,878271.06491698,377267.0865124724,-136695163.76156402,-134719466.28843638,-148881672.33920896,1217176.8352882357,983893.3511624575,681219.1037222649,1733181.5777358115,1095157.602787137,704942.7646413445,0,nan,False,,,0.27764892578125,2.1459248383839924,RegionD,-424414532.61664075,,128.75549030303955,0.28150177001953125,,,,
renew_down_80 Cost区域多切,13,added_region_benders_cuts,137158,84,-424273277.361397,-424273277.361397,-418104479.6502774,6168797.711119652,1705686.9916849434,-128412.0437428974,-68242.496210586,-374117.6123965445,-137601232.58094797,-136656279.92955393,-149444992.69854507,1046822.008884046,810584.913292067,332174.8561305258,-135895545.58926302,-135649050.05923483,-148749465.7800866,1175234.0526269434,878827.409502653,706292.4685270702,1705686.9916849434,1007229.8703190982,695526.9184584618,0,nan,False,,,0.28823089599609375,2.4130555152893067,RegionD,-424273277.361397,,144.7833309173584,0.28150177001953125,,,,
renew_down_80 Cost区域多切,14,added_region_benders_cuts,137158,90,-424162319.5164721,-424162319.5164721,-418462407.524357,5699911.99211508,1480022.7625282407,-16720.693069012374,-57806.58105693922,-258435.04097017195,-138083487.02284026,-135836191.5685548,-149909678.6099809,1139671.639698631,765482.5020027172,501093.8505048205,-136603464.26031202,-134963707.657659,-149301483.59859315,1156392.3327676433,823289.0830596564,759528.8914749925,1480022.7625282407,872483.9108957946,608195.0113877654,0,nan,False,,,0.238311767578125,2.72087486187617,RegionD,-424162319.5164721,,163.2524917125702,0.28826141357421875,,,,
renew_down_80 Cost区域多切,15,added_region_benders_cuts,137158,96,-424063376.97274715,-424063376.97274715,-418143032.7256968,5920344.247050345,1678965.4976270199,-70774.8110344054,-26663.739713980474,-153793.55808122054,-138294916.4433921,-135955400.7608801,-149561827.65964532,1142229.3680250507,730946.9155518445,567062.1323280884,-136615950.94576508,-135070311.76888952,-148897008.4269476,1213004.179059456,757610.655265825,720855.690409309,1678965.4976270199,885088.991990596,664819.2326977253,0,nan,False,,,0.29299163818359375,3.03998677333196,RegionD,-424063376.97274715,,182.3992063999176,0.28826141357421875,,,,
