TaskID,任务类型,源区域,目标区域,到达小时,开工小时,完成小时,等待_h,时延_ms,是否迁移
1,AITraining,RegionD,RegionA,456,456,460.6666666666667,0.0,65.0,True
2,RealTimeInference,RegionB,RegionB,1126,1126,1129.3,0.0,5.0,False
3,RealTimeInference,RegionB,RegionA,914,914,917.7333333333333,0.0,12.0,True
4,RealTimeInference,RegionC,RegionA,419,419,420.6166666666667,0.0,15.0,True
5,AITraining,RegionF,RegionD,2233,2233,2235.6833333333334,0.0,25.0,True
6,RealTimeInference,RegionA,RegionA,1728,1728,1733.3,0.0,5.0,False
7,RealTimeInference,RegionA,RegionB,122,122,127.05,0.0,12.0,True
8,RealTimeInference,RegionA,RegionA,895,895,899.7666666666667,0.0,5.0,False
9,RealTimeInference,RegionB,RegionB,2069,2069,2074.383333333333,0.0,5.0,False
10,AITraining,RegionE,RegionC,108,108,112.08333333333333,0.0,70.0,True
11,AITraining,RegionF,RegionC,814,814,815.1333333333333,0.0,76.0,True
12,AITraining,RegionF,RegionB,2232,2232,2235.2833333333333,0.0,79.0,True
13,BatchInference,RegionA,RegionD,902,902,905.3166666666667,0.0,65.0,True
14,BatchInference,RegionB,RegionB,1139,1139,1140.0,0.0,5.0,False
15,RealTimeInference,RegionB,RegionA,653,653,657.2166666666667,0.0,12.0,True
16,AITraining,RegionE,RegionA,1731,1731,1733.3333333333333,0.0,78.0,True
17,BatchInference,RegionD,RegionD,1138,1138,1140.4,0.0,5.0,False
18,RealTimeInference,RegionC,RegionA,881,881,883.9333333333333,0.0,15.0,True
19,BatchInference,RegionA,RegionB,418,418,419.6333333333333,0.0,12.0,True
20,RealTimeInference,RegionA,RegionA,1556,1556,1560.1833333333334,0.0,5.0,False
21,RealTimeInference,RegionA,RegionA,1470,1470,1475.9166666666667,0.0,5.0,False
22,BatchInference,RegionC,RegionA,1083,1083,1084.6833333333334,0.0,15.0,True
23,RealTimeInference,RegionB,RegionA,1881,1881,1885.55,0.0,12.0,True
24,AITraining,RegionF,RegionF,511,511,514.5833333333334,0.0,5.0,False
25,BatchInference,RegionF,RegionE,322,322,322.98333333333335,0.0,18.0,True
26,AITraining,RegionB,RegionB,1200,1200,1206.65,0.0,5.0,False
27,AITraining,RegionD,RegionD,1481,1481,1485.4833333333333,0.0,5.0,False
28,AITraining,RegionD,RegionD,787,787,790.3333333333334,0.0,5.0,False
29,AITraining,RegionE,RegionA,284,284,286.85,0.0,78.0,True
30,RealTimeInference,RegionC,RegionC,933,933,937.65,0.0,5.0,False
31,BatchInference,RegionE,RegionA,326,326,329.73333333333335,0.0,78.0,True
32,RealTimeInference,RegionA,RegionA,413,413,418.0833333333333,0.0,5.0,False
33,BatchInference,RegionA,RegionA,1138,1138,1143.7833333333333,0.0,5.0,False
34,BatchInference,RegionB,RegionA,1494,1494,1498.8166666666666,0.0,12.0,True
35,RealTimeInference,RegionB,RegionC,1516,1516,1520.35,0.0,14.0,True
36,BatchInference,RegionD,RegionD,858,858,860.7666666666667,0.0,5.0,False
37,AITraining,RegionF,RegionF,1093,1093,1094.2333333333333,0.0,5.0,False
38,AITraining,RegionF,RegionF,292,292,297.8833333333333,0.0,5.0,False
39,AITraining,RegionB,RegionA,700,700,702.4166666666666,0.0,12.0,True
40,AITraining,RegionD,RegionD,1002,1002,1003.5,0.0,5.0,False
41,RealTimeInference,RegionB,RegionB,1893,1893,1897.9666666666667,0.0,5.0,False
42,BatchInference,RegionC,RegionA,1105,1105,1105.8333333333333,0.0,15.0,True
43,AITraining,RegionE,RegionE,2281,2284,2287.5,3.0,5.0,False
44,RealTimeInference,RegionC,RegionB,1328,1328,1328.7,0.0,14.0,True
45,RealTimeInference,RegionF,RegionE,938,938,939.1833333333333,0.0,18.0,True
46,RealTimeInference,RegionA,RegionA,1292,1292,1298.15,0.0,5.0,False
47,BatchInference,RegionB,RegionA,1096,1096,1099.9333333333334,0.0,12.0,True
48,RealTimeInference,RegionB,RegionB,864,864,866.3333333333334,0.0,5.0,False
49,AITraining,RegionE,RegionA,1288,1288,1291.7833333333333,0.0,78.0,True
50,RealTimeInference,RegionC,RegionA,2044,2044,2050.133333333333,0.0,15.0,True
51,BatchInference,RegionF,RegionB,1879,1879,1879.4,0.0,79.0,True
52,RealTimeInference,RegionA,RegionA,1084,1084,1090.4833333333333,0.0,5.0,False
53,RealTimeInference,RegionA,RegionA,1010,1010,1011.2,0.0,5.0,False
54,AITraining,RegionD,RegionD,2299,2299,2303.1666666666665,0.0,5.0,False
55,AITraining,RegionE,RegionC,1076,1076,1077.75,0.0,70.0,True
56,AITraining,RegionE,RegionB,2394,2394,2398.0,0.0,74.0,True
57,BatchInference,RegionE,RegionA,2390,2390,2393.0,0.0,78.0,True
58,BatchInference,RegionF,RegionD,1482,1482,1484.8166666666666,0.0,25.0,True
59,RealTimeInference,RegionA,RegionA,566,566,570.2,0.0,5.0,False
60,AITraining,RegionD,RegionA,2021,2021,2022.25,0.0,65.0,True
61,RealTimeInference,RegionB,RegionA,192,192,193.18333333333334,0.0,12.0,True
62,RealTimeInference,RegionB,RegionB,626,626,630.8833333333333,0.0,5.0,False
63,AITraining,RegionE,RegionF,655,655,655.8833333333333,0.0,18.0,True
64,AITraining,RegionF,RegionF,1729,1733,1738.6666666666667,4.0,5.0,False
65,AITraining,RegionA,RegionA,260,260,264.0,0.0,5.0,False
66,BatchInference,RegionA,RegionB,1563,1563,1569.4333333333334,0.0,12.0,True
67,AITraining,RegionD,RegionD,1917,1917,1919.1666666666667,0.0,5.0,False
68,AITraining,RegionD,RegionD,1029,1029,1033.4666666666667,0.0,5.0,False
69,AITraining,RegionE,RegionA,47,47,49.43333333333333,0.0,78.0,True
70,AITraining,RegionF,RegionC,469,469,472.9,0.0,76.0,True
71,AITraining,RegionF,RegionA,2199,2199,2202.016666666667,0.0,82.0,True
72,BatchInference,RegionA,RegionA,1393,1393,1399.3833333333334,0.0,5.0,False
73,RealTimeInference,RegionA,RegionB,1202,1202,1204.0333333333333,0.0,12.0,True
74,BatchInference,RegionC,RegionC,647,647,648.0166666666667,0.0,5.0,False
75,BatchInference,RegionD,RegionD,13,13,19.583333333333332,0.0,5.0,False
76,AITraining,RegionE,RegionD,1078,1078,1080.0333333333333,0.0,22.0,True
77,AITraining,RegionF,RegionF,731,731,734.2666666666667,0.0,5.0,False
78,AITraining,RegionA,RegionA,435,435,438.81666666666666,0.0,5.0,False
79,AITraining,RegionD,RegionD,1222,1222,1225.8833333333334,0.0,5.0,False
80,AITraining,RegionD,RegionC,2079,2079,2081.25,0.0,58.0,True
81,AITraining,RegionD,RegionC,814,814,817.0166666666667,0.0,58.0,True
82,RealTimeInference,RegionB,RegionB,1531,1531,1534.45,0.0,5.0,False
83,RealTimeInference,RegionC,RegionA,2209,2209,2212.5333333333333,0.0,15.0,True
84,AITraining,RegionF,RegionA,2,3,7.4,1.0,82.0,True
85,AITraining,RegionB,RegionA,1327,1327,1332.5666666666666,0.0,12.0,True
86,BatchInference,RegionB,RegionA,79,79,82.45,0.0,12.0,True
87,RealTimeInference,RegionB,RegionB,1486,1486,1490.15,0.0,5.0,False
88,BatchInference,RegionC,RegionB,980,980,983.5,0.0,14.0,True
89,RealTimeInference,RegionC,RegionC,986,986,991.5833333333334,0.0,5.0,False
90,AITraining,RegionF,RegionD,322,322,324.6166666666667,0.0,25.0,True
91,RealTimeInference,RegionF,RegionE,1990,1990,1995.9166666666667,0.0,18.0,True
92,RealTimeInference,RegionA,RegionA,2181,2181,2183.616666666667,0.0,5.0,False
93,RealTimeInference,RegionA,RegionA,525,525,527.2833333333333,0.0,5.0,False
94,AITraining,RegionD,RegionA,1946,1946,1952.15,0.0,65.0,True
95,AITraining,RegionE,RegionD,676,676,678.6666666666666,0.0,22.0,True
96,BatchInference,RegionE,RegionA,2161,2161,2165.5333333333333,0.0,78.0,True
97,AITraining,RegionF,RegionF,1733,1733,1735.0166666666667,0.0,5.0,False
98,RealTimeInference,RegionA,RegionA,2208,2208,2214.3,0.0,5.0,False
99,AITraining,RegionD,RegionE,823,823,827.3833333333333,0.0,22.0,True
100,AITraining,RegionD,RegionA,1276,1292,1292.7666666666667,16.0,65.0,True
