阶段,轮次,事件,活动列数,Benders切数,LP目标值,theta_CNY,真实能源成本_CNY,Benders违反_CNY,最大区域违反_CNY,theta_A_CNY,theta_B_CNY,theta_C_CNY,theta_D_CNY,theta_E_CNY,theta_F_CNY,真实能源成本_A_CNY,真实能源成本_B_CNY,真实能源成本_C_CNY,真实能源成本_D_CNY,真实能源成本_E_CNY,真实能源成本_F_CNY,区域违反_A_CNY,区域违反_B_CNY,区域违反_C_CNY,区域违反_D_CNY,区域违反_E_CNY,区域违反_F_CNY,新增列数,最小缺失列约化成本,根节点闭合,MIP状态,MIP目标值,当前RSS_GiB,累计分钟,主导违反区域,LP界,MIP Gap,阶段运行秒,峰值RSS_GiB,可行Latency上界_ms,Latency下界_ms,Latency相对Gap,成本上界违反_CNY
renew_down_80 Cost区域多切,1,added_region_benders_cuts_and_columns,154394,12,-428456668.02189124,-428456668.02189124,-413915189.71114177,14541478.310749471,3282879.3683837354,-458462.4269183143,-306638.35215556214,-1156765.559077328,-139307375.76313537,-138232864.32105535,-148994561.59954932,2066765.9835106046,1933139.8919090333,651578.9480806967,-136024496.39475164,-135648811.39439967,-146893366.745491,2525228.410428919,2239778.2440645956,1808344.5071580247,3282879.3683837354,2584052.92665568,2101194.8540583253,17236,-36837.70207368436,False,,,0.20744705200195312,0.3864831964174906,RegionD,-428456668.02189124,,23.186715602874756,0.17559432983398438,,,,
renew_down_80 Cost区域多切,2,added_region_benders_cuts_and_columns,171863,18,-427441000.8223058,-427441000.8223058,-415284621.14186645,12156379.680439353,3023544.537626475,-368887.48622446466,-351089.6447115753,-800558.8021251754,-140412188.14505234,-134872853.81459296,-150635422.92959926,1571394.094228158,1622941.5318348855,679439.1699339929,-137388643.60742587,-132852311.00588022,-148917441.32455802,1940281.5804526226,1974031.1765464607,1479997.9720591684,3023544.537626475,2020542.8087127358,1717981.6050412357,17469,-37081.357991922836,False,,,0.22602081298828125,0.9260642647743225,RegionD,-427441000.8223058,,55.56157970428467,0.211578369140625,,,,
renew_down_80 Cost区域多切,3,added_region_benders_cuts_and_columns,190429,24,-432408780.72962165,-432408780.72962165,-420660764.576997,11748016.152624667,3428263.4608831406,-405311.5606841458,-358911.7543959515,-873983.5692963789,-141113435.29353553,-138373683.4312185,-151283455.12049112,1418597.8021459812,1134732.1531171566,331882.5411666053,-137685171.8326524,-136238079.94133422,-149622725.29944065,1823909.3628301271,1493643.907513108,1205866.110462984,3428263.4608831406,2135603.489884287,1660729.821050465,18566,-34015.72483806993,False,,,0.24181747436523438,1.8089471459388733,RegionD,-432408780.72962165,,108.53455257415771,0.23048782348632812,,,,
renew_down_80 Cost区域多切,4,added_region_benders_cuts_and_columns,208593,30,-436097904.0352572,-436097904.0352572,-425096345.4623671,11001558.572890103,3582343.36177364,-496002.17008660035,-377373.76707826444,-512616.95484015864,-141188513.60528103,-140126785.61467883,-153396611.92329237,1288524.5393428842,1108463.4417219216,554789.230243087,-137606170.2435074,-138473131.8263995,-151968820.6037695,1784526.7094294846,1485837.208800186,1067406.1850832456,3582343.36177364,1653653.7882793248,1427791.3195228577,18164,-31541.41689912748,False,,,0.2506446838378906,3.080572255452474,RegionD,-436097904.0352572,,184.83205914497375,0.2464752197265625,,,,
renew_down_80 Cost区域多切,5,added_region_benders_cuts_and_columns,226417,36,-439103275.03475803,-439103275.03475803,-429503152.18640935,9600122.848348677,3008853.433604777,-411612.0855421998,-357736.45625961287,-549465.1927933545,-140705113.88647395,-143171655.98112616,-153907691.43256277,1203391.871144151,914650.3669215995,428532.16597780254,-137696260.45286918,-141777296.33303893,-152576169.8045459,1615003.956686351,1272386.8231812124,977997.358771157,3008853.433604777,1394359.6480872333,1331521.6280168593,17824,-29977.171241850094,False,,,0.2616729736328125,5.45415422519048,RegionD,-439103275.03475803,,327.24697732925415,0.2568206787109375,,,,
renew_down_80 Cost区域多切,6,added_region_benders_cuts_and_columns,243952,42,-440498748.96934545,-440498748.96934545,-431058006.99613136,9440741.97321409,2889610.7241372466,-425867.9611062199,-334923.8747457295,-572870.9774070974,-140748838.66442323,-144071390.96104604,-154344856.5306171,1189294.7500910116,1025294.0480293778,355006.16911049024,-137859227.94028598,-142706323.06657204,-153062050.95650524,1615162.7111972314,1360217.9227751074,927877.1465175876,2889610.7241372466,1365067.8944739997,1282805.574111849,17535,-29728.08613301038,False,,,0.27008819580078125,10.05045864979426,RegionD,-440498748.96934545,,603.025242805481,0.2690467834472656,,,,
renew_down_80 Cost区域多切,7,added_region_benders_cuts_and_columns,261715,48,-442906321.01348066,-442906321.01348066,-433733588.9845298,9172732.02895087,2983400.9811312854,-467714.34433977015,-360283.2690041036,-464707.9590420369,-141632329.47167426,-144410656.97566745,-155570628.99375308,1007313.4477239321,856520.4278197779,488235.68484368955,-138648928.49054298,-143060105.8374336,-154376624.2169419,1475027.7920637024,1216803.6968238815,952943.6438857265,2983400.9811312854,1350551.1382338405,1194004.7768111825,17763,-29051.391161506144,False,,,0.2773590087890625,16.811921576658886,RegionD,-442906321.01348066,,1008.7130184173584,0.2781562805175781,,,,
renew_down_80 Cost区域多切,8,added_region_benders_cuts_and_columns,279901,54,-445605714.4933827,-445605714.4933827,-437072981.2009533,8532733.292429388,2447022.4879182577,-538781.8677010167,-368617.94566324627,-469898.5041622331,-141698916.2510816,-146039011.1918243,-156490488.7329503,993182.7609876781,860642.0078158835,452559.81878008845,-139251893.76316333,-144775167.61794084,-155352304.40743408,1531964.628688695,1229259.9534791298,922458.3229423215,2447022.4879182577,1263843.573883444,1138184.325516224,18186,-28684.655157604644,False,,,0.2838287353515625,22.639344131946565,RegionD,-445605714.4933827,,1358.3583717346191,0.284637451171875,,,,
renew_down_80 Cost区域多切,9,added_region_benders_cuts_and_columns,299384,60,-448411355.86586416,-448411355.86586416,-439891789.74525315,8519566.120611012,2386004.533209741,-584654.7215937814,-390675.9524179888,-411761.06922017207,-142550248.08024058,-147661378.78459552,-156812637.2577961,962078.830433756,673840.6203691068,610995.0312120894,-140164243.54703084,-146439724.9054735,-155534735.77476552,1546733.5520275375,1064516.5727870956,1022756.1004322614,2386004.533209741,1221653.8791220188,1277901.4830305874,19483,-29543.78131102444,False,,,0.2903289794921875,29.564806127548216,RegionD,-448411355.86586416,,1773.8860914707184,0.29193115234375,,,,
renew_down_80 Cost区域多切,10,added_region_benders_cuts_and_columns,318951,66,-450579022.2796489,-450579022.2796489,-441493133.9307122,9085888.348936677,2566425.7425557077,-593836.9024513256,-413453.4938536299,-796011.024827199,-142850677.81899074,-148856002.38117543,-157069040.65835062,1119790.801598913,739288.878093754,316395.57867353095,-140284252.07643503,-147493120.91990316,-155891236.1927417,1713627.7040502387,1152742.371947384,1112406.60350073,2566425.7425557077,1362881.4612722695,1177804.4656089246,19567,-25554.31263191715,False,,,0.2868156433105469,39.088922460873924,RegionD,-450579022.2796489,,2345.3330714702606,0.299407958984375,,,,
renew_down_80 Cost区域多切,11,added_region_benders_cuts_and_columns,338527,72,-451782217.7839438,-451782217.7839438,-442654310.83741635,9127906.946527421,2661020.0438726842,-677534.3957608825,-426807.3842904146,-541624.4958054175,-143212890.52887085,-149500704.30275834,-157422656.67645788,964805.4304574138,725160.5344619338,630900.1428718194,-140551870.48499817,-148211576.73470137,-156211729.72550958,1642339.8262182963,1151967.9187523483,1172524.638677237,2661020.0438726842,1289127.5680569708,1210926.950948298,19576,-23290.70698765627,False,,,0.2923622131347656,53.78742500543594,RegionD,-451782217.7839438,,3227.243224143982,0.299407958984375,,,,
