TaskID,任务类型,源区域,目标区域,到达小时,开工小时,完成小时,等待_h,时延_ms,是否迁移
1,AITraining,RegionD,RegionA,456,456,460.6666666666667,0.0,65.0,True
2,RealTimeInference,RegionB,RegionB,1126,1126,1129.3,0.0,5.0,False
3,RealTimeInference,RegionB,RegionA,914,914,917.7333333333333,0.0,12.0,True
4,RealTimeInference,RegionC,RegionB,419,419,420.6166666666667,0.0,14.0,True
5,AITraining,RegionF,RegionA,2233,2233,2235.6833333333334,0.0,82.0,True
6,RealTimeInference,RegionA,RegionC,1728,1728,1733.3,0.0,15.0,True
7,RealTimeInference,RegionA,RegionC,122,122,127.05,0.0,15.0,True
8,RealTimeInference,RegionA,RegionA,895,895,899.7666666666667,0.0,5.0,False
9,RealTimeInference,RegionB,RegionB,2069,2069,2074.383333333333,0.0,5.0,False
10,AITraining,RegionE,RegionC,108,108,112.08333333333333,0.0,70.0,True
11,AITraining,RegionF,RegionC,814,814,815.1333333333333,0.0,76.0,True
12,AITraining,RegionF,RegionB,2232,2232,2235.2833333333333,0.0,79.0,True
13,BatchInference,RegionA,RegionA,902,902,905.3166666666667,0.0,5.0,False
14,BatchInference,RegionB,RegionB,1139,1139,1140.0,0.0,5.0,False
15,RealTimeInference,RegionB,RegionB,653,653,657.2166666666667,0.0,5.0,False
16,AITraining,RegionE,RegionC,1731,1731,1733.3333333333333,0.0,70.0,True
17,BatchInference,RegionD,RegionD,1138,1138,1140.4,0.0,5.0,False
18,RealTimeInference,RegionC,RegionB,881,881,883.9333333333333,0.0,14.0,True
19,BatchInference,RegionA,RegionB,418,418,419.6333333333333,0.0,12.0,True
20,RealTimeInference,RegionA,RegionA,1556,1556,1560.1833333333334,0.0,5.0,False
21,RealTimeInference,RegionA,RegionC,1470,1470,1475.9166666666667,0.0,15.0,True
22,BatchInference,RegionC,RegionB,1083,1083,1084.6833333333334,0.0,14.0,True
23,RealTimeInference,RegionB,RegionA,1881,1881,1885.55,0.0,12.0,True
24,AITraining,RegionF,RegionE,511,511,514.5833333333334,0.0,18.0,True
25,BatchInference,RegionF,RegionE,322,322,322.98333333333335,0.0,18.0,True
26,AITraining,RegionB,RegionB,1200,1200,1206.65,0.0,5.0,False
27,AITraining,RegionD,RegionD,1481,1481,1485.4833333333333,0.0,5.0,False
28,AITraining,RegionD,RegionD,787,787,790.3333333333334,0.0,5.0,False
29,AITraining,RegionE,RegionA,284,284,286.85,0.0,78.0,True
30,RealTimeInference,RegionC,RegionC,933,933,937.65,0.0,5.0,False
31,BatchInference,RegionE,RegionA,326,326,329.73333333333335,0.0,78.0,True
32,RealTimeInference,RegionA,RegionB,413,413,418.0833333333333,0.0,12.0,True
33,BatchInference,RegionA,RegionA,1138,1138,1143.7833333333333,0.0,5.0,False
34,BatchInference,RegionB,RegionB,1494,1494,1498.8166666666666,0.0,5.0,False
35,RealTimeInference,RegionB,RegionA,1516,1516,1520.35,0.0,12.0,True
36,BatchInference,RegionD,RegionD,858,858,860.7666666666667,0.0,5.0,False
37,AITraining,RegionF,RegionF,1093,1093,1094.2333333333333,0.0,5.0,False
38,AITraining,RegionF,RegionF,292,292,297.8833333333333,0.0,5.0,False
39,AITraining,RegionB,RegionA,700,700,702.4166666666666,0.0,12.0,True
40,AITraining,RegionD,RegionD,1002,1002,1003.5,0.0,5.0,False
41,RealTimeInference,RegionB,RegionB,1893,1893,1897.9666666666667,0.0,5.0,False
42,BatchInference,RegionC,RegionC,1105,1124,1124.8333333333333,19.0,5.0,False
43,AITraining,RegionE,RegionE,2281,2284,2287.5,3.0,5.0,False
44,RealTimeInference,RegionC,RegionB,1328,1328,1328.7,0.0,14.0,True
45,RealTimeInference,RegionF,RegionE,938,938,939.1833333333333,0.0,18.0,True
46,RealTimeInference,RegionA,RegionA,1292,1292,1298.15,0.0,5.0,False
47,BatchInference,RegionB,RegionA,1096,1096,1099.9333333333334,0.0,12.0,True
48,RealTimeInference,RegionB,RegionB,864,864,866.3333333333334,0.0,5.0,False
49,AITraining,RegionE,RegionA,1288,1288,1291.7833333333333,0.0,78.0,True
50,RealTimeInference,RegionC,RegionA,2044,2044,2050.133333333333,0.0,15.0,True
51,BatchInference,RegionF,RegionF,1879,1879,1879.4,0.0,5.0,False
52,RealTimeInference,RegionA,RegionB,1084,1084,1090.4833333333333,0.0,12.0,True
53,RealTimeInference,RegionA,RegionA,1010,1010,1011.2,0.0,5.0,False
54,AITraining,RegionD,RegionD,2299,2299,2303.1666666666665,0.0,5.0,False
55,AITraining,RegionE,RegionC,1076,1076,1077.75,0.0,70.0,True
56,AITraining,RegionE,RegionB,2394,2394,2398.0,0.0,74.0,True
57,BatchInference,RegionE,RegionF,2390,2390,2393.0,0.0,18.0,True
58,BatchInference,RegionF,RegionD,1482,1482,1484.8166666666666,0.0,25.0,True
59,RealTimeInference,RegionA,RegionA,566,566,570.2,0.0,5.0,False
60,AITraining,RegionD,RegionB,2021,2021,2022.25,0.0,60.0,True
61,RealTimeInference,RegionB,RegionA,192,192,193.18333333333334,0.0,12.0,True
62,RealTimeInference,RegionB,RegionC,626,626,630.8833333333333,0.0,14.0,True
63,AITraining,RegionE,RegionF,655,655,655.8833333333333,0.0,18.0,True
64,AITraining,RegionF,RegionA,1729,1729,1734.6666666666667,0.0,82.0,True
65,AITraining,RegionA,RegionA,260,260,264.0,0.0,5.0,False
66,BatchInference,RegionA,RegionA,1563,1563,1569.4333333333334,0.0,5.0,False
67,AITraining,RegionD,RegionE,1917,1917,1919.1666666666667,0.0,22.0,True
68,AITraining,RegionD,RegionD,1029,1029,1033.4666666666667,0.0,5.0,False
69,AITraining,RegionE,RegionA,47,47,49.43333333333333,0.0,78.0,True
70,AITraining,RegionF,RegionC,469,469,472.9,0.0,76.0,True
71,AITraining,RegionF,RegionA,2199,2199,2202.016666666667,0.0,82.0,True
72,BatchInference,RegionA,RegionC,1393,1393,1399.3833333333334,0.0,15.0,True
73,RealTimeInference,RegionA,RegionB,1202,1202,1204.0333333333333,0.0,12.0,True
74,BatchInference,RegionC,RegionC,647,647,648.0166666666667,0.0,5.0,False
75,BatchInference,RegionD,RegionD,13,13,19.583333333333332,0.0,5.0,False
76,AITraining,RegionE,RegionD,1078,1078,1080.0333333333333,0.0,22.0,True
77,AITraining,RegionF,RegionF,731,731,734.2666666666667,0.0,5.0,False
78,AITraining,RegionA,RegionA,435,435,438.81666666666666,0.0,5.0,False
79,AITraining,RegionD,RegionD,1222,1222,1225.8833333333334,0.0,5.0,False
80,AITraining,RegionD,RegionC,2079,2079,2081.25,0.0,58.0,True
81,AITraining,RegionD,RegionC,814,814,817.0166666666667,0.0,58.0,True
82,RealTimeInference,RegionB,RegionB,1531,1531,1534.45,0.0,5.0,False
83,RealTimeInference,RegionC,RegionC,2209,2209,2212.5333333333333,0.0,5.0,False
84,AITraining,RegionF,RegionA,2,3,7.4,1.0,82.0,True
85,AITraining,RegionB,RegionB,1327,1327,1332.5666666666666,0.0,5.0,False
86,BatchInference,RegionB,RegionA,79,79,82.45,0.0,12.0,True
87,RealTimeInference,RegionB,RegionB,1486,1486,1490.15,0.0,5.0,False
88,BatchInference,RegionC,RegionB,980,980,983.5,0.0,14.0,True
89,RealTimeInference,RegionC,RegionA,986,986,991.5833333333334,0.0,15.0,True
90,AITraining,RegionF,RegionE,322,322,324.6166666666667,0.0,18.0,True
91,RealTimeInference,RegionF,RegionE,1990,1990,1995.9166666666667,0.0,18.0,True
92,RealTimeInference,RegionA,RegionA,2181,2181,2183.616666666667,0.0,5.0,False
93,RealTimeInference,RegionA,RegionA,525,525,527.2833333333333,0.0,5.0,False
94,AITraining,RegionD,RegionA,1946,1946,1952.15,0.0,65.0,True
95,AITraining,RegionE,RegionA,676,676,678.6666666666666,0.0,78.0,True
96,BatchInference,RegionE,RegionA,2161,2161,2165.5333333333333,0.0,78.0,True
97,AITraining,RegionF,RegionC,1733,1733,1735.0166666666667,0.0,76.0,True
98,RealTimeInference,RegionA,RegionA,2208,2208,2214.3,0.0,5.0,False
99,AITraining,RegionD,RegionE,823,823,827.3833333333333,0.0,22.0,True
100,AITraining,RegionD,RegionA,1276,1292,1292.7666666666667,16.0,65.0,True
101,BatchInference,RegionC,RegionC,1529,1529,1530.8,0.0,5.0,False
102,BatchInference,RegionD,RegionC,2119,2119,2122.616666666667,0.0,58.0,True
103,BatchInference,RegionE,RegionE,495,495,497.68333333333334,0.0,5.0,False
104,RealTimeInference,RegionF,RegionF,920,920,922.0833333333334,0.0,5.0,False
105,RealTimeInference,RegionA,RegionA,1384,1384,1385.8833333333334,0.0,5.0,False
106,RealTimeInference,RegionA,RegionB,2268,2268,2269.8,0.0,12.0,True
107,RealTimeInference,RegionB,RegionA,902,902,908.55,0.0,12.0,True
108,RealTimeInference,RegionB,RegionB,290,290,293.3833333333333,0.0,5.0,False
109,AITraining,RegionE,RegionD,241,241,244.61666666666667,0.0,22.0,True
110,RealTimeInference,RegionC,RegionA,276,276,278.8333333333333,0.0,15.0,True
111,RealTimeInference,RegionA,RegionA,1353,1353,1357.7666666666667,0.0,5.0,False
112,RealTimeInference,RegionA,RegionB,2105,2105,2107.4,0.0,12.0,True
113,RealTimeInference,RegionB,RegionB,1140,1140,1142.2833333333333,0.0,5.0,False
114,AITraining,RegionE,RegionB,1988,1988,1994.3333333333333,0.0,74.0,True
115,RealTimeInference,RegionC,RegionC,2208,2208,2212.116666666667,0.0,5.0,False
116,RealTimeInference,RegionC,RegionA,2338,2338,2341.983333333333,0.0,15.0,True
117,AITraining,RegionF,RegionC,1936,1936,1940.55,0.0,76.0,True
118,RealTimeInference,RegionA,RegionB,1937,1937,1940.9166666666667,0.0,12.0,True
119,BatchInference,RegionB,RegionA,779,779,785.2666666666667,0.0,12.0,True
120,RealTimeInference,RegionB,RegionA,397,397,402.43333333333334,0.0,12.0,True
121,AITraining,RegionE,RegionF,1765,1765,1765.2166666666667,0.0,18.0,True
122,BatchInference,RegionD,RegionD,1734,1734,1734.9666666666667,0.0,5.0,False
123,BatchInference,RegionE,RegionA,1912,1912,1915.8166666666666,0.0,78.0,True
124,AITraining,RegionA,RegionA,221,221,221.91666666666666,0.0,5.0,False
125,AITraining,RegionD,RegionD,403,403,409.48333333333335,0.0,5.0,False
126,RealTimeInference,RegionA,RegionA,1649,1649,1653.8166666666666,0.0,5.0,False
127,AITraining,RegionD,RegionA,1389,1389,1392.1666666666667,0.0,65.0,True
128,RealTimeInference,RegionB,RegionC,1018,1018,1020.0833333333334,0.0,14.0,True
