TaskID,区域,开工小时
23,RegionA,1881
45,RegionE,938
50,RegionA,2044
59,RegionA,566
83,RegionA,2209
93,RegionA,525
128,RegionA,1018
129,RegionA,779
134,RegionA,1815
148,RegionB,777
156,RegionD,232
168,RegionA,1286
175,RegionA,300
179,RegionA,1000
202,RegionD,308
217,RegionA,734
274,RegionA,815
334,RegionA,1755
348,RegionA,1012
351,RegionA,517
389,RegionA,1453
397,RegionA,1950
436,RegionA,267
472,RegionA,1919
527,RegionA,1571
528,RegionA,2081
530,RegionD,1131
537,RegionE,1829
629,RegionA,1616
665,RegionA,868
681,RegionE,713
690,RegionA,177
732,RegionA,633
744,RegionA,743
750,RegionA,1540
825,RegionA,369
866,RegionA,563
881,RegionA,2187
893,RegionA,2113
945,RegionA,181
967,RegionA,2032
990,RegionB,517
1003,RegionA,464
1011,RegionA,502
1023,RegionB,568
1040,RegionA,1772
1053,RegionA,2058
1070,RegionA,1800
1165,RegionB,1009
1191,RegionA,410
1196,RegionA,1666
1216,RegionB,461
1256,RegionA,2310
1268,RegionA,2102
1302,RegionA,1717
1317,RegionD,1236
1318,RegionA,2135
1325,RegionA,1410
1333,RegionA,1231
1349,RegionA,1963
1370,RegionE,1068
1388,RegionA,198
1400,RegionA,2168
1408,RegionA,2156
1459,RegionA,1097
1464,RegionA,374
1520,RegionA,1034
1545,RegionB,1412
1609,RegionB,1572
1615,RegionB,2315
1648,RegionA,1685
1668,RegionA,2189
1718,RegionC,1572
1737,RegionD,1584
1768,RegionA,2033
1781,RegionB,2046
1827,RegionB,179
1828,RegionA,2128
1837,RegionA,1194
1842,RegionE,830
1855,RegionD,1342
1867,RegionA,497
1874,RegionA,809
1879,RegionA,688
1888,RegionE,1006
1892,RegionA,359
1910,RegionB,410
1959,RegionB,2032
1960,RegionD,1356
1973,RegionD,1695
1993,RegionE,1356
1999,RegionA,203
2009,RegionA,1939
2020,RegionA,1100
2070,RegionA,1383
2083,RegionB,2110
2088,RegionA,711
2090,RegionA,1021
2117,RegionB,1033
2153,RegionA,2286
2160,RegionB,1455
2191,RegionA,154
2216,RegionE,504
2237,RegionB,818
2257,RegionA,161
2286,RegionA,2149
2303,RegionA,2076
2337,RegionA,494
2341,RegionA,1697
2346,RegionA,2172
2391,RegionA,2298
2400,RegionA,1506
2409,RegionB,1755
2502,RegionA,2323
2505,RegionB,1190
2539,RegionA,2259
2583,RegionD,615
2593,RegionB,998
2599,RegionA,1057
2619,RegionA,394
2634,RegionA,1042
2654,RegionA,1692
2670,RegionA,1593
2732,RegionA,2349
2738,RegionA,830
2751,RegionA,2362
2755,RegionB,2058
2794,RegionA,882
2832,RegionA,261
2889,RegionB,2191
2911,RegionD,137
2923,RegionA,1476
2965,RegionA,1491
2986,RegionA,290
3026,RegionA,141
3041,RegionA,1049
3050,RegionA,2360
