阶段,轮次,事件,活动列数,Benders切数,LP目标值,theta_CNY,真实能源成本_CNY,Benders违反_CNY,新增列数,最小缺失列约化成本,根节点闭合,MIP状态,MIP目标值,当前RSS_GiB,累计分钟
Wait阶段,1,added_benders_cut,51260,2,377179.93075674464,-459274946.5718018,-459158619.917734,116326.65406775475,0,nan,False,,,0.22655105590820312,0.12195748885472615
Wait阶段,2,added_columns,66856,2,377179.93075674464,-459274946.5718018,-459279412.4123635,-4465.840561747551,15596,-2449.4222222222224,False,,,0.23472976684570312,0.3485686699549357
Wait阶段,3,added_columns,78374,2,32171.761845414498,-459274946.5718018,-459282779.2676364,-7832.695834636688,11518,-7819.24040665217,False,,,0.24376678466796875,0.5809990564982096
Wait阶段,4,added_benders_cut,78374,3,0.0,-459274946.5718018,-458812954.1032867,461992.4685150981,0,nan,False,,,0.2506446838378906,0.6234104633331299
Wait阶段,5,root_lp_closed,78374,3,0.0,-459274946.5718018,-459293336.4839491,-18389.91214734316,0,0.0,True,,,0.24991226196289062,0.8629262208938598
Wait阶段,5,integer_added_benders_cut,78374,3,0.0,-459274946.5718018,-458928019.5437649,346927.0280368924,0,0.0,False,需要继续,32.0,0.24991226196289062,0.8629262208938598
Wait阶段,6,root_lp_closed,78374,4,0.0,-459274946.5718018,-459318895.9845293,-43949.41272753477,0,0.0,True,,,0.25469207763671875,1.1654823541641235
Wait阶段,6,integer_added_benders_cut,78374,4,0.0,-459274946.5718018,-459101402.6927126,173543.87908917665,0,0.0,False,需要继续,32.0,0.25469207763671875,1.1654823541641235
Wait阶段,7,root_lp_closed,78374,5,0.0,-459274946.5718018,-459317617.2037793,-42670.63197749853,0,0.0,True,,,0.25858306884765625,1.4772984226544699
Wait阶段,7,integer_added_benders_cut,78374,5,0.0,-459274946.5718018,-459192358.6013056,82587.97049617767,0,0.0,False,需要继续,32.0,0.25858306884765625,1.4772984226544699
Wait阶段,8,root_lp_closed,78374,6,0.0,-459274946.5718018,-459319257.22202927,-44310.65022748709,0,0.0,True,,,0.2629661560058594,1.7928744157155354
Wait阶段,8,integer_added_benders_cut,78374,6,0.0,-459274946.5718018,-459208858.9684154,66087.60338640213,0,0.0,False,需要继续,32.0,0.2629661560058594,1.7928744157155354
Wait阶段,9,root_lp_closed,78374,7,0.0,-459274946.5718018,-459314696.222221,-39749.65041923523,0,0.0,True,,,0.2659912109375,2.1156039357185366
Wait阶段,9,integer_added_benders_cut,78374,7,0.0,-459274946.5718018,-459252524.247114,22422.32468777895,0,0.0,False,需要继续,32.0,0.2659912109375,2.1156039357185366
Wait阶段,10,root_lp_closed,78374,8,0.0,-459274946.5718018,-459314207.47789186,-39260.90609008074,0,0.0,True,,,0.2671012878417969,2.474017278353373
Wait阶段,10,stage_completed,78374,8,0.0,-459274946.5718018,-459296979.9676702,-22033.3958684206,0,0.0,True,restricted_mip_completed,32.0,0.2671012878417969,2.474017278353373
Latency阶段,1,added_benders_cut,78374,9,1330745.1328485967,-459274946.5718018,-458887303.04206693,387643.52973484993,0,nan,False,,,0.3256721496582031,2.6213143467903137
Latency阶段,2,added_benders_cut,78374,10,1331061.7270542332,-459274946.5718018,-458931646.19666207,343300.3751397133,0,nan,False,,,0.3268013000488281,2.6837097644805907
Latency阶段,3,added_benders_cut,78374,11,1331225.7897273444,-459274946.5718018,-459035431.16037476,239515.41142702103,0,nan,False,,,0.3290290832519531,2.7473658442497255
Latency阶段,4,added_benders_cut,78374,12,1331300.020829869,-459274946.5718018,-459054422.05441725,220524.5173845291,0,nan,False,,,0.33057403564453125,2.8144681255022683
Latency阶段,5,added_benders_cut,78374,13,1331334.9075192332,-459274946.5718018,-459123695.7433765,151250.8284252882,0,nan,False,,,0.333282470703125,2.8850226442019147
Latency阶段,6,added_benders_cut,78374,14,1331351.7499426054,-459274946.5718018,-459157829.6170439,117116.95475786924,0,nan,False,,,0.27762603759765625,2.957453016440074
Latency阶段,7,added_benders_cut,78374,15,1331367.374593055,-459274946.5718018,-459171231.3204798,103715.25132197142,0,nan,False,,,0.336669921875,3.032554928461711
Latency阶段,8,added_benders_cut,78374,16,1331371.4498161762,-459274946.5718018,-459171241.04923207,103705.52256971598,0,nan,False,,,0.3398399353027344,3.1115520278612774
Latency阶段,9,added_benders_cut,78374,17,1331372.279057267,-459274946.5718018,-459153698.5222241,121248.04957765341,0,nan,False,,,0.33809661865234375,3.193026045958201
Latency阶段,10,added_benders_cut,78374,18,1331376.2992490423,-459274946.5718018,-459181964.1547845,92982.41701728106,0,nan,False,,,0.3419761657714844,3.277102891604106
Latency阶段,11,added_benders_cut,78374,19,1331378.2640776355,-459274946.5718018,-459170430.3089423,104516.26285946369,0,nan,False,,,0.34149169921875,3.3668421109517417
Latency阶段,12,added_benders_cut,78374,20,1331380.1781303927,-459274946.5718018,-459178112.67678034,96833.8950214386,0,nan,False,,,0.3412742614746094,3.4607748866081236
Latency阶段,13,added_benders_cut,78374,21,1331383.0746568907,-459274946.5718018,-459174440.1311636,100506.44063818455,0,nan,False,,,0.3408699035644531,3.5527316013971966
Latency阶段,14,added_benders_cut,78374,22,1331384.220244976,-459274946.5718018,-459187298.9446969,87647.62710487843,0,nan,False,,,0.3460655212402344,3.6478532115618387
Latency阶段,15,added_benders_cut,78374,23,1331389.1499782368,-459274946.5718018,-459186296.69377863,88649.87802314758,0,nan,False,,,0.34521484375,3.745186682542165
Latency阶段,16,added_benders_cut,78374,24,1331392.2501824007,-459274946.5718018,-459199551.97600234,75394.5957994461,0,nan,False,,,0.343719482421875,3.846263579527537
Latency阶段,17,added_benders_cut,78374,25,1331393.335459553,-459274946.5718018,-459208890.9201536,66055.6516481638,0,nan,False,,,0.3434638977050781,3.9498628258705137
Latency阶段,18,added_benders_cut,78374,26,1331394.1842346576,-459274946.5718018,-459205470.66540116,69475.90640062094,0,nan,False,,,0.34049224853515625,4.056014466285705
Latency阶段,19,added_benders_cut,78374,27,1331395.6571061192,-459274946.5718018,-459226809.0838343,48137.48796749115,0,nan,False,,,0.34252166748046875,4.1641128897666935
Latency阶段,20,added_benders_cut,78374,28,1331396.1651387867,-459274946.5718018,-459209553.55137366,65393.02042812109,0,nan,False,,,0.3456840515136719,4.275791009267171
Latency阶段,21,added_benders_cut,78374,29,1331397.265126568,-459274946.5718018,-459212116.1406887,62830.43111306429,0,nan,False,,,0.3454322814941406,4.38982496658961
Latency阶段,22,added_benders_cut,78374,30,1331398.6418096307,-459274946.5718018,-459218895.9630852,56050.608716607094,0,nan,False,,,0.3481559753417969,4.508086780707042
Latency阶段,23,added_benders_cut,78374,31,1331399.7089838402,-459274946.5718018,-459214119.81891423,60826.752887547016,0,nan,False,,,0.3484306335449219,4.629428736368815
Latency阶段,24,added_benders_cut,78374,32,1331405.117313276,-459274946.5718018,-459222472.02131474,52474.55048704147,0,nan,False,,,0.3502464294433594,4.751234745979309
Latency阶段,25,added_benders_cut,78374,33,1331411.7906784504,-459274946.5718018,-459189021.1736503,85925.39815145731,0,nan,False,,,0.3484840393066406,4.875414141019186
Latency阶段,26,added_benders_cut,78374,34,1331414.5849906094,-459274946.5718018,-459226430.9114,48515.66040176153,0,nan,False,,,0.3467521667480469,5.002149407068888
Latency阶段,27,added_benders_cut,78374,35,1331417.5627546224,-459274946.5718018,-459218557.2183941,56389.35340768099,0,nan,False,,,0.3458709716796875,5.132558230559031
Latency阶段,28,added_benders_cut,78374,36,1331419.552734345,-459274946.5718018,-459225823.73575526,49122.836046516895,0,nan,False,,,0.3475456237792969,5.265294798215231
Latency阶段,29,added_benders_cut,78374,37,1331421.1962439285,-459274946.5718018,-459229108.02603775,45838.545764029026,0,nan,False,,,0.28534698486328125,5.400631395975749
Latency阶段,30,added_benders_cut,78374,38,1331423.0298544113,-459274946.5718018,-459232158.3302784,42788.24152338505,0,nan,False,,,0.3550529479980469,5.539956891536713
Latency阶段,31,added_benders_cut,78374,39,1331424.4033022355,-459274946.5718018,-459225954.9531318,48991.618669986725,0,nan,False,,,0.352752685546875,5.683586315313975
