TaskID,任务类型,源区域,目标区域,到达小时,开工小时,等待_h,时延_ms,是否迁移
23,RealTimeInference,RegionB,RegionA,1881,1881,0.0,12.0,True
50,RealTimeInference,RegionC,RegionA,2044,2044,0.0,15.0,True
59,RealTimeInference,RegionA,RegionA,566,566,0.0,5.0,False
83,RealTimeInference,RegionC,RegionA,2209,2209,0.0,15.0,True
93,RealTimeInference,RegionA,RegionA,525,525,0.0,5.0,False
128,RealTimeInference,RegionB,RegionA,1018,1018,0.0,12.0,True
129,RealTimeInference,RegionC,RegionA,779,779,0.0,15.0,True
134,RealTimeInference,RegionB,RegionA,1815,1815,0.0,12.0,True
148,RealTimeInference,RegionC,RegionB,777,777,0.0,14.0,True
156,RealTimeInference,RegionD,RegionD,232,232,0.0,5.0,False
168,RealTimeInference,RegionC,RegionA,1286,1286,0.0,15.0,True
175,RealTimeInference,RegionC,RegionA,300,300,0.0,15.0,True
179,RealTimeInference,RegionB,RegionA,1000,1000,0.0,12.0,True
202,RealTimeInference,RegionD,RegionD,308,308,0.0,5.0,False
217,RealTimeInference,RegionA,RegionA,734,734,0.0,5.0,False
274,RealTimeInference,RegionC,RegionA,815,815,0.0,15.0,True
334,RealTimeInference,RegionA,RegionA,1755,1755,0.0,5.0,False
348,RealTimeInference,RegionA,RegionA,1012,1012,0.0,5.0,False
351,RealTimeInference,RegionB,RegionA,517,517,0.0,12.0,True
389,RealTimeInference,RegionB,RegionA,1453,1453,0.0,12.0,True
397,RealTimeInference,RegionB,RegionA,1950,1950,0.0,12.0,True
436,RealTimeInference,RegionB,RegionA,267,267,0.0,12.0,True
472,RealTimeInference,RegionA,RegionA,1919,1919,0.0,5.0,False
527,RealTimeInference,RegionB,RegionA,1571,1571,0.0,12.0,True
528,RealTimeInference,RegionB,RegionA,2081,2081,0.0,12.0,True
530,RealTimeInference,RegionD,RegionD,1131,1131,0.0,5.0,False
537,RealTimeInference,RegionF,RegionE,1829,1829,0.0,18.0,True
629,RealTimeInference,RegionA,RegionA,1616,1616,0.0,5.0,False
665,RealTimeInference,RegionB,RegionA,868,868,0.0,12.0,True
681,RealTimeInference,RegionE,RegionE,713,713,0.0,5.0,False
690,RealTimeInference,RegionA,RegionA,177,177,0.0,5.0,False
732,RealTimeInference,RegionC,RegionA,633,633,0.0,15.0,True
744,RealTimeInference,RegionB,RegionA,743,743,0.0,12.0,True
750,RealTimeInference,RegionB,RegionA,1540,1540,0.0,12.0,True
825,RealTimeInference,RegionC,RegionA,369,369,0.0,15.0,True
866,RealTimeInference,RegionA,RegionA,563,563,0.0,5.0,False
881,RealTimeInference,RegionB,RegionA,2187,2187,0.0,12.0,True
893,RealTimeInference,RegionA,RegionA,2113,2113,0.0,5.0,False
945,RealTimeInference,RegionA,RegionA,181,181,0.0,5.0,False
967,RealTimeInference,RegionB,RegionA,2032,2032,0.0,12.0,True
990,RealTimeInference,RegionA,RegionB,517,517,0.0,12.0,True
1003,RealTimeInference,RegionA,RegionA,464,464,0.0,5.0,False
1011,RealTimeInference,RegionA,RegionA,502,502,0.0,5.0,False
1023,RealTimeInference,RegionA,RegionB,568,568,0.0,12.0,True
1040,RealTimeInference,RegionC,RegionA,1772,1772,0.0,15.0,True
1053,RealTimeInference,RegionC,RegionA,2058,2058,0.0,15.0,True
1070,RealTimeInference,RegionA,RegionA,1800,1800,0.0,5.0,False
1165,RealTimeInference,RegionC,RegionB,1009,1009,0.0,14.0,True
1191,RealTimeInference,RegionC,RegionA,410,410,0.0,15.0,True
1196,RealTimeInference,RegionB,RegionA,1666,1666,0.0,12.0,True
1216,RealTimeInference,RegionB,RegionB,461,461,0.0,5.0,False
1256,RealTimeInference,RegionB,RegionA,2310,2310,0.0,12.0,True
1268,RealTimeInference,RegionB,RegionA,2102,2102,0.0,12.0,True
1302,RealTimeInference,RegionB,RegionA,1717,1717,0.0,12.0,True
1317,RealTimeInference,RegionD,RegionD,1236,1236,0.0,5.0,False
1318,RealTimeInference,RegionA,RegionA,2135,2135,0.0,5.0,False
1325,RealTimeInference,RegionA,RegionA,1410,1410,0.0,5.0,False
1333,RealTimeInference,RegionA,RegionA,1231,1231,0.0,5.0,False
1349,RealTimeInference,RegionC,RegionA,1963,1963,0.0,15.0,True
1370,RealTimeInference,RegionF,RegionE,1068,1068,0.0,18.0,True
1388,RealTimeInference,RegionC,RegionA,198,198,0.0,15.0,True
1400,RealTimeInference,RegionB,RegionA,2168,2168,0.0,12.0,True
1408,RealTimeInference,RegionC,RegionA,2156,2156,0.0,15.0,True
