轮次,活动列数,Benders切数,LP最小缺失列约化成本,LP最大区域违反_CNY,restricted_MIP_Latency_ms,真实能源成本_CNY,成本上界违反_CNY,RegionE违反_CNY,RegionF违反_CNY,可行Latency上界_ms,Latency下界_ms,Latency相对Gap,事件
181,137139,925,0.0,2.980232238769531e-07,250152.0,-459224829.07541037,50117.496391415596,10971.466109633446,39155.457014501095,924704.0,250152.0,0.7294788386337682,integer_added_region_benders_cuts
182,137139,927,0.0,2.980232238769531e-07,250152.0,-459215975.894302,58970.67749977112,13004.137639135122,46189.157937169075,924704.0,250151.99999999884,0.7294788386337695,integer_added_region_benders_cuts
183,137139,929,0.0,1.7881393432617188e-07,250152.0,-459234697.50912917,40249.06267261505,12430.698660254478,27994.39982932806,924704.0,250152.00000000038,0.7294788386337678,integer_added_region_benders_cuts
184,137139,931,0.0,2.980232238769531e-07,250153.0,-459239727.80035263,35218.771449148655,1222.2590251266956,34256.2470523119,924704.0,250153.0,0.7294777572066304,integer_added_region_benders_cuts
185,137139,933,0.0,2.980232238769531e-07,250156.0,-459230798.9898161,44147.58198565245,17173.15301641822,27541.90994361043,924704.0,250155.99999993554,0.7294745129252869,integer_added_region_benders_cuts
186,137139,934,0.0,2.980232238769531e-07,250156.0,-459242717.18362176,32229.38818001747,3.5762786865234375e-07,34099.48050776124,924704.0,250155.99999999983,0.7294745129252174,integer_added_region_benders_cuts
187,137139,936,0.0,2.980232238769531e-07,250156.0,-459249774.76243126,25171.80937051773,9924.842784404755,15561.033457487822,924704.0,250155.9999999991,0.7294745129252181,integer_added_region_benders_cuts
188,137139,938,0.0,2.980232238769531e-07,250156.0,-459241622.0920672,33324.47973459959,12605.710771799088,22570.706753104925,924704.0,250155.99999998527,0.729474512925233,integer_added_region_benders_cuts
189,137139,940,0.0,2.086162567138672e-07,250156.0,-459242077.5781224,32868.99367940426,5521.763176679611,27347.230501383543,924704.0,250156.0,0.7294745129252171,integer_added_region_benders_cuts
190,137139,942,0.0,2.980232238769531e-07,250156.0,-459265395.2158097,9551.355992078781,5809.446043074131,4284.4026646614075,924704.0,250155.99999999988,0.7294745129252173,integer_added_region_benders_cuts
192,137139,942,0.0,2.980232238769531e-07,250163.0,-459275918.6237629,0.0,0.0,0.0,250163.0,250162.99999999691,1.233198366030857e-14,stage_completed
352,137139,307,0.0,2.682209014892578e-07,250163.0,-459275918.6237629,0.0,0.0,0.0,250163.0,250162.99999999691,1.233198366030857e-14,stage_completed
