X_求解轮次,Y_当次误差超容差数量级,Y_历史最优误差超容差数量级,Y_收敛基准
1,7.500722495097794,7.500722495097794,0.0
2,7.354160851726448,7.354160851726448,0.0
3,7.247480206697478,7.247480206697478,0.0
4,6.865397657921908,6.865397657921908,0.0
5,6.108092099325253,6.108092099325253,0.0
6,6.004037605970167,6.004037605970167,0.0
7,6.005094056799647,6.004037605970167,0.0
8,5.519030753963655,5.519030753963655,0.0
9,5.809598747556839,5.519030753963655,0.0
10,6.24598450131065,5.519030753963655,0.0
11,5.676202247670844,5.519030753963655,0.0
12,6.009790560178848,5.519030753963655,0.0
13,5.95424055642491,5.519030753963655,0.0
14,5.967743553079134,5.519030753963655,0.0
15,5.601394297011669,5.519030753963655,0.0
16,5.834115308779427,5.519030753963655,0.0
17,5.811638483273013,5.519030753963655,0.0
18,6.049754276184189,5.519030753963655,0.0
19,5.614223855740746,5.519030753963655,0.0
20,5.510608487629003,5.510608487629003,0.0
21,3.6017863454574277,3.6017863454574277,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
