X_求解轮次,Y_当次误差超容差数量级,Y_历史最优误差超容差数量级,Y_收敛基准
57,8.320843472661233,8.320843472661233,0.0
64,9.018866317623772,8.320843472661233,0.0
85,8.211392644601963,8.211392644601963,0.0
103,7.920479281581323,7.920479281581323,0.0
107,8.35923027149135,7.920479281581323,0.0
117,8.094391084824318,7.920479281581323,0.0
120,8.480158452465343,7.920479281581323,0.0
125,8.161201815019462,7.920479281581323,0.0
137,7.745889793219933,7.745889793219933,0.0
141,8.004611827793687,7.745889793219933,0.0
145,8.049069539585824,7.745889793219933,0.0
148,7.874655470329599,7.745889793219933,0.0
150,8.343145759036616,7.745889793219933,0.0
152,7.45395039119735,7.45395039119735,0.0
154,7.817966222636725,7.45395039119735,0.0
157,7.5540580865554405,7.45395039119735,0.0
158,7.838621699724633,7.45395039119735,0.0
163,7.773400970512724,7.45395039119735,0.0
171,7.298891593459573,7.298891593459573,0.0
177,6.9276832472316885,6.9276832472316885,0.0
178,6.40077798096639,6.40077798096639,0.0
183,6.509567172879495,6.40077798096639,0.0
184,7.045175799425745,6.40077798096639,0.0
185,8.325812201939948,6.40077798096639,0.0
186,6.333176849087017,6.333176849087017,0.0
187,7.888002111810048,6.333176849087017,0.0
188,8.393289053635701,6.333176849087017,0.0
191,7.994037900284131,6.333176849087017,0.0
193,7.921234791529843,6.333176849087017,0.0
194,7.88316949913726,6.333176849087017,0.0
196,7.7145054424788375,6.333176849087017,0.0
197,6.967527032503831,6.333176849087017,0.0
198,7.929617645740818,6.333176849087017,0.0
203,7.783046270272946,6.333176849087017,0.0
207,8.47895839831579,6.333176849087017,0.0
