阶段,轮次,事件,活动列数,Benders切数,LP目标值,theta_CNY,真实能源成本_CNY,Benders违反_CNY,最大区域违反_CNY,theta_A_CNY,theta_B_CNY,theta_C_CNY,theta_D_CNY,theta_E_CNY,theta_F_CNY,真实能源成本_A_CNY,真实能源成本_B_CNY,真实能源成本_C_CNY,真实能源成本_D_CNY,真实能源成本_E_CNY,真实能源成本_F_CNY,区域违反_A_CNY,区域违反_B_CNY,区域违反_C_CNY,区域违反_D_CNY,区域违反_E_CNY,区域违反_F_CNY,新增列数,最小缺失列约化成本,根节点闭合,MIP状态,MIP目标值,当前RSS_GiB,累计分钟,主导违反区域,LP界,MIP Gap,阶段运行秒,峰值RSS_GiB,可行Latency上界_ms,Latency下界_ms,Latency相对Gap,成本上界违反_CNY
Latency阶段,1,added_region_benders_cuts,137158,8,250309.75404571815,-459340715.7381387,-459194077.00849795,146638.72964072227,94103.60499063134,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154167400.8134902,-162243396.99500942,0.0,0.0,0.0,0.0,52535.12464877963,94103.60499063134,0,nan,False,,,0.2130279541015625,0.06430420080820719,RegionF,250309.75404571815,,3.8582520484924316,0.18658065795898438,,,,
Latency阶段,2,added_region_benders_cuts,137158,10,250367.39579479466,-459340715.7381387,-459249775.01039714,90940.72774153948,61682.73435357213,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154190677.94475234,-162275817.86564648,0.0,0.0,0.0,0.0,29257.993386656046,61682.73435357213,0,nan,False,,,0.2171173095703125,0.12695680459340414,RegionF,250367.39579479466,,7.617408275604248,0.21680068969726562,,,,
Latency阶段,3,added_region_benders_cuts,137158,12,250375.93465806663,-459340715.7381387,-459242572.9285283,98142.80961036682,66700.33906826377,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154188493.46759823,-162270800.2609318,0.0,0.0,0.0,0.0,31442.470540761948,66700.33906826377,0,nan,False,,,0.22061538696289062,0.19325590531031292,RegionF,250375.93465806663,,11.595354318618774,0.21988296508789062,,,,
Latency阶段,4,added_region_benders_cuts,137158,14,250382.35511780498,-459340715.7381387,-459266824.898484,73890.83965468407,47543.645136892796,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154193588.74362242,-162289956.95486316,0.0,0.0,0.0,0.0,26347.194516569376,47543.645136892796,0,nan,False,,,0.2233123779296875,0.2618516405423482,RegionF,250382.35511780498,,15.711098432540894,0.2236328125,,,,
Latency阶段,5,added_region_benders_cuts,137158,16,250390.27138085585,-459340715.7381387,-459224572.1423538,116143.59578490257,77948.07538691163,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154181740.4177423,-162259552.52461314,0.0,0.0,0.0,0.0,38195.52039667964,77948.07538691163,0,nan,False,,,0.22509002685546875,0.3262723684310913,RegionF,250390.27138085585,,19.57634210586548,0.22552490234375,,,,
Latency阶段,6,added_region_benders_cuts,137158,18,250395.6286790993,-459340715.7381387,-459277524.7360074,63191.00213128328,40991.08817067742,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154197736.02417967,-162296509.51182938,0.0,0.0,0.0,0.0,22199.91395932436,40991.08817067742,0,nan,False,,,0.22698593139648438,0.39088114102681476,RegionF,250395.6286790993,,23.452868461608887,0.22863388061523438,,,,
Latency阶段,7,added_region_benders_cuts,137158,21,250396.6356558726,-459340715.7381387,-459287706.26832974,53009.46980893612,26286.04605448246,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142774867.5915102,-154201624.12287518,-162311214.55394557,0.0,0.0,0.0,8411.60848942399,18311.815263807774,26286.04605448246,0,nan,False,,,0.22880935668945312,0.46410241921742756,RegionF,250396.6356558726,,27.846145153045654,0.23059844970703125,,,,
Latency阶段,8,added_region_benders_cuts,137158,24,250397.64074909163,-459340715.7381387,-459297811.5781168,42904.16002190113,32273.8400657773,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783065.03599122,-154209519.78219262,-162305226.75993428,0.0,0.0,0.0,214.16400840878487,10416.15594637394,32273.8400657773,0,nan,False,,,0.23249435424804688,0.546505606174469,RegionF,250397.64074909163,,32.79033637046814,0.23274612426757812,,,,
Latency阶段,9,added_region_benders_cuts,137158,26,250400.1816516897,-459340715.7381387,-459305717.6224229,34998.115715801716,26573.217614740133,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154211511.04003912,-162310927.3823853,0.0,0.0,0.0,0.0,8424.89809986949,26573.217614740133,0,nan,False,,,0.23322296142578125,0.7288981676101685,RegionF,250400.1816516897,,43.73389005661011,0.23667526245117188,,,,
Latency阶段,10,added_region_benders_cuts,137158,28,250402.21624311668,-459340715.7381387,-459308072.37720543,32643.36093324423,28878.294649481773,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154216170.8718565,-162308622.30535057,0.0,0.0,0.0,0.0,3765.066282480955,28878.294649481773,0,nan,False,,,0.28731536865234375,0.8877966483434041,RegionF,250402.21624311668,,53.26779890060425,0.23772430419921875,,,,
Latency阶段,11,added_region_benders_cuts,137158,30,250403.13830798471,-459340715.7381387,-459315357.9977833,25357.74035537243,19270.81411936879,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154213849.0119043,-162318229.78588068,0.0,0.0,0.0,0.0,6086.926234692335,19270.81411936879,0,nan,False,,,0.2869529724121094,1.0396596590677898,RegionF,250403.13830798471,,62.37957954406738,0.2873382568359375,,,,
Latency阶段,12,added_region_benders_cuts,137158,32,250404.51394631033,-459340715.7381387,-459315414.1898958,25301.548242866993,22008.728490263224,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154216643.1183877,-162315491.8715098,0.0,0.0,0.0,0.0,3292.819751292467,22008.728490263224,0,nan,False,,,0.2917671203613281,1.2218381603558859,RegionF,250404.51394631033,,73.31028962135315,0.2873382568359375,,,,
Latency阶段,13,added_region_benders_cuts,137158,34,250418.9269949126,-459340715.7381387,-459316420.4372111,24295.300927579403,24285.69686692953,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154219926.33407953,-162313214.90313312,0.0,0.0,0.0,0.0,9.60405945777893,24285.69686692953,0,nan,False,,,0.2918434143066406,1.288169840971629,RegionF,250418.9269949126,,77.29019045829773,0.2917938232421875,,,,
Latency阶段,14,added_region_benders_cuts,137158,35,250424.89608448793,-459340715.7381387,-459312397.1629063,28318.57523238659,28318.575231164694,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154219935.938139,-162309182.0247689,0.0,0.0,0.0,0.0,0.0,28318.575231164694,0,nan,False,,,0.30055999755859375,1.3516080896059672,RegionF,250424.89608448793,,81.09648537635803,0.29187774658203125,,,,
Latency阶段,15,added_region_benders_cuts,137158,36,250426.67114863216,-459340715.7381387,-459315164.0267802,25551.711358487606,25551.71135723591,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154219935.938139,-162311948.88864282,0.0,0.0,0.0,0.0,0.0,25551.71135723591,0,nan,False,,,0.2993965148925781,1.4136960665384928,RegionF,250426.67114863216,,84.82176399230957,0.3008155822753906,,,,
Latency阶段,16,added_region_benders_cuts,137158,37,250429.30722247725,-459340715.7381387,-459311579.1511389,29136.58699977398,29136.586998462677,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154219935.938139,-162308364.0130016,0.0,0.0,0.0,0.0,0.0,29136.586998462677,0,nan,False,,,0.3005256652832031,1.4767624537150066,RegionF,250429.30722247725,,88.60574722290039,0.3008155822753906,,,,
Latency阶段,17,added_region_benders_cuts,137158,38,250430.0331664113,-459340715.7381387,-459321320.14860845,19395.58953022957,19395.58952897787,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154219935.938139,-162318105.01047108,0.0,0.0,0.0,0.0,0.0,19395.58952897787,0,nan,False,,,0.30181121826171875,1.5418277422587077,RegionF,250430.0331664113,,92.50966453552246,0.3008155822753906,,,,
Latency阶段,18,added_region_benders_cuts,137158,40,250431.50664763944,-459340715.7381387,-459315945.3717593,24770.366379380226,22033.643404334784,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154217199.21516514,-162315466.95659572,0.0,0.0,0.0,0.0,2736.7229738533497,22033.643404334784,0,nan,False,,,0.299774169921875,1.716379412015279,RegionF,250431.50664763944,,102.98276472091675,0.3019142150878906,,,,
Latency阶段,19,added_region_benders_cuts,137158,41,250433.29002654811,-459340715.7381387,-459312376.59199786,28339.146140813828,28339.14613956213,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154219935.938139,-162309161.4538605,0.0,0.0,0.0,0.0,0.0,28339.14613956213,0,nan,False,,,0.30670928955078125,1.8952122410138448,RegionF,250433.29002654811,,113.71273446083069,0.3019142150878906,,,,
Latency阶段,20,added_region_benders_cuts,137158,42,250437.14915539906,-459340715.7381387,-459315848.1639011,24867.574237585068,24867.574236363173,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154219935.938139,-162312633.0257637,0.0,0.0,0.0,0.0,0.0,24867.574236363173,0,nan,False,,,0.30657196044921875,2.0699256618817645,RegionF,250437.14915539906,,124.19553971290588,0.3067741394042969,,,,
Latency阶段,21,added_region_benders_cuts,137158,43,250437.6303047418,-459340715.7381387,-459322096.2452662,18619.492872476578,18619.49287122488,-0.0,-0.0,-0.0,-142783279.19999963,-154219935.938139,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154219935.938139,-162318881.10712883,0.0,0.0,0.0,0.0,0.0,18619.49287122488,0,nan,False,,,0.30743408203125,2.252726876735687,RegionF,250437.6303047418,,135.16361260414124,0.3067741394042969,,,,
