场景类别,场景,Cost_CNY,Carbon_tCO2,TotalWait_h,MeanLatency_ms,RenewableUtilization_pct,PeakNetImport_MW,MigrationRate_pct,认证状态
Carbon budget,carbon_100,-459340688.8007043,0.0,0.0,5.0172,69.52081930719858,0.0,0.122,DEGENERATE_EQUIVALENT_PASS
Carbon budget,carbon_75,-459340688.8007043,0.0,0.0,5.0172,69.52081930719858,0.0,0.122,DEGENERATE_EQUIVALENT_PASS
Carbon budget,carbon_50,-459340688.8007043,0.0,0.0,5.0172,69.52081930719858,0.0,0.122,DEGENERATE_EQUIVALENT_PASS
Carbon budget,carbon_25,-459340688.8007043,0.0,0.0,5.0172,69.52081930719858,0.0,0.122,DEGENERATE_EQUIVALENT_PASS
Price,price_attachment,-459340688.8007043,0.0,0.0,5.0172,69.52081930719858,0.0,0.122,CANONICAL_EQUIVALENT
Price,price_flat,-459340688.8007043,0.0,0.0,5.0172,69.52089822740955,0.0,0.122,COST_WAIT_LATENCY_CERTIFIED
Price,price_peak_valley,-459340715.73913866,0.8615936512499743,0.0,5.0172,69.52083983316314,0.0,0.122,COST_WAIT_LATENCY_CERTIFIED
Renewable,renew_nominal,-459340688.8007043,0.0,0.0,5.0172,69.52081930719858,0.0,0.122,CANONICAL_EQUIVALENT
Renewable,renew_up_120,-459341389.19999903,0.0,0.0,5.00838,57.77503946184836,0.0,0.066,COST_WAIT_LATENCY_CERTIFIED
Renewable,renew_down_80,-401445986.2135176,2698.9969400911386,389579.0,29.40584,84.12735711374677,115.6044999999998,74.504,CERTIFIED_BOUNDED
