TaskID,任务类型,源区域,目标区域,到达小时,开工小时,完成小时,等待_h,时延_ms,是否迁移
1,AITraining,RegionD,RegionD,456,456,460.6666666666667,0.0,5.0,False
2,RealTimeInference,RegionB,RegionB,1126,1126,1129.3,0.0,5.0,False
3,RealTimeInference,RegionB,RegionB,914,914,917.7333333333333,0.0,5.0,False
4,RealTimeInference,RegionC,RegionC,419,419,420.6166666666667,0.0,5.0,False
5,AITraining,RegionF,RegionF,2233,2233,2235.6833333333334,0.0,5.0,False
6,RealTimeInference,RegionA,RegionA,1728,1728,1733.3,0.0,5.0,False
7,RealTimeInference,RegionA,RegionA,122,122,127.05,0.0,5.0,False
8,RealTimeInference,RegionA,RegionA,895,895,899.7666666666667,0.0,5.0,False
9,RealTimeInference,RegionB,RegionB,2069,2069,2074.383333333333,0.0,5.0,False
10,AITraining,RegionE,RegionE,108,108,112.08333333333333,0.0,5.0,False
11,AITraining,RegionF,RegionF,814,814,815.1333333333333,0.0,5.0,False
12,AITraining,RegionF,RegionF,2232,2232,2235.2833333333333,0.0,5.0,False
13,BatchInference,RegionA,RegionA,902,902,905.3166666666667,0.0,5.0,False
14,BatchInference,RegionB,RegionB,1139,1139,1140.0,0.0,5.0,False
15,RealTimeInference,RegionB,RegionB,653,653,657.2166666666667,0.0,5.0,False
16,AITraining,RegionE,RegionE,1731,1731,1733.3333333333333,0.0,5.0,False
17,BatchInference,RegionD,RegionD,1138,1138,1140.4,0.0,5.0,False
18,RealTimeInference,RegionC,RegionC,881,881,883.9333333333333,0.0,5.0,False
19,BatchInference,RegionA,RegionA,418,418,419.6333333333333,0.0,5.0,False
20,RealTimeInference,RegionA,RegionA,1556,1556,1560.1833333333334,0.0,5.0,False
21,RealTimeInference,RegionA,RegionA,1470,1470,1475.9166666666667,0.0,5.0,False
22,BatchInference,RegionC,RegionC,1083,1083,1084.6833333333334,0.0,5.0,False
23,RealTimeInference,RegionB,RegionB,1881,1881,1885.55,0.0,5.0,False
24,AITraining,RegionF,RegionF,511,511,514.5833333333334,0.0,5.0,False
25,BatchInference,RegionF,RegionF,322,322,322.98333333333335,0.0,5.0,False
26,AITraining,RegionB,RegionB,1200,1200,1206.65,0.0,5.0,False
27,AITraining,RegionD,RegionD,1481,1481,1485.4833333333333,0.0,5.0,False
28,AITraining,RegionD,RegionD,787,787,790.3333333333334,0.0,5.0,False
29,AITraining,RegionE,RegionE,284,284,286.85,0.0,5.0,False
30,RealTimeInference,RegionC,RegionC,933,933,937.65,0.0,5.0,False
31,BatchInference,RegionE,RegionE,326,326,329.73333333333335,0.0,5.0,False
32,RealTimeInference,RegionA,RegionA,413,413,418.0833333333333,0.0,5.0,False
33,BatchInference,RegionA,RegionA,1138,1138,1143.7833333333333,0.0,5.0,False
34,BatchInference,RegionB,RegionB,1494,1494,1498.8166666666666,0.0,5.0,False
35,RealTimeInference,RegionB,RegionB,1516,1516,1520.35,0.0,5.0,False
36,BatchInference,RegionD,RegionD,858,858,860.7666666666667,0.0,5.0,False
37,AITraining,RegionF,RegionF,1093,1093,1094.2333333333333,0.0,5.0,False
38,AITraining,RegionF,RegionF,292,292,297.8833333333333,0.0,5.0,False
39,AITraining,RegionB,RegionB,700,700,702.4166666666666,0.0,5.0,False
40,AITraining,RegionD,RegionD,1002,1002,1003.5,0.0,5.0,False
41,RealTimeInference,RegionB,RegionB,1893,1893,1897.9666666666667,0.0,5.0,False
42,BatchInference,RegionC,RegionC,1105,1105,1105.8333333333333,0.0,5.0,False
43,AITraining,RegionE,RegionE,2281,2281,2284.5,0.0,5.0,False
44,RealTimeInference,RegionC,RegionC,1328,1328,1328.7,0.0,5.0,False
45,RealTimeInference,RegionF,RegionF,938,938,939.1833333333333,0.0,5.0,False
