iter,active_columns,cuts,lp_lb_cny,energy_cost_cny,theta_cny,violation_cny,new_columns,min_reduced_cost,rss_gib,elapsed_min,eta_min
1,51180,1,-458815194.33295256,-458815194.33295375,-458815194.33295256,-1.1920928955078125e-06,1180,-30146.004223999997,0.21983718872070312,0.7459355751673381,17.902453804016115
2,51180,2,-461149619.5422503,-459311224.82515436,-461149619.5422503,1838394.7170959115,0,0.0,0.22866058349609375,0.7819613377253215,8.992555383841196
3,51180,3,-459313682.7089043,-459311383.777813,-459313682.7089043,2298.9310913085938,0,0.0,0.23077011108398438,0.8265216787656148,6.061158977614508
4,51195,3,-459313682.7089043,-459313682.7089043,-459313682.7089043,0.0,15,-17887.2,0.23309707641601562,1.0994250893592834,5.771981719136238
5,51195,4,-459320331.04652935,-459320329.3107093,-459320331.04652935,1.7358200550079346,0,0.0,0.23998260498046875,1.1402701218922933,4.561080487569173
6,51210,4,-459320329.31070936,-459320329.3107093,-459320329.31070936,5.960464477539063e-08,15,-17878.847999999998,0.23781204223632812,1.3752081274986268,4.3548257370789845
7,51224,4,-459327990.6123769,-459327990.61237687,-459327990.6123769,5.960464477539063e-08,14,-17878.847999999998,0.237884521484375,1.6061456044514975,4.130088697160994
8,51224,5,-459335188.68912154,-459334792.55742335,-459335188.68912154,396.1316981911659,0,0.0,0.2431793212890625,1.64707004626592,3.50002384831508
9,51260,5,-459335129.8683318,-459335129.86833173,-459335129.8683318,5.960464477539063e-08,36,-12311.687895311326,0.24094772338867188,1.8776021679242452,3.3379594096431027
10,51260,6,-459343492.0037043,-459340688.8007043,-459343492.0037043,2803.20300000906,0,0.0,0.24457168579101562,1.919499675432841,2.8792495131492615
11,51260,6,-459340688.8007043,-459340688.8007043,-459340688.8007043,0.0,0,0.0,0.24205780029296875,2.153743263085683,2.7411277893817783
