TaskID,目标区域,开工小时,等待_h,时延_ms
1,RegionD,456,0.0,5.0
2,RegionB,1126,0.0,5.0
3,RegionB,914,0.0,5.0
4,RegionC,419,0.0,5.0
5,RegionF,2233,0.0,5.0
6,RegionA,1728,0.0,5.0
7,RegionA,122,0.0,5.0
8,RegionA,895,0.0,5.0
9,RegionB,2069,0.0,5.0
10,RegionE,108,0.0,5.0
11,RegionF,814,0.0,5.0
12,RegionF,2232,0.0,5.0
13,RegionA,902,0.0,5.0
14,RegionB,1139,0.0,5.0
15,RegionB,653,0.0,5.0
16,RegionE,1731,0.0,5.0
17,RegionD,1138,0.0,5.0
18,RegionC,881,0.0,5.0
19,RegionA,418,0.0,5.0
20,RegionA,1556,0.0,5.0
21,RegionA,1470,0.0,5.0
22,RegionC,1083,0.0,5.0
23,RegionB,1881,0.0,5.0
24,RegionF,511,0.0,5.0
25,RegionF,322,0.0,5.0
26,RegionB,1200,0.0,5.0
27,RegionD,1481,0.0,5.0
28,RegionD,787,0.0,5.0
29,RegionE,284,0.0,5.0
30,RegionC,933,0.0,5.0
31,RegionE,326,0.0,5.0
32,RegionA,413,0.0,5.0
33,RegionA,1138,0.0,5.0
34,RegionB,1494,0.0,5.0
35,RegionB,1516,0.0,5.0
36,RegionD,858,0.0,5.0
37,RegionF,1093,0.0,5.0
38,RegionF,292,0.0,5.0
39,RegionB,700,0.0,5.0
40,RegionD,1002,0.0,5.0
41,RegionB,1893,0.0,5.0
42,RegionC,1105,0.0,5.0
43,RegionE,2281,0.0,5.0
44,RegionC,1328,0.0,5.0
45,RegionF,938,0.0,5.0
46,RegionA,1292,0.0,5.0
47,RegionB,1096,0.0,5.0
48,RegionB,864,0.0,5.0
49,RegionE,1288,0.0,5.0
50,RegionC,2044,0.0,5.0
51,RegionF,1879,0.0,5.0
52,RegionA,1084,0.0,5.0
53,RegionA,1010,0.0,5.0
54,RegionD,2299,0.0,5.0
55,RegionE,1076,0.0,5.0
56,RegionE,2394,0.0,5.0
57,RegionE,2390,0.0,5.0
58,RegionF,1482,0.0,5.0
59,RegionA,566,0.0,5.0
60,RegionD,2021,0.0,5.0
61,RegionB,192,0.0,5.0
62,RegionB,626,0.0,5.0
63,RegionE,655,0.0,5.0
64,RegionF,1729,0.0,5.0
65,RegionA,260,0.0,5.0
66,RegionA,1563,0.0,5.0
67,RegionD,1917,0.0,5.0
68,RegionD,1029,0.0,5.0
69,RegionE,47,0.0,5.0
70,RegionF,469,0.0,5.0
71,RegionF,2199,0.0,5.0
72,RegionA,1393,0.0,5.0
73,RegionA,1202,0.0,5.0
74,RegionC,647,0.0,5.0
75,RegionD,13,0.0,5.0
76,RegionE,1078,0.0,5.0
77,RegionF,731,0.0,5.0
78,RegionA,435,0.0,5.0
79,RegionD,1222,0.0,5.0
80,RegionD,2079,0.0,5.0
81,RegionD,814,0.0,5.0
82,RegionB,1531,0.0,5.0
83,RegionC,2209,0.0,5.0
84,RegionF,2,0.0,5.0
85,RegionB,1327,0.0,5.0
86,RegionB,79,0.0,5.0
87,RegionB,1486,0.0,5.0
88,RegionC,980,0.0,5.0
89,RegionC,986,0.0,5.0
90,RegionF,322,0.0,5.0
91,RegionF,1990,0.0,5.0
92,RegionA,2181,0.0,5.0
93,RegionA,525,0.0,5.0
94,RegionD,1946,0.0,5.0
95,RegionE,676,0.0,5.0
96,RegionE,2161,0.0,5.0
97,RegionF,1733,0.0,5.0
98,RegionA,2208,0.0,5.0
99,RegionD,823,0.0,5.0
100,RegionD,1276,0.0,5.0
101,RegionC,1529,0.0,5.0
102,RegionD,2119,0.0,5.0
103,RegionE,495,0.0,5.0
104,RegionF,920,0.0,5.0
105,RegionA,1384,0.0,5.0
106,RegionA,2268,0.0,5.0
107,RegionB,902,0.0,5.0
108,RegionB,290,0.0,5.0
109,RegionE,241,0.0,5.0
110,RegionC,276,0.0,5.0
111,RegionA,1353,0.0,5.0
112,RegionA,2105,0.0,5.0
113,RegionB,1140,0.0,5.0
114,RegionE,1988,0.0,5.0
115,RegionC,2208,0.0,5.0
116,RegionC,2338,0.0,5.0
117,RegionF,1936,0.0,5.0
118,RegionA,1937,0.0,5.0
119,RegionB,779,0.0,5.0
120,RegionB,397,0.0,5.0
121,RegionE,1765,0.0,5.0
122,RegionD,1734,0.0,5.0
123,RegionE,1912,0.0,5.0
124,RegionA,221,0.0,5.0
125,RegionD,403,0.0,5.0
126,RegionA,1649,0.0,5.0
127,RegionD,1389,0.0,5.0
128,RegionB,1018,0.0,5.0
129,RegionC,779,0.0,5.0
130,RegionF,1837,0.0,5.0
131,RegionA,1728,0.0,5.0
132,RegionA,1140,0.0,5.0
133,RegionB,1023,0.0,5.0
134,RegionB,1815,0.0,5.0
135,RegionE,401,0.0,5.0
136,RegionC,2214,0.0,5.0
137,RegionA,382,0.0,5.0
138,RegionA,681,0.0,5.0
139,RegionB,1989,0.0,5.0
140,RegionC,875,0.0,5.0
141,RegionD,240,0.0,5.0
142,RegionC,1552,0.0,5.0
143,RegionD,1599,0.0,5.0
144,RegionA,1863,0.0,5.0
145,RegionB,1732,0.0,5.0
146,RegionD,2276,0.0,5.0
147,RegionE,1993,0.0,5.0
148,RegionC,777,0.0,5.0
149,RegionE,891,0.0,5.0
