阶段,轮次,事件,活动列数,Benders切数,LP目标值,theta_CNY,真实能源成本_CNY,Benders违反_CNY,最大区域违反_CNY,theta_A_CNY,theta_B_CNY,theta_C_CNY,theta_D_CNY,theta_E_CNY,theta_F_CNY,真实能源成本_A_CNY,真实能源成本_B_CNY,真实能源成本_C_CNY,真实能源成本_D_CNY,真实能源成本_E_CNY,真实能源成本_F_CNY,区域违反_A_CNY,区域违反_B_CNY,区域违反_C_CNY,区域违反_D_CNY,区域违反_E_CNY,区域违反_F_CNY,新增列数,最小缺失列约化成本,根节点闭合,MIP状态,MIP目标值,当前RSS_GiB,累计分钟,主导违反区域,LP界,MIP Gap,阶段运行秒,峰值RSS_GiB,可行Latency上界_ms,Latency下界_ms,Latency相对Gap,成本上界违反_CNY
R1 Cost再认证,1,added_region_benders_cuts,137139,945,-459340688.80070555,-459340688.80070555,-459225477.36163026,115211.43907529116,81536.47399541736,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142701742.7260042,-154205531.21450126,-162318203.421126,0.0,0.0,0.0,81536.47399541736,14377.786204636097,19297.17887404561,0,nan,False,,,0.2907524108886719,0.6750850478808085,RegionD,-459340688.80070555,,31.762683868408203,0.2499847412109375,,,,
R1 Cost再认证,2,added_region_benders_cuts,137139,947,-459340688.80070555,-459340688.80070555,-459252380.97379977,88307.82690578699,83576.97942364216,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154136332.02128226,-162332769.75251907,0.0,0.0,0.0,0.0,83576.97942364216,4730.847480982542,0,nan,False,,,0.30246734619140625,0.8910494923591614,RegionE,-459340688.80070555,,44.720550537109375,0.29714202880859375,,,,
R1 Cost再认证,3,added_region_benders_cuts,137139,948,-459340688.80070555,-459340688.80070555,-459332206.041452,8482.759253561497,8482.75925245881,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154219909.0007059,-162329017.8407476,0.0,0.0,0.0,0.0,0.0,8482.75925245881,0,nan,False,,,0.3062324523925781,1.0933940450350443,RegionF,-459340688.80070555,,56.86122369766235,0.3075599670410156,,,,
R1 Cost再认证,4,added_region_benders_cuts,137139,950,-459340688.80070555,-459340688.80070555,-459314523.3677511,26165.43295443058,24887.416367948055,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154195021.58433795,-162336222.5834148,0.0,0.0,0.0,0.0,24887.416367948055,1278.0165852606297,0,nan,False,,,0.3102874755859375,1.2881969094276429,RegionE,-459340688.80070555,,68.54939556121826,0.31092071533203125,,,,
R1 Cost再认证,5,added_region_benders_cuts,137139,951,-459340688.80070555,-459340688.80070555,-459330164.2118452,10524.588860332966,10524.588859051466,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154209384.41184685,-162337500.60000005,0.0,0.0,0.0,0.0,10524.588859051466,0.0,0,nan,False,,,0.3134002685546875,1.358328906695048,RegionE,-459340688.80070555,,72.75731539726257,0.3158073425292969,,,,
R1 Cost再认证,6,added_region_benders_cuts,137139,953,-459340688.80070555,-459340688.80070555,-459327191.00701165,13497.793693900108,11272.60642400384,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154208636.3942819,-162335275.41273138,0.0,0.0,0.0,0.0,11272.60642400384,2225.1872686743736,0,nan,False,,,0.3154563903808594,1.427708673477173,RegionE,-459340688.80070555,,76.92010140419006,0.3159828186035156,,,,
R1 Cost再认证,7,added_region_benders_cuts,137139,955,-459340688.80070555,-459340688.80070555,-459332357.37714636,8331.423559188843,5439.928805679083,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154214469.07190022,-162334609.10524768,0.0,0.0,0.0,0.0,5439.928805679083,2891.4947523772717,0,nan,False,,,0.31992340087890625,1.4977392673492431,RegionE,-459340688.80070555,,81.12193703651428,0.3169975280761719,,,,
R1 Cost再认证,8,added_region_benders_cuts,137139,956,-459340688.80070555,-459340688.80070555,-459334818.49072206,5870.309983491898,5870.3099822402,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154214038.69072366,-162337500.60000005,0.0,0.0,0.0,0.0,5870.3099822402,0.0,0,nan,False,,,0.31470489501953125,1.5660476287206013,RegionE,-459340688.80070555,,85.22043871879578,0.3169975280761719,,,,
R1 Cost再认证,9,added_region_benders_cuts,137139,958,-459340688.80070555,-459340688.80070555,-459317257.3608394,23431.439866125584,13569.721656858921,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154206339.27904904,-162327638.881792,0.0,0.0,0.0,0.0,13569.721656858921,9861.718208044767,0,nan,False,,,0.3163719177246094,1.6335362195968628,RegionE,-459340688.80070555,,89.26975417137146,0.32105255126953125,,,,
R1 Cost再认证,10,root_lp_closed,137139,958,-459340688.80070555,-459340688.80070555,-459340688.8007043,1.2516975402832031e-06,0.0,-0.0,-0.0,-0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154219909.0007059,-162337500.60000005,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,True,,,0.31789398193359375,2.004020869731903,RegionA,-459340688.80070555,,111.49883317947388,0.3247795104980469,,,,
