TaskID,最小约化成本,下界修正量,最优定价区域,最优定价开工小时
1,-25602.817323735322,-25602.817323835323,RegionA,464
2,0.0,-1e-07,RegionB,1126
3,-529.1843297478964,-529.1843298478964,RegionC,914
4,0.0,-1e-07,RegionA,419
5,-13772.463786666669,-13772.46378676667,RegionA,2243
6,-291.70995,-291.7099501,RegionC,1728
7,0.0,-1e-07,RegionC,122
8,0.0,-1e-07,RegionB,895
9,0.0,-1e-07,RegionB,2069
10,0.0,-1e-07,RegionA,108
11,-1.891748979687691e-12,-1.0000189174897968e-07,RegionA,1495
12,-10933.216159210757,-10933.216159310758,RegionA,2243
13,0.0,-1e-07,RegionA,902
14,-8.952838470577262e-13,-1.0000089528384705e-07,RegionA,1459
15,-298.3266686518874,-298.32666875188744,RegionB,653
16,-6964.7453333333315,-6964.745333433331,RegionA,1736
17,-624.2031992616071,-624.2031993616071,RegionA,1495
18,-274.2885441335129,-274.28854423351294,RegionB,881
19,-2.3874235921539367e-13,-1.0000023874235921e-07,RegionA,1495
20,-357.2194155060376,-357.2194156060376,RegionB,1556
21,-83.09384442101148,-83.09384452101148,RegionB,1470
22,-89.93513174658558,-89.93513184658558,RegionA,1495
23,0.0,-1e-07,RegionA,1881
24,0.0,-1e-07,RegionA,514
25,0.0,-1e-07,RegionB,322
26,-31535.561017890643,-31535.561017990643,RegionA,1210
27,-5920.608532863808,-5920.608532963808,RegionA,1495
28,-4172.283868624464,-4172.283868724464,RegionA,803
29,-5057.2384104594785,-5057.238410559478,RegionA,1495
30,-103.03194731955627,-103.03194741955626,RegionB,933
31,-2185.281088902295,-2185.2810890022947,RegionA,347
32,0.0,-1e-07,RegionC,413
33,0.0,-1e-07,RegionA,1138
34,0.0,-1e-07,RegionA,1495
35,0.0,-1e-07,RegionB,1516
36,-111.38826239999996,-111.38826249999995,RegionA,1495
37,-5.456968210637569e-13,-1.0000054569682106e-07,RegionA,1495
38,-9373.138944,-9373.138944100001,RegionA,299
39,-1.6977234433094666e-13,-1.0000016977234432e-07,RegionA,1495
40,-2162.610965114022,-2162.6109652140217,RegionA,1495
41,-394.99164377504303,-394.99164387504305,RegionB,1893
42,-3.315866100213801e-13,-1.0000033158661001e-07,RegionA,1459
43,-6597.640510191445,-6597.640510291445,RegionA,2289
44,-56.44084029761199,-56.44084039761199,RegionB,1328
45,0.0,-1e-07,RegionF,938
46,-869.419062493511,-869.419062593511,RegionB,1292
47,-156.5252441777541,-156.5252442777541,RegionA,1113
48,-178.42599808567064,-178.42599818567064,RegionA,864
49,-579.3625337671082,-579.3625338671081,RegionA,1305
